id	sym	C1	C2	C3	5_uM_thapsigargin_rep1	5_uM_thapsigargin_rep2	5_uM_thapsigargin_rep3
ENSMUSG00000029711	Epo	0	0	0	0	1	0
ENSMUSG00000029712	Actl6b	3	7	4	4	3	7
ENSMUSG00000029713	Gnb2	13012	10655	12268	9631	10648	10478
ENSMUSG00000029714	Gigyf1	1071	1049	1154	955	1451	763
ENSMUSG00000029715	Pop7	544	480	506	644	548	490
ENSMUSG00000029716	Tfr2	101	57	62	80	52	34
ENSMUSG00000029718	Pcolce	48	60	116	55	86	110
ENSMUSG00000029720	Gm20605	23	49	42	22	53	45
ENSMUSG00000029722	Agfg2	682	589	767	497	536	585
ENSMUSG00000029723	Tsc22d4	3140	3085	3037	1910	3114	2290
ENSMUSG00000029725	Ppp1r35	574	429	363	438	430	336
ENSMUSG00000029726	Mepce	1907	1729	1675	2806	4128	2533
ENSMUSG00000029727	Cyp3a13	7806	22168	15098	9406	30395	16912
ENSMUSG00000029729	Zkscan1	2217	2012	1947	2765	3164	2211
ENSMUSG00000029730	Mcm7	6923	5314	3583	4401	2921	1061
ENSMUSG00000029735	Tpk1	2377	2382	2197	2343	2454	2091
ENSMUSG00000029736	Nobox	0	1	2	3	3	2
ENSMUSG00000029752	Asns	8306	5949	9514	22867	18877	21115
ENSMUSG00000029754	Dlx6	0	0	0	0	0	0
ENSMUSG00000029757	Dync1i1	2	1	0	0	1	2
ENSMUSG00000029759	Pon3	919	852	782	647	690	602
ENSMUSG00000029761	Cald1	42	34	8	41	37	6
ENSMUSG00000029762	Akr1b8	1395	258	646	589	206	287
ENSMUSG00000029763	Exoc4	2346	1738	1999	1952	1630	1675
ENSMUSG00000029765	Plxna4	5	9	9	6	14	4
ENSMUSG00000029767	Calu	7461	6611	8801	8879	7968	11754
ENSMUSG00000029769	Ccdc136	11	8	20	5	11	11
ENSMUSG00000029771	Irf5	40	17	17	33	22	15
ENSMUSG00000029772	Ahcyl2	9783	12969	10598	8346	12507	9390
ENSMUSG00000029775	Klhdc10	4610	3657	4144	5583	4338	3698
ENSMUSG00000029776	Hibadh	3984	2840	3244	2527	1735	2316
ENSMUSG00000029777	Gars	11174	9563	14864	24896	22662	29763
ENSMUSG00000029778	Adcyap1r1	0	0	2	1	4	0
ENSMUSG00000029780	Nt5c3	2380	1767	1832	1955	1784	1572
ENSMUSG00000029781	Fkbp9	320	177	360	204	129	247
ENSMUSG00000029782	Tmem209	2148	1536	1543	2136	1559	1435
ENSMUSG00000029784	Ssmem1	2	0	0	1	1	1
ENSMUSG00000029787	Avl9	3062	3569	2965	4374	5728	3365
ENSMUSG00000029790	Cep41	296	198	221	267	189	178
ENSMUSG00000029797	Sspo	17	33	47	12	18	44
ENSMUSG00000029798	Herc6	11	43	27	35	32	39
ENSMUSG00000029802	Abcg2	3686	5223	3965	3873	4957	3661
ENSMUSG00000029804	Herc3	1728	1990	1568	1982	2523	1454
ENSMUSG00000029810	Tmem176b	5329	5772	4836	3072	3503	3320
ENSMUSG00000029811	Aoc1	18164	29233	15049	3125	7045	6216
ENSMUSG00000029813	1600015I10Rik	0	1	0	1	1	0
ENSMUSG00000029814	Igf2bp3	1545	1591	653	2188	1961	879
ENSMUSG00000029815	Malsu1	938	735	612	726	644	583
ENSMUSG00000029817	Tra2a	3916	3319	2919	6813	6030	4103
ENSMUSG00000029819	Npy	0	0	0	0	0	1
ENSMUSG00000029821	Dfna5	381	365	776	271	229	529
ENSMUSG00000029822	Osbpl3	1263	1344	661	1588	1882	700
ENSMUSG00000029823	Luc7l2	5842	6387	7808	9747	10149	10207
ENSMUSG00000029826	Zc3hav1	3018	3584	4347	2983	4029	5586
ENSMUSG00000029828	4921507P07Rik	40	42	37	81	68	31
ENSMUSG00000029830	Svopl	0	0	0	1	0	0
ENSMUSG00000029832	Nfe2l3	16	18	11	14	10	14
ENSMUSG00000029833	Trim24	2833	1962	2002	6079	5229	2630
ENSMUSG00000029836	Cbx3	6054	4221	3741	2977	2150	1960
ENSMUSG00000029837	1700111E14Rik	0	0	1	0	0	0
ENSMUSG00000029840	Mtpn	9049	7642	8690	7080	6366	7048
ENSMUSG00000029843	Slc13a4	0	0	0	0	2	1
ENSMUSG00000029844	Hoxa1	3	4	3	19	12	11
ENSMUSG00000029847	2010107G12Rik	1237	827	884	898	479	425
ENSMUSG00000029851	Tcaf2	621	505	220	322	274	111
ENSMUSG00000029859	Epha1	3505	4976	3763	3546	7784	3668
ENSMUSG00000029860	Zyx	4552	4165	4769	5224	7436	6636
ENSMUSG00000029861	Fam131b	2	0	1	1	0	0
ENSMUSG00000029862	Clcn1	102	70	73	34	27	20
ENSMUSG00000029863	Casp2	2429	2237	1894	2290	2886	1654
ENSMUSG00000029864	Gstk1	813	1576	696	399	1175	575
ENSMUSG00000029865	Sval1	101	125	341	29	72	138
ENSMUSG00000029868	Trpv6	0	1	0	0	1	0
ENSMUSG00000029869	Ephb6	1	0	0	0	1	0
ENSMUSG00000029875	Ccdc184	6	7	9	2	9	1
ENSMUSG00000029878	Dbpht2	10	9	13	7	5	11
ENSMUSG00000029883	1700074P13Rik	0	0	0	0	0	1
ENSMUSG00000029885	Moxd2	0	2	0	0	1	0
ENSMUSG00000029910	Mad2l1	3031	1961	1228	1438	1017	626
ENSMUSG00000029911	Ssbp1	1501	1253	1348	1729	1252	1432
ENSMUSG00000029915	Clec5a	0	0	1	0	6	5
ENSMUSG00000029916	Agk	857	655	721	592	499	622
ENSMUSG00000029918	Mrps33	1826	1851	1426	1376	1308	1060
ENSMUSG00000029919	Hpgds	113	417	322	69	223	238
ENSMUSG00000029920	Smarcad1	1277	1088	1323	1430	1314	1440
ENSMUSG00000029922	Mkrn1	4782	5613	3391	3814	4652	3244
ENSMUSG00000029923	Rab19	347	334	306	107	90	138
ENSMUSG00000029924	Slc37a3	1908	1727	1350	1244	1361	1175
ENSMUSG00000029925	Tbxas1	18	19	10	58	26	7
ENSMUSG00000029992	Gfpt1	19667	18088	27506	18796	26035	45980
ENSMUSG00000029993	Nfu1	1677	1695	1656	1945	1997	2012
ENSMUSG00000029994	Anxa4	41738	29748	63527	21742	20026	38028
ENSMUSG00000029998	Pcyox1	5989	5524	4692	2894	3220	2820
ENSMUSG00000029999	Tgfa	1495	1686	1844	916	1638	1118
ENSMUSG00000030002	Dusp11	6288	5501	5518	9286	9521	8060
ENSMUSG00000030004	Nat8	420	2718	709	482	2334	631
ENSMUSG00000030007	Cct7	15407	11605	13882	12566	10126	11494
ENSMUSG00000030008	Pradc1	381	400	374	447	394	304
ENSMUSG00000030016	Zfp638	2344	2520	2591	4474	4005	2739
ENSMUSG00000030017	Reg3g	4938	11980	34774	1555	5060	23501
ENSMUSG00000030019	Fbxl14	2348	2135	2014	1590	1897	1560
ENSMUSG00000030020	Prickle2	0	0	2	0	0	0
ENSMUSG00000030022	Adamts9	0	4	9	2	2	4
ENSMUSG00000030029	Lrig1	11376	6505	6745	8962	6959	3931
ENSMUSG00000030030	1700003E16Rik	266	245	233	125	121	98
ENSMUSG00000030031	Kbtbd8	356	421	384	391	363	276
ENSMUSG00000030032	Wdr54	139	212	210	123	168	97
ENSMUSG00000030034	Ino80b	561	437	485	550	493	473
ENSMUSG00000030035	Wbp1	3024	3494	2252	1862	2527	1418
ENSMUSG00000030036	Mogs	4872	3945	4424	4200	3803	4410
ENSMUSG00000030041	M1ap	0	1	2	0	1	1
ENSMUSG00000030042	Pole4	1323	1196	1765	1989	1997	2439
ENSMUSG00000030045	Mrpl19	1972	1536	2044	2196	1404	1606
ENSMUSG00000030046	Bmp10	0	0	0	0	1	0
ENSMUSG00000030047	Arhgap25	0	0	0	0	1	0
ENSMUSG00000030048	Gkn3	106	58	2	23	15	1
ENSMUSG00000030050	Gkn1	0	0	0	0	0	1
ENSMUSG00000030051	Aplf	585	493	236	728	606	253
ENSMUSG00000030054	Gp9	1	0	1	1	0	0
ENSMUSG00000030055	Rab43	192	178	114	63	101	47
ENSMUSG00000030056	Isy1	873	725	731	765	599	653
ENSMUSG00000030057	Cnbp	18327	14827	17720	18965	15199	15009
ENSMUSG00000030058	Copg1	7961	8904	10169	10052	11239	14093
ENSMUSG00000030059	Tmf1	1829	1980	1929	2268	2746	1882
ENSMUSG00000030060	Hmces	632	573	642	690	712	738
ENSMUSG00000030061	Uba3	3298	2826	3431	5346	6055	5093
ENSMUSG00000030062	Rpn1	16829	14455	16643	18860	15285	21058
ENSMUSG00000030064	Frmd4b	1521	1309	660	1329	932	634
ENSMUSG00000030067	Foxp1	2070	1827	1722	3146	3407	1841
ENSMUSG00000030068	Gm20696	1	0	0	0	1	0
ENSMUSG00000030069	Prok2	0	0	0	1	0	2
ENSMUSG00000030074	Gxylt2	9	11	21	9	10	17
ENSMUSG00000030077	Chl1	0	0	0	0	2	0
ENSMUSG00000030079	Ruvbl1	2029	1431	1544	1531	902	1242
ENSMUSG00000030082	Sec61a1	11137	8438	13510	18033	14419	24759
ENSMUSG00000030083	Abtb1	803	641	198	535	713	197
ENSMUSG00000030084	Plxna1	2082	1664	3748	1212	1010	2093
ENSMUSG00000030086	Chchd6	392	267	189	312	202	146
ENSMUSG00000030087	Klf15	39	20	26	63	65	24
ENSMUSG00000030088	Aldh1l1	4825	5545	3871	2085	3088	2246
ENSMUSG00000030089	Slc41a3	41	91	77	21	62	65
ENSMUSG00000030091	Nup210	3775	2821	3560	1734	1175	1461
ENSMUSG00000030093	Wnt7a	0	0	0	0	2	0
ENSMUSG00000030094	Xpc	969	705	701	843	870	653
ENSMUSG00000030095	Tmem43	921	790	1142	666	875	763
ENSMUSG00000030096	Slc6a6	15075	24301	36427	8013	15929	20870
ENSMUSG00000030098	Grip2	3	8	8	4	20	8
ENSMUSG00000030101	Sumf1	1179	1297	1128	792	947	739
ENSMUSG00000030102	Itpr1	1121	2372	1003	1177	2615	842
ENSMUSG00000030103	Bhlhe40	15700	14900	17914	22770	45305	23137
ENSMUSG00000030104	Edem1	4750	5277	5032	4664	6342	7120
ENSMUSG00000030105	Arl8b	4020	3705	4323	4387	4756	4036
ENSMUSG00000030107	Usp18	13	34	36	16	48	110
ENSMUSG00000030109	Slc6a12	1	1	0	0	0	1
ENSMUSG00000030110	Ret	121	243	183	47	144	67
ENSMUSG00000030111	A2m	1	0	0	0	1	0
ENSMUSG00000030116	Mfap5	0	0	0	0	0	0
ENSMUSG00000030117	Gdf3	0	0	0	0	0	0
ENSMUSG00000030120	Mlf2	10109	11187	12051	6936	9462	10073
ENSMUSG00000030122	Ptms	14637	12959	11365	6805	7239	6693
ENSMUSG00000030123	Plxnd1	157	132	118	176	207	202
ENSMUSG00000030124	Lag3	13	5	4	14	8	14
ENSMUSG00000030125	Lrrc23	0	0	1	1	2	3
ENSMUSG00000030126	Tmcc1	1343	2101	1715	1678	3910	2016
ENSMUSG00000030127	Cops7a	6237	4935	5743	4986	4542	5059
ENSMUSG00000030134	Rasgef1a	4	4	2	2	5	1
ENSMUSG00000030137	Tuba8	7	2	11	8	8	5
ENSMUSG00000030138	Bms1	2863	2693	3909	4057	3560	4235
ENSMUSG00000030145	Zfp248	12	6	3	11	8	3
ENSMUSG00000030149	Klrk1	1	0	0	0	0	0
ENSMUSG00000030154	Klrb1f	8	7	0	11	3	3
ENSMUSG00000030155	Clec2e	8841	7425	5216	9181	9000	10686
ENSMUSG00000030156	Cd69	0	0	0	7	6	0
ENSMUSG00000030157	Clec2d	1191	1190	925	1097	1350	1039
ENSMUSG00000030158	Clec12b	0	0	0	3	3	0
ENSMUSG00000030160	Tmem52b	5	14	4	9	16	0
ENSMUSG00000030161	Gabarapl1	954	677	726	1108	1196	447
ENSMUSG00000030162	Olr1	1	0	0	5	14	0
ENSMUSG00000030166	Rad52	352	249	237	628	445	248
ENSMUSG00000030168	Adipor2	24424	37387	22060	21267	38316	20577
ENSMUSG00000030170	Wnt5b	9	18	3	8	20	2
ENSMUSG00000030172	Erc1	591	718	734	853	1108	824
ENSMUSG00000030177	Ccdc77	741	526	498	930	665	593
ENSMUSG00000030180	Kdm5a	2707	2683	2703	4502	5008	3348
ENSMUSG00000030187	Klra2	1	0	0	0	0	0
ENSMUSG00000030188	Magohb	427	320	290	467	377	367
ENSMUSG00000030189	Ybx3	14060	8318	11901	10421	6420	8696
ENSMUSG00000030194	Tas2r116	0	0	0	0	0	0
ENSMUSG00000030199	Etv6	6026	4273	4382	7203	5227	4739
ENSMUSG00000030200	Bcl2l14	1974	2205	1778	1713	1812	1425
ENSMUSG00000030201	Lrp6	4988	5968	5868	6270	8159	6792
ENSMUSG00000030203	Dusp16	2814	3084	2355	6418	9048	3722
ENSMUSG00000030204	Ddx47	2324	1971	2364	2728	2407	2377
ENSMUSG00000030206	Gsg1	0	0	0	2	0	0
ENSMUSG00000030207	Fam234b	5982	5892	4765	3260	3609	1889
ENSMUSG00000030208	Emp1	8271	10488	10983	5003	8305	8588
ENSMUSG00000030209	Grin2b	0	4	1	0	0	0
ENSMUSG00000030213	Atf7ip	2797	3153	3153	3447	4500	2703
ENSMUSG00000030214	Plbd1	1265	1465	3683	757	1080	2921
ENSMUSG00000030216	Wbp11	3981	3507	3920	4606	4491	3841
ENSMUSG00000030219	Erp27	0	0	0	0	0	0
ENSMUSG00000030220	Arhgdib	0	0	0	0	0	0
ENSMUSG00000030222	Rerg	5	2	142	3	11	252
ENSMUSG00000030223	Ptpro	360	172	93	268	89	8
ENSMUSG00000030224	Strap	8201	7011	7598	9432	8043	7868
ENSMUSG00000030225	Dera	4282	5001	2724	2958	4039	1791
ENSMUSG00000030226	Lmo3	9	5	2	4	4	1
ENSMUSG00000030228	Pik3c2g	3	0	3	31	41	10
ENSMUSG00000030230	Plcz1	0	1	0	1	2	0
ENSMUSG00000030231	Plekha5	4310	3443	4369	8077	7289	7112
ENSMUSG00000030232	Aebp2	3202	3374	5059	3921	4757	4834
ENSMUSG00000030235	Slco1c1	2	8	8	13	25	2
ENSMUSG00000030236	Slco1b2	0	6	1	2	12	1
ENSMUSG00000030237	Slco1a4	0	0	1	0	0	0
ENSMUSG00000030243	Recql	599	558	577	499	495	395
ENSMUSG00000030244	Gys2	0	0	1	0	1	0
ENSMUSG00000030245	Golt1b	670	483	517	1083	807	907
ENSMUSG00000030246	Ldhb	6	1	0	3	3	2
ENSMUSG00000030247	Kcnj8	1	0	0	1	1	0
ENSMUSG00000030249	Abcc9	0	0	0	1	0	1
ENSMUSG00000030254	Rad18	909	622	452	894	623	319
ENSMUSG00000030255	Sspn	0	0	0	0	0	0
ENSMUSG00000030256	Bhlhe41	0	1	2	9	6	7
ENSMUSG00000030257	Srgap3	26	29	24	25	10	11
ENSMUSG00000030259	Rassf8	1	3	2	8	7	1
ENSMUSG00000030263	Lrmp	307	1050	417	140	560	287
ENSMUSG00000030264	Thumpd3	2261	1770	1907	3503	2293	2432
ENSMUSG00000030265	Kras	4338	4279	5128	5314	5511	5733
ENSMUSG00000030268	Bcat1	0	0	0	0	2	3
ENSMUSG00000030269	Mtmr14	1312	1099	464	1240	1344	690
ENSMUSG00000030270	Cpne9	0	0	0	1	1	2
ENSMUSG00000030271	Ogg1	534	424	324	689	542	364
ENSMUSG00000030272	Camk1	488	326	630	448	262	558
ENSMUSG00000030275	Etnk1	5016	7143	6284	6486	13125	8536
ENSMUSG00000030276	Ttll3	154	299	426	215	361	516
ENSMUSG00000030278	Cidec	499	844	891	1354	3374	2909
ENSMUSG00000030279	C2cd5	1872	1736	1361	2478	2808	1878
ENSMUSG00000030281	Il17rc	2665	2221	3873	1882	1939	3126
ENSMUSG00000030282	Cmas	8553	7141	9005	5982	6601	6253
ENSMUSG00000030283	St8sia1	2	19	5	10	31	4
ENSMUSG00000030284	Creld1	286	182	188	789	737	581
ENSMUSG00000030286	Emc3	2354	2277	2187	2416	2671	2343
ENSMUSG00000030287	Itpr2	423	744	757	436	555	599
ENSMUSG00000030291	Med21	839	699	754	778	708	630
ENSMUSG00000030292	Smco2	0	0	0	0	0	0
ENSMUSG00000030298	Sec13	8089	8441	8651	7563	7879	7598
ENSMUSG00000030301	Ccdc91	1701	1613	1177	1892	1796	1112
ENSMUSG00000030302	Atp2b2	6	15	4	1	12	3
ENSMUSG00000030303	Far2	5168	3722	2740	2836	1493	775
ENSMUSG00000030304	Ergic2	1862	2238	2582	2325	3805	2613
ENSMUSG00000030306	Tmtc1	19	13	9	19	41	10
ENSMUSG00000030307	Slc6a11	0	0	0	0	0	0
ENSMUSG00000030309	Caprin2	426	366	296	313	281	209
ENSMUSG00000030310	Slc6a1	0	0	0	0	0	0
ENSMUSG00000030313	Dennd5b	1029	1699	1511	1903	3458	1739
ENSMUSG00000030314	Atg7	1399	1115	1229	1212	1178	1147
ENSMUSG00000030315	Vgll4	3271	1940	2137	2523	2203	1981
ENSMUSG00000030316	Tamm41	1429	1092	978	905	671	550
ENSMUSG00000030317	Timp4	3	0	0	0	2	1
ENSMUSG00000030319	Cand2	331	271	245	234	199	128
ENSMUSG00000030321	Efcab12	5	3	3	4	5	4
ENSMUSG00000030322	Mbd4	253	196	148	345	225	81
ENSMUSG00000030323	Ift122	187	180	123	203	287	137
ENSMUSG00000030324	Rho	0	1	1	3	3	2
ENSMUSG00000030325	Klrb1c	1	0	0	2	4	2
ENSMUSG00000030327	Necap1	2368	2829	2987	2967	4108	2940
ENSMUSG00000030329	Pianp	10	4	61	5	6	58
ENSMUSG00000030330	Ing4	23	35	39	21	58	44
ENSMUSG00000030335	Mrpl51	3844	4071	3874	2447	2914	2815
ENSMUSG00000030336	Cd27	12	30	46	30	55	111
ENSMUSG00000030337	Vamp1	793	985	1650	905	1340	2207
ENSMUSG00000030339	Ltbr	7386	7597	7951	6183	6919	6520
ENSMUSG00000030340	Scnn1a	256	661	366	215	491	207
ENSMUSG00000030341	Tnfrsf1a	5585	6905	6358	3490	6307	5294
ENSMUSG00000030342	Cd9	2695	1499	1949	715	711	827
ENSMUSG00000030344	Akap3	0	2	0	0	5	0
ENSMUSG00000030345	Dyrk4	15	201	69	14	112	35
ENSMUSG00000030346	Rad51ap1	725	604	442	724	416	176
ENSMUSG00000030347	D6Wsu163e	527	716	610	769	948	687
ENSMUSG00000030351	Tspan11	0	0	0	0	0	0
ENSMUSG00000030352	Tspan9	191	123	167	209	106	186
ENSMUSG00000030353	Tead4	63	36	50	29	19	44
ENSMUSG00000030357	Fkbp4	20948	17707	22541	14170	11563	13809
ENSMUSG00000030359	Pzp	15	82	10	11	44	5
ENSMUSG00000030361	Klrb1a	0	0	0	1	1	1
ENSMUSG00000030363	Clec2j	0	2	0	0	0	0
ENSMUSG00000030364	Clec2h	3702	7435	3564	2456	8581	3955
ENSMUSG00000030365	Clec2i	0	1	0	8	17	4
ENSMUSG00000030366	Ceacam12	4	1	1	3	1	2
ENSMUSG00000030368	Ceacam11	0	0	0	0	0	0
ENSMUSG00000030373	Psg28	0	0	0	0	2	0
ENSMUSG00000030374	Strn4	4313	3487	4975	5510	5280	5746
ENSMUSG00000030376	Slc8a2	0	0	3	0	5	1
ENSMUSG00000030378	Sult2a8	0	0	1	0	0	0
ENSMUSG00000030380	Mzf1	33	38	15	19	37	19
ENSMUSG00000030382	Slc27a5	22	38	7	9	19	4
ENSMUSG00000030385	2900092C05Rik	1	0	0	1	0	0
ENSMUSG00000030386	Zfp606	204	205	179	323	190	177
ENSMUSG00000030393	Zik1	25	10	10	23	15	4
ENSMUSG00000030397	Mark4	1225	1013	1207	1306	1669	1455
ENSMUSG00000030399	Ckm	0	0	0	1	0	0
ENSMUSG00000030400	Ercc2	757	669	730	736	723	606
ENSMUSG00000030401	Rtn2	43	37	24	36	33	32
ENSMUSG00000030402	Ppm1n	13	5	15	10	7	4
ENSMUSG00000030403	Vasp	13816	10478	13920	10387	9818	12389
ENSMUSG00000030406	Gipr	34	25	54	36	39	49
ENSMUSG00000030407	Qpctl	423	379	294	380	469	345
ENSMUSG00000030409	Dmpk	107	76	106	62	54	42
ENSMUSG00000030410	Dmwd	176	157	98	138	160	89
ENSMUSG00000030411	Nova2	0	4	4	3	5	0
ENSMUSG00000030413	Pglyrp1	6394	3898	4764	2870	1959	2542
ENSMUSG00000030417	Pdcd5	1637	1576	1487	1229	1095	1172
ENSMUSG00000030421	Uri1	2299	1605	1350	2365	1843	1449
ENSMUSG00000030423	Pop4	1099	1043	908	931	897	766
ENSMUSG00000030424	Zfp939	95	112	124	414	418	200
ENSMUSG00000030428	Ttyh1	111	179	136	490	1551	613
ENSMUSG00000030431	Tmem238	1222	902	1172	556	532	654
ENSMUSG00000030432	Rpl28	40849	20742	29188	30565	18192	25259
ENSMUSG00000030433	Sbk2	2	1	0	2	3	2
ENSMUSG00000030435	U2af2	9369	7804	10126	9013	8313	9116
ENSMUSG00000030443	Zfp583	0	0	0	0	0	1
ENSMUSG00000030446	Zfp273	177	150	115	131	94	76
ENSMUSG00000030447	Cyfip1	5604	5260	5306	4606	4770	4564
ENSMUSG00000030450	Oca2	0	0	1	0	0	0
ENSMUSG00000030451	Herc2	3612	6182	4284	3270	5707	4629
ENSMUSG00000030452	Nipa2	1765	2066	2320	2330	3044	2874
ENSMUSG00000030465	Psd3	660	865	994	930	1051	945
ENSMUSG00000030469	Zfp719	393	459	417	858	933	548
ENSMUSG00000030470	Csrp3	0	1	0	0	0	0
ENSMUSG00000030471	Zdhhc13	3693	3133	3178	3245	3515	2334
ENSMUSG00000030472	Ceacam18	1057	2216	1336	1283	3214	1760
ENSMUSG00000030474	Siglece	4	6	5	6	13	9
ENSMUSG00000030483	Cyp2b10	7354	19626	8183	5028	18710	7726
ENSMUSG00000030484	Lypd5	0	0	2	2	1	6
ENSMUSG00000030486	Zfp108	74	62	26	138	118	36
ENSMUSG00000030491	Tdrd12	59	89	51	34	63	33
ENSMUSG00000030492	Slc7a9	2245	5484	2646	1551	5144	2686
ENSMUSG00000030493	Faap24	527	548	452	602	680	384
ENSMUSG00000030494	Rhpn2	7108	7060	7119	5354	10284	7505
ENSMUSG00000030498	Gas2	757	680	355	669	699	323
ENSMUSG00000030499	Kctd15	230	183	217	455	352	499
ENSMUSG00000030500	Slc17a6	0	0	1	0	0	0
ENSMUSG00000030505	Prmt3	1034	684	1248	1505	782	1115
ENSMUSG00000030509	Asb7	1085	914	860	1109	1062	873
ENSMUSG00000030510	Cers3	5	4	9	11	8	3
ENSMUSG00000030512	Snrpa1	1868	1408	1299	1761	1464	977
ENSMUSG00000030513	Pcsk6	1215	721	803	1042	590	759
ENSMUSG00000030515	Tarsl2	555	411	621	1025	723	879
ENSMUSG00000030516	Tjp1	6104	6804	7047	8313	9676	8273
ENSMUSG00000030518	Fam189a1	11	26	34	7	11	17
ENSMUSG00000030519	Apba2	1	0	2	1	1	5
ENSMUSG00000030521	Mphosph10	1595	1376	2158	3691	2479	2784
ENSMUSG00000030522	Mtmr10	412	456	454	589	671	483
ENSMUSG00000030525	Chrna7	0	0	0	1	0	0
ENSMUSG00000030527	Crtc3	654	627	752	1003	1070	998
ENSMUSG00000030528	Blm	956	750	463	1054	658	260
ENSMUSG00000030530	Furin	3760	4278	4362	2534	3776	2621
ENSMUSG00000030532	Hddc3	117	114	60	83	86	54
ENSMUSG00000030533	Unc45a	1479	1617	2196	2234	2896	2636
ENSMUSG00000030534	Vps33b	820	978	1056	562	888	759
ENSMUSG00000030536	Iqgap1	10946	10469	12337	8672	10818	11769
ENSMUSG00000030538	Cib1	6518	7169	5437	4737	5767	4025
ENSMUSG00000030539	Sema4b	2346	2242	2431	1378	2214	1537
ENSMUSG00000030541	Idh2	10682	7262	7668	5581	4515	5468
ENSMUSG00000030543	Mesp2	97	48	36	85	42	16
ENSMUSG00000030544	Mesp1	5	5	6	3	1	6
ENSMUSG00000030545	Pex11a	1690	2303	2471	2065	2833	2564
ENSMUSG00000030546	Plin1	0	1	0	1	2	1
ENSMUSG00000030549	Rhcg	1	1	0	1	0	0
ENSMUSG00000030551	Nr2f2	575	347	340	585	309	323
ENSMUSG00000030554	Synm	7	15	12	18	14	5
ENSMUSG00000030555	Ttc23	1029	665	354	822	611	270
ENSMUSG00000030556	Lrrc28	297	463	222	341	550	249
ENSMUSG00000030557	Mef2a	1395	1318	1503	2943	3795	2774
ENSMUSG00000030559	Rab38	30	28	4	99	77	15
ENSMUSG00000030560	Ctsc	5130	4264	5182	8658	9084	14502
ENSMUSG00000030562	Nox4	0	1	0	0	9	1
ENSMUSG00000030577	Cd22	3	4	10	1	2	4
ENSMUSG00000030583	Sipa1l3	5058	6845	8497	6119	9680	8324
ENSMUSG00000030584	Dpf1	4	11	3	4	3	2
ENSMUSG00000030587	2200002D01Rik	5740	6900	8375	3802	5598	7184
ENSMUSG00000030588	Yif1b	607	460	363	641	496	404
ENSMUSG00000030589	Rasgrp4	4	9	10	4	5	6
ENSMUSG00000030590	Fam98c	926	1044	980	779	1084	838
ENSMUSG00000030591	Psmd8	5585	5293	4731	4742	4711	4153
ENSMUSG00000030592	Ryr1	1	1	7	1	6	2
ENSMUSG00000030595	Nfkbib	740	761	759	1087	1188	998
ENSMUSG00000030598	Fbxo17	31	16	17	14	6	5
ENSMUSG00000030600	Lrfn1	43	24	24	9	6	9
ENSMUSG00000030602	Pak4	3171	2397	2876	2632	3265	3069
ENSMUSG00000030603	Psmc4	3910	4039	4794	3698	3840	4274
ENSMUSG00000030604	Zfp626	447	447	424	410	512	289
ENSMUSG00000030605	Mfge8	8283	6077	9217	4515	4020	7826
ENSMUSG00000030606	Hapln3	1	0	0	0	1	6
ENSMUSG00000030607	Acan	0	0	0	0	0	1
ENSMUSG00000030609	Aen	2019	1662	5054	2387	1717	3043
ENSMUSG00000030610	Det1	824	562	562	1464	897	793
ENSMUSG00000030611	Mrps11	684	664	644	528	563	509
ENSMUSG00000030612	Mrpl46	1785	1558	1831	1415	1269	1374
ENSMUSG00000030613	Ccdc90b	814	734	476	816	705	473
ENSMUSG00000030614	Tmem126b	801	895	762	952	1063	639
ENSMUSG00000030615	Tmem126a	1256	1145	1314	1193	1132	1193
ENSMUSG00000030616	Sytl2	563	953	1646	1046	1587	1887
ENSMUSG00000030617	Ccdc83	0	0	0	0	0	0
ENSMUSG00000030619	Eed	2142	1953	2388	3793	3344	2948
ENSMUSG00000030621	Me3	125	71	438	63	77	495
ENSMUSG00000030623	Prss23os	3	7	16	7	9	11
ENSMUSG00000030629	Zfand6	6619	6614	4541	5647	6568	4817
ENSMUSG00000030630	Fah	11	16	10	11	12	8
ENSMUSG00000030636	1700010L04Rik	1	0	0	0	0	0
ENSMUSG00000030641	Ddias	741	521	648	750	706	311
ENSMUSG00000030643	Rab30	430	1472	1029	1389	7431	2209
ENSMUSG00000030647	Ndufc2	3012	2474	2204	1804	1727	1728
ENSMUSG00000030649	Anapc15	301	257	189	263	248	140
ENSMUSG00000030650	Tmc5	2053	4722	2632	2788	8085	3351
ENSMUSG00000030651	Art2b	0	0	0	0	0	0
ENSMUSG00000030652	Coq7	963	967	1024	733	873	788
ENSMUSG00000030653	Pde2a	0	2	2	0	0	1
ENSMUSG00000030654	Arl6ip1	9836	8572	7670	3331	4175	4606
ENSMUSG00000030655	Smg1	7890	9983	10153	10927	15190	12070
ENSMUSG00000030657	Xylt1	217	325	219	190	316	121
ENSMUSG00000030659	Nucb2	323	259	279	1054	783	1047
ENSMUSG00000030660	Pik3c2a	4393	5801	4821	9163	13825	6805
ENSMUSG00000030662	Ipo5	12340	8794	12056	9916	7418	10084
ENSMUSG00000030663	1110004F10Rik	2987	2670	2485	3390	2665	2334
ENSMUSG00000030664	Sox6os	0	1	0	2	0	0
ENSMUSG00000030666	Calcb	1	0	0	10	6	7
ENSMUSG00000030669	Calca	0	2	0	7	11	10
ENSMUSG00000030670	Cyp2r1	27	39	22	32	52	32
