id	sym	WT_6_hr_DMSO_1	WT_6_hr_DMSO_2	WT_6_hr_DMSO_3	WT_6_hr_Tunicamycin_1	WT_6_hr_Tunicamycin_2	WT_6_hr_Tunicamycin_3
ENSMUSG00000025495	Ptdss2	282	287	369	244	222	230
ENSMUSG00000025496	Drd4	0	0	0	4	3	5
ENSMUSG00000025497	Cdhr5	924	1087	1143	651	568	632
ENSMUSG00000025498	Irf7	1084	685	884	420	500	403
ENSMUSG00000025499	Hras	732	625	854	649	568	723
ENSMUSG00000025500	Lmntd2	15	32	20	10	12	20
ENSMUSG00000025503	Taldo1	2089	1742	1971	1262	1310	1457
ENSMUSG00000025504	Eps8l2	541	422	593	604	406	582
ENSMUSG00000025505	Tmem80	164	238	215	135	140	197
ENSMUSG00000025507	Pidd1	51	75	96	71	87	110
ENSMUSG00000025508	Rplp2	2392	2098	2295	2480	2769	3047
ENSMUSG00000025509	Pnpla2	1275	1402	2447	997	1016	1369
ENSMUSG00000025510	Cd151	771	703	783	494	511	672
ENSMUSG00000025511	Tspan4	1220	1142	1717	529	590	728
ENSMUSG00000025512	Chid1	635	607	574	1520	1163	1258
ENSMUSG00000025515	Muc2	2	3	1	0	1	1
ENSMUSG00000025521	Tmem192	166	176	199	209	177	242
ENSMUSG00000025525	Apool	456	417	433	262	299	297
ENSMUSG00000025527	Satl1	0	0	0	0	0	0
ENSMUSG00000025529	Zfp711	0	0	0	1	0	0
ENSMUSG00000025531	Chm	424	433	484	728	702	703
ENSMUSG00000025532	Crcp	569	593	933	833	778	882
ENSMUSG00000025533	Asl	13234	16104	24916	5303	6075	7207
ENSMUSG00000025534	Gusb	622	649	1040	340	354	451
ENSMUSG00000025537	Phkg1	7	10	5	6	7	6
ENSMUSG00000025538	Sumf2	152	131	177	73	73	93
ENSMUSG00000025544	Tm9sf2	4408	4885	5640	7455	7247	8240
ENSMUSG00000025545	Clybl	549	520	679	338	373	483
ENSMUSG00000025551	Fgf14	0	1	2	1	0	0
ENSMUSG00000025555	Farp1	390	613	545	483	438	581
ENSMUSG00000025557	Slc15a1	1	0	0	0	0	0
ENSMUSG00000025558	Dock9	226	495	426	734	515	743
ENSMUSG00000025571	Tnrc6c	443	591	746	1058	756	924
ENSMUSG00000025572	Tmc6	245	208	399	142	116	191
ENSMUSG00000025573	6030468B19Rik	0	2	0	0	0	0
ENSMUSG00000025574	Tk1	662	805	867	136	167	188
ENSMUSG00000025575	Cant1	644	620	932	1363	1150	1346
ENSMUSG00000025576	Rbfox3	11	14	15	14	12	18
ENSMUSG00000025577	Cbx2	206	221	296	269	178	240
ENSMUSG00000025578	Cbx8	139	110	155	91	68	80
ENSMUSG00000025579	Gaa	1489	1566	2466	1689	1886	2020
ENSMUSG00000025580	Eif4a3	569	719	782	1471	1408	1717
ENSMUSG00000025582	Nptx1	10	1	7	1	2	0
ENSMUSG00000025583	Rptor	823	1095	1276	898	939	984
ENSMUSG00000025584	Pde8a	907	931	1397	713	693	738
ENSMUSG00000025586	Cpeb1	68	160	122	588	471	493
ENSMUSG00000025588	Nat1	44	36	35	18	5	16
ENSMUSG00000025591	Tma16	106	116	120	784	592	703
ENSMUSG00000025592	Dach2	0	0	0	0	0	1
ENSMUSG00000025597	Klhl4	18	19	16	18	30	34
ENSMUSG00000025602	Zfp202	19	29	23	115	75	87
ENSMUSG00000025607	Copg2	619	785	569	592	591	670
ENSMUSG00000025608	Podxl	86	164	234	162	155	305
ENSMUSG00000025609	Mkln1	1453	1794	1952	2252	2197	2632
ENSMUSG00000025610	Map3k7cl	0	0	1	1	2	2
ENSMUSG00000025612	Bach1	947	1248	1450	2029	1880	2158
ENSMUSG00000025613	Cct8	2775	3033	3851	3775	3419	3987
ENSMUSG00000025616	Usp16	705	802	1032	2638	2569	2990
ENSMUSG00000025626	Phf6	237	263	313	383	388	400
ENSMUSG00000025630	Hprt	1033	983	1129	1110	952	1209
ENSMUSG00000025644	Gm7628	13	24	29	8	6	13
ENSMUSG00000025645	Ccdc51	167	145	183	116	119	191
ENSMUSG00000025646	Atrip	3	6	6	17	13	17
ENSMUSG00000025647	Shisa5	651	628	655	394	474	504
ENSMUSG00000025648	Pfkfb4	22	17	20	25	16	17
ENSMUSG00000025650	Col7a1	8	20	13	9	13	17
ENSMUSG00000025651	Uqcrc1	4190	4854	5956	3572	3775	4883
ENSMUSG00000025652	Tmem89	0	0	0	0	0	0
ENSMUSG00000025656	Arhgef9	54	93	47	71	83	92
ENSMUSG00000025658	Cnksr2	0	0	0	0	0	0
ENSMUSG00000025665	Rps6ka6	1	0	4	1	2	8
ENSMUSG00000025666	Tmem47	117	151	153	172	156	225
ENSMUSG00000025701	Alox5	3	0	2	1	1	2
ENSMUSG00000025702	March8	2608	2363	3148	2465	2305	2701
ENSMUSG00000025722	Wdr73	320	271	391	505	413	479
ENSMUSG00000025723	Nmb	4	6	4	16	38	39
ENSMUSG00000025724	Sec11a	931	791	1045	3804	4252	4879
ENSMUSG00000025726	Slc28a1	6	7	3	1	2	0
ENSMUSG00000025728	Pigq	780	802	979	855	722	981
ENSMUSG00000025730	Rab40c	224	266	291	320	236	261
ENSMUSG00000025731	0610011F06Rik	1455	1144	1594	919	864	1077
ENSMUSG00000025732	Fam195a	537	453	743	326	302	394
ENSMUSG00000025733	Rhot2	393	498	610	317	305	412
ENSMUSG00000025735	Rhbdl1	5	12	12	12	2	8
ENSMUSG00000025736	Jmjd8	397	390	445	302	321	372
ENSMUSG00000025737	Wdr24	312	379	453	500	461	599
ENSMUSG00000025738	Fbxl16	6	5	10	12	3	14
ENSMUSG00000025742	Prps2	416	639	350	211	214	252
ENSMUSG00000025743	Sdc3	841	721	1171	1362	1228	1535
ENSMUSG00000025745	Hadha	7761	7122	11664	6557	5977	7441
ENSMUSG00000025746	Il6	1	1	2	5	3	3
ENSMUSG00000025747	Tyms	178	178	163	136	142	160
ENSMUSG00000025754	Agbl1	0	0	0	0	0	0
ENSMUSG00000025757	Hspa4l	680	1020	1449	476	410	608
ENSMUSG00000025758	Plk4	55	31	48	125	102	121
ENSMUSG00000025759	Mfsd8	285	380	331	695	624	734
ENSMUSG00000025762	Larp1b	1616	1552	2128	4983	4959	5971
ENSMUSG00000025764	Jade1	1223	1118	1240	3099	2349	2881
ENSMUSG00000025766	D3Ertd751e	243	290	262	172	169	188
ENSMUSG00000025776	Crispld1	0	0	0	0	0	1
ENSMUSG00000025777	Gdap1	0	0	0	0	0	0
ENSMUSG00000025779	Ly96	63	39	76	104	101	101
ENSMUSG00000025780	Itih5	509	630	673	499	469	688
ENSMUSG00000025781	Atp5c1	5199	4686	5656	3383	3401	4295
ENSMUSG00000025782	Taf3	102	129	179	198	191	209
ENSMUSG00000025783	4930412O13Rik	0	0	0	0	0	0
ENSMUSG00000025784	Clec3b	3	2	7	6	4	20
ENSMUSG00000025785	Exosc7	371	424	420	451	425	555
ENSMUSG00000025786	Zdhhc3	630	596	758	632	573	681
ENSMUSG00000025787	Tgm4	0	2	4	2	1	5
ENSMUSG00000025789	St8sia2	2	0	0	2	1	1
ENSMUSG00000025790	Slco3a1	86	96	118	110	111	144
ENSMUSG00000025791	Pgm2	3666	3666	5337	1865	2207	2535
ENSMUSG00000025792	Slc25a10	3189	3108	4630	1438	1654	2139
ENSMUSG00000025793	Hgs	796	968	1422	2360	2145	2427
ENSMUSG00000025794	Rpl14	2748	2456	3119	3465	3605	3840
ENSMUSG00000025795	Rassf3	1111	830	1352	1488	1655	2424
ENSMUSG00000025804	Ccr1	3	2	4	2	4	3
ENSMUSG00000025809	Itgb1	4098	3811	4936	4626	4380	5315
ENSMUSG00000025810	Nrp1	1172	2050	2011	1018	849	1008
ENSMUSG00000025812	Pard3	1520	1755	2248	2935	2512	2930
ENSMUSG00000025813	Homer2	850	1229	1499	250	271	351
ENSMUSG00000025815	Dhtkd1	1157	2307	1872	964	966	1347
ENSMUSG00000025816	Sec61a2	56	95	90	156	125	123
ENSMUSG00000025817	Nudt5	380	422	487	671	599	737
ENSMUSG00000025821	Zfp282	89	89	105	312	229	289
ENSMUSG00000025823	Pdia4	4044	3843	4094	108405	107667	131304
ENSMUSG00000025825	Iscu	1310	1054	1426	1141	1089	1360
ENSMUSG00000025854	Fam20c	1250	1179	1785	1074	931	1028
ENSMUSG00000025855	Prkar1b	4	5	15	6	9	12
ENSMUSG00000025856	Pdgfa	65	93	112	241	230	225
ENSMUSG00000025857	Dnaaf5	207	210	275	445	374	423
ENSMUSG00000025858	Get4	480	437	490	955	983	1173
ENSMUSG00000025860	Xiap	3061	3099	3491	4151	3899	4306
ENSMUSG00000025862	Stag2	1663	1712	2205	1911	1837	1888
ENSMUSG00000025867	Cplx2	27	32	43	38	39	46
ENSMUSG00000025868	Higd2a	837	561	785	363	387	505
ENSMUSG00000025869	Nop16	378	393	500	1015	882	1040
ENSMUSG00000025870	Arl10	42	57	68	43	41	61
ENSMUSG00000025871	4833439L19Rik	1508	1688	2503	1147	1189	1487
ENSMUSG00000025872	Thoc3	422	454	544	597	597	707
ENSMUSG00000025873	Faf2	1107	1156	1462	2000	1869	1941
ENSMUSG00000025875	Tspan17	42	38	32	24	27	26
ENSMUSG00000025876	Unc5a	19	19	28	27	37	35
ENSMUSG00000025877	Hk3	118	77	108	119	121	142
ENSMUSG00000025878	Uimc1	402	482	498	767	670	778
ENSMUSG00000025880	Smad7	176	217	245	447	378	327
ENSMUSG00000025885	Myo5b	554	903	846	372	344	407
ENSMUSG00000025887	Casp12	50	51	33	51	48	61
ENSMUSG00000025888	Casp1	52	44	57	70	50	73
ENSMUSG00000025889	Snca	18	10	10	18	8	9
ENSMUSG00000025892	Gria4	3	1	2	3	4	2
ENSMUSG00000025893	Kbtbd3	49	38	41	34	28	44
ENSMUSG00000025894	Aasdhppt	664	677	671	958	791	932
ENSMUSG00000025898	Cwf19l2	392	501	510	1199	1121	1188
ENSMUSG00000025899	Alkbh8	150	201	269	336	293	309
ENSMUSG00000025900	Rp1	0	0	0	0	0	0
ENSMUSG00000025902	Sox17	29	46	59	76	63	87
ENSMUSG00000025903	Lypla1	4308	3511	3992	2108	2105	2536
ENSMUSG00000025905	Oprk1	1	0	0	0	0	0
ENSMUSG00000025907	Rb1cc1	1264	1386	1853	3724	3125	3516
ENSMUSG00000025909	Sntg1	7	12	5	14	11	5
ENSMUSG00000025911	Adhfe1	1944	2479	1991	1408	1375	1554
ENSMUSG00000025912	Mybl1	27	86	24	15	12	20
ENSMUSG00000025915	Sgk3	390	396	406	469	456	527
ENSMUSG00000025916	Ppp1r42	9	5	5	8	3	5
ENSMUSG00000025917	Cops5	1255	1167	1256	1496	1440	1647
ENSMUSG00000025920	Stau2	125	96	119	229	171	233
ENSMUSG00000025921	Rdh10	694	625	898	657	609	773
ENSMUSG00000025922	Gm5045	0	0	1	0	1	0
ENSMUSG00000025925	Terf1	244	210	282	211	186	194
ENSMUSG00000025927	Tfap2b	0	0	0	0	1	0
ENSMUSG00000025930	Msc	2	4	5	5	11	8
ENSMUSG00000025931	Paqr8	6	9	16	8	16	32
ENSMUSG00000025932	Eya1	1	0	0	0	0	0
ENSMUSG00000025933	Tmem14a	95	128	89	19	18	41
ENSMUSG00000025934	Gsta3	23465	27523	29712	11289	9893	13543
ENSMUSG00000025935	Tram1	2932	3010	3143	6573	6777	7709
ENSMUSG00000025936	Gm4956	6	13	10	10	8	14
ENSMUSG00000025937	Lactb2	6431	6235	6068	9211	7847	9745
ENSMUSG00000025938	Slco5a1	1	1	0	1	0	0
ENSMUSG00000025939	Ube2w	548	508	580	639	627	730
ENSMUSG00000025940	Tmem70	1088	990	1212	1058	1126	1272
ENSMUSG00000025946	Pth2r	0	0	0	0	0	0
ENSMUSG00000025949	Pikfyve	548	769	795	1581	1376	1481
ENSMUSG00000025950	Idh1	8435	8419	9350	6533	6664	7649
ENSMUSG00000025955	Akr1cl	1	1	2	2	7	0
ENSMUSG00000025956	Mettl21a	183	186	216	316	304	378
ENSMUSG00000025958	Creb1	483	481	615	933	771	825
ENSMUSG00000025959	Klf7	43	103	81	130	112	177
ENSMUSG00000025961	4933402D24Rik	1	2	2	2	5	3
ENSMUSG00000025962	Fastkd2	421	440	367	573	552	599
ENSMUSG00000025963	Mdh1b	0	1	0	0	2	2
ENSMUSG00000025964	Adam23	240	312	514	576	461	715
ENSMUSG00000025967	Eef1b2	3609	2867	3386	4241	4277	4770
ENSMUSG00000025968	Ndufs1	2096	2666	3034	2152	2170	2827
ENSMUSG00000025969	Nrp2	205	260	633	776	953	789
ENSMUSG00000025971	9430016H08Rik	317	242	343	299	310	384
ENSMUSG00000025977	Boll	0	0	3	2	3	1
ENSMUSG00000025978	Rftn2	8	10	23	19	15	26
ENSMUSG00000025979	Mob4	617	570	725	1127	1059	1211
ENSMUSG00000025980	Hspd1	9159	11552	14408	11621	10722	12859
ENSMUSG00000025981	Coq10b	1246	1137	1492	1148	1166	1404
ENSMUSG00000025982	Sf3b1	2925	4039	4865	5200	5017	5459
ENSMUSG00000025983	Ccdc150	0	0	0	0	0	0
ENSMUSG00000025986	Slc39a10	79	134	136	151	115	111
ENSMUSG00000025991	Cps1	95776	211272	170174	154047	142577	184505
ENSMUSG00000025993	Slc40a1	3377	2418	4079	1961	2169	2146
ENSMUSG00000025995	Wdr75	230	218	324	1345	1137	1104
ENSMUSG00000025997	Ikzf2	14	8	15	13	15	12
ENSMUSG00000026000	Lancl1	498	536	508	379	382	438
ENSMUSG00000026003	Acadl	5390	4883	7594	3406	3541	4933
ENSMUSG00000026004	Kansl1l	290	282	390	395	255	313
ENSMUSG00000026005	Rpe	758	639	699	965	864	976
ENSMUSG00000026009	Icos	25	16	18	27	22	28
ENSMUSG00000026011	Ctla4	2	0	0	2	0	0
ENSMUSG00000026012	Cd28	7	3	6	7	8	9
ENSMUSG00000026014	Raph1	1741	2496	3223	4172	3533	4243
ENSMUSG00000026017	Carf	71	143	139	149	146	157
ENSMUSG00000026018	Ica1l	5	1	4	6	4	6
ENSMUSG00000026019	Wdr12	377	473	531	873	821	950
ENSMUSG00000026020	Nop58	418	552	501	5143	4579	5020
ENSMUSG00000026021	Sumo1	758	715	888	723	694	789
ENSMUSG00000026023	Cdk15	0	1	0	0	0	0
ENSMUSG00000026024	Als2	1618	1851	2367	894	866	1030
ENSMUSG00000026027	Stradb	732	848	1055	753	635	939
ENSMUSG00000026028	Trak2	581	740	1105	1049	978	1369
ENSMUSG00000026029	Casp8	671	674	900	569	515	758
ENSMUSG00000026031	Cflar	2414	2810	3605	10563	8467	9953
ENSMUSG00000026032	Ndufb3	798	751	783	440	471	555
ENSMUSG00000026034	Clk1	1055	1623	1362	1717	1592	1791
ENSMUSG00000026035	Ppil3	145	178	124	195	161	184
ENSMUSG00000026036	Nif3l1	280	283	317	423	398	493
ENSMUSG00000026037	Orc2	115	144	158	461	394	464
ENSMUSG00000026039	Sgol2a	14	2	5	2	4	6
ENSMUSG00000026042	Col5a2	131	121	226	207	217	291
ENSMUSG00000026043	Col3a1	1180	1235	750	646	1834	2003
ENSMUSG00000026047	Kdelc1	144	180	131	448	424	539
ENSMUSG00000026048	Ercc5	328	577	492	597	477	557
ENSMUSG00000026049	Tex30	87	37	58	178	143	141
ENSMUSG00000026051	1500015O10Rik	1	1	1	1	1	0
ENSMUSG00000026058	Khdrbs2	0	0	0	0	0	0
ENSMUSG00000026062	Slc9a2	0	0	0	0	0	1
ENSMUSG00000026064	Ptp4a1	5858	6827	8730	8269	7250	8673
ENSMUSG00000026065	Slc9a4	0	0	0	0	0	0
ENSMUSG00000026068	Il18rap	6	5	5	9	9	7
ENSMUSG00000026069	Il1rl1	0	1	0	1	0	4
ENSMUSG00000026070	Il18r1	17	2	3	12	13	7
ENSMUSG00000026072	Il1r1	562	824	1135	677	528	743
ENSMUSG00000026073	Il1r2	1	3	0	2	0	1
ENSMUSG00000026074	Map4k4	235	233	299	557	441	736
ENSMUSG00000026077	Npas2	5	1	5	12	8	5
ENSMUSG00000026078	Pdcl3	302	317	350	427	372	487
ENSMUSG00000026080	Chst10	0	1	1	4	0	2
ENSMUSG00000026082	Rev1	218	604	352	319	266	349
ENSMUSG00000026083	Eif5b	1290	1875	2228	4097	3665	4234
ENSMUSG00000026087	Mrpl30	762	744	737	646	669	767
ENSMUSG00000026088	Mitd1	172	175	221	186	154	180
ENSMUSG00000026090	2010300C02Rik	6	2	2	3	1	6
ENSMUSG00000026094	Stk17b	191	120	192	461	389	410
ENSMUSG00000026095	Asnsd1	91	67	108	90	87	97
ENSMUSG00000026096	Osgepl1	280	293	247	223	215	250
ENSMUSG00000026097	Ormdl1	576	405	504	303	274	389
ENSMUSG00000026098	Pms1	142	129	135	90	78	62
ENSMUSG00000026100	Mstn	0	0	0	0	0	0
ENSMUSG00000026102	Inpp1	321	350	495	353	293	497
ENSMUSG00000026103	Gls	201	205	180	482	457	577
ENSMUSG00000026104	Stat1	742	497	613	299	279	319
ENSMUSG00000026107	Nabp1	418	506	400	6846	6690	6450
ENSMUSG00000026109	Tmeff2	0	1	0	3	1	2
ENSMUSG00000026110	Mgat4a	29	33	36	41	41	44
ENSMUSG00000026111	Unc50	515	421	540	884	785	953
ENSMUSG00000026112	Coa5	2292	2357	3257	2041	1746	2319
ENSMUSG00000026113	Inpp4a	325	349	590	574	496	640
ENSMUSG00000026114	Cnga3	0	0	0	0	0	0
ENSMUSG00000026116	Tmem131	670	984	1379	1056	918	973
ENSMUSG00000026117	Zap70	256	194	158	91	105	106
ENSMUSG00000026121	Sema4c	67	72	93	121	104	112
ENSMUSG00000026123	Plekhb2	368	380	581	320	315	365
ENSMUSG00000026125	Prss39	0	0	0	0	0	0
ENSMUSG00000026126	Ptpn18	22	18	30	9	12	23
ENSMUSG00000026127	Imp4	494	575	717	1528	1272	1486
ENSMUSG00000026131	Dst	2233	2809	5226	6808	5906	7237
ENSMUSG00000026134	Prim2	43	62	48	40	39	40
ENSMUSG00000026135	Zfp142	104	149	220	1066	912	944
ENSMUSG00000026142	Rhbdd1	482	417	493	2673	2420	2697
ENSMUSG00000026149	Tm4sf20	0	0	2	0	1	2
ENSMUSG00000026150	Mff	683	652	788	713	668	921
ENSMUSG00000026153	Fam135a	711	815	943	5024	4058	4444
ENSMUSG00000026154	Sdhaf4	239	228	208	72	84	132
ENSMUSG00000026155	Smap1	168	190	245	505	391	436
ENSMUSG00000026156	B3gat2	9	11	10	15	14	14
ENSMUSG00000026158	Ogfrl1	436	381	386	297	206	229
ENSMUSG00000026159	Agfg1	537	647	758	1418	1352	1488
ENSMUSG00000026162	Nhej1	55	45	42	26	31	40
ENSMUSG00000026163	Sphkap	0	0	0	0	0	0
ENSMUSG00000026170	Cyp27a1	6612	8004	9417	7509	6756	6866
ENSMUSG00000026171	Rnf25	258	246	356	437	361	383
ENSMUSG00000026172	Bcs1l	267	296	277	294	263	358
ENSMUSG00000026173	Plcd4	0	1	2	3	5	6
ENSMUSG00000026174	Rqcd1	396	443	479	424	444	480
ENSMUSG00000026175	Vil1	5	5	3	1	5	4
ENSMUSG00000026176	Ctdsp1	3529	2741	3970	2039	2062	2367
ENSMUSG00000026177	Slc11a1	187	136	219	252	213	250
ENSMUSG00000026179	Pnkd	1534	1255	1485	312	340	418
ENSMUSG00000026180	Cxcr2	2	1	2	4	0	8
ENSMUSG00000026181	Ppm1f	736	659	846	560	398	495
ENSMUSG00000026185	Igfbp5	319	461	763	162	47	151
ENSMUSG00000026187	Xrcc5	413	568	420	579	554	701
ENSMUSG00000026188	Tmem169	2	5	15	1	1	0
ENSMUSG00000026189	Pecr	3457	3679	3937	1760	1806	2422
ENSMUSG00000026192	Atic	535	832	794	1153	896	1202
ENSMUSG00000026193	Fn1	30943	54281	67312	24286	27307	28387
ENSMUSG00000026196	Bard1	8	10	15	5	7	13
ENSMUSG00000026197	Zfand2b	513	469	622	954	766	986
ENSMUSG00000026198	Abcb6	79	68	104	25	23	42
ENSMUSG00000026199	Ankzf1	370	518	570	808	604	919
ENSMUSG00000026200	Glb1l	45	87	71	49	51	57
ENSMUSG00000026201	Stk16	1500	1234	1772	860	821	1001
ENSMUSG00000026202	Tuba4a	2652	2733	4335	1639	1550	1800
ENSMUSG00000026203	Dnajb2	1078	1133	1475	1625	1416	1683
ENSMUSG00000026204	Ptprn	2	0	6	6	6	12
ENSMUSG00000026205	Slc23a3	4	5	4	2	2	2
ENSMUSG00000026207	Speg	18	22	32	24	27	46
ENSMUSG00000026208	Des	74	88	110	90	103	179
ENSMUSG00000026209	Dnpep	956	938	944	1901	2232	2329
ENSMUSG00000026211	Obsl1	28	41	25	49	50	60
ENSMUSG00000026213	Stk11ip	137	216	213	270	279	324
ENSMUSG00000026219	Trip12	2752	3906	4622	5837	5203	6065
ENSMUSG00000026220	Slc16a14	0	0	0	1	0	0
ENSMUSG00000026222	Sp100	185	257	316	341	336	378
ENSMUSG00000026223	Itm2c	756	655	746	1116	1163	1490
ENSMUSG00000026224	4933407L21Rik	0	0	1	0	0	0
ENSMUSG00000026226	Spata3	2	4	14	0	0	0
ENSMUSG00000026227	2810459M11Rik	1748	1383	2314	606	578	886
ENSMUSG00000026228	Htr2b	4	1	0	0	4	1
ENSMUSG00000026229	Psmd1	1900	2094	2667	2115	2030	2378
ENSMUSG00000026234	Ncl	3414	4264	4983	12664	13508	15166
ENSMUSG00000026235	Epha4	6	14	18	8	24	22
ENSMUSG00000026238	Ptma	3304	3491	3126	4797	4788	6630
ENSMUSG00000026239	Pde6d	118	124	123	133	149	184
ENSMUSG00000026240	Cops7b	194	223	272	216	165	192
ENSMUSG00000026245	Farsb	627	919	815	1804	1639	1967
ENSMUSG00000026247	Ecel1	0	0	0	0	0	0
ENSMUSG00000026248	Mrpl44	401	370	448	765	695	843
ENSMUSG00000026249	Serpine2	54	81	105	53	47	54
ENSMUSG00000026254	Eif4e2	958	911	1220	1305	1267	1367
ENSMUSG00000026255	Efhd1	5	8	3	1	2	4
ENSMUSG00000026258	3110079O15Rik	1	0	0	0	0	0
ENSMUSG00000026259	Ngef	790	1227	1476	216	232	268
ENSMUSG00000026260	Ndufa10	2157	2562	3101	1796	1988	2495
ENSMUSG00000026269	Rnpepl1	1559	1636	2050	1351	1326	1443
ENSMUSG00000026270	Capn10	589	395	747	964	806	1196
ENSMUSG00000026271	Gpr35	21	12	15	17	19	32
ENSMUSG00000026272	Agxt	10857	6546	6359	5914	6657	6982
ENSMUSG00000026273	Mterf4	322	281	378	291	236	309
ENSMUSG00000026274	Pask	18	11	20	49	27	63
ENSMUSG00000026275	Ppp1r7	435	595	530	717	713	922
ENSMUSG00000026276	Sept2	1725	1902	2105	3392	3141	3638
ENSMUSG00000026277	Stk25	764	884	994	1491	1414	1714
ENSMUSG00000026278	Bok	124	90	99	179	109	152
ENSMUSG00000026279	Thap4	114	123	186	250	196	227
ENSMUSG00000026280	Atg4b	518	564	736	776	725	827
ENSMUSG00000026281	Dtymk	285	332	283	426	434	450
ENSMUSG00000026283	Ing5	243	218	338	632	500	540
ENSMUSG00000026285	Pdcd1	4	0	0	0	0	1
ENSMUSG00000026288	Inpp5d	77	80	94	133	151	164
ENSMUSG00000026289	Atg16l1	704	713	1008	914	783	866
ENSMUSG00000026295	Spp2	2313	1848	2320	908	1041	1405
ENSMUSG00000026301	Iqca	0	0	1	0	0	0
ENSMUSG00000026303	Mlph	17	27	32	43	38	38
ENSMUSG00000026304	Rab17	624	393	710	76	42	83
ENSMUSG00000026305	Lrrfip1	765	998	1313	3504	2590	3353
ENSMUSG00000026307	Scly	1759	1716	1924	2743	2929	4080
ENSMUSG00000026308	Klhl30	0	0	0	1	1	1
ENSMUSG00000026309	Ilkap	531	568	680	877	831	1036
ENSMUSG00000026311	Asb1	214	196	328	431	396	411
ENSMUSG00000026313	Hdac4	198	273	362	288	253	287
ENSMUSG00000026315	Serpinb8	134	111	91	46	40	63
ENSMUSG00000026317	Cln8	934	950	1301	13136	11086	12969
ENSMUSG00000026319	2310035C23Rik	455	549	562	916	940	1013
ENSMUSG00000026321	Tnfrsf11a	25	20	30	30	37	44
ENSMUSG00000026322	Htr4	0	0	0	0	0	0
ENSMUSG00000026327	Serpinb11	0	0	0	0	0	0
ENSMUSG00000026333	Gin1	190	230	258	281	229	266
ENSMUSG00000026335	Pam	407	613	583	607	805	900
ENSMUSG00000026339	Ccdc93	297	438	567	709	536	620
ENSMUSG00000026341	Actr3	1733	1567	1882	2176	2029	2651
ENSMUSG00000026342	Slc35f5	1107	912	1196	1282	1213	1365
ENSMUSG00000026343	Gpr39	41	62	35	95	72	102
ENSMUSG00000026344	Lypd1	1	2	0	2	3	2
ENSMUSG00000026347	Tmem163	1	2	2	1	4	3
ENSMUSG00000026348	Acmsd	729	945	1437	360	326	599
ENSMUSG00000026349	Ccnt2	682	1056	1167	1225	1022	1200
ENSMUSG00000026353	Ubxn4	2079	2455	2640	6636	5712	6773
ENSMUSG00000026354	Lct	0	0	0	2	1	0
ENSMUSG00000026355	Mcm6	253	124	118	75	123	134
ENSMUSG00000026356	Dars	2088	2231	2000	3224	3049	3446
ENSMUSG00000026357	Rgs18	3	3	2	3	4	2
ENSMUSG00000026358	Rgs1	45	20	28	34	30	29
ENSMUSG00000026360	Rgs2	117	91	101	80	123	128
ENSMUSG00000026361	Cdc73	548	682	800	2124	1939	1927
ENSMUSG00000026365	Cfh	27661	23306	26746	19256	15974	16022
ENSMUSG00000026368	F13b	6377	5399	6065	2821	2907	3267
ENSMUSG00000026374	Tsn	948	1039	1200	1127	1075	1220
ENSMUSG00000026377	Nifk	496	571	633	2317	2141	2178
ENSMUSG00000026380	Tfcp2l1	195	291	282	743	620	852
ENSMUSG00000026383	Epb41l5	1203	1328	1591	1550	1477	1721
ENSMUSG00000026384	Ptpn4	381	456	616	815	678	774
ENSMUSG00000026385	Dbi	9546	7752	10378	4933	4871	5954
ENSMUSG00000026387	Sctr	0	4	3	0	2	2
ENSMUSG00000026388	3110009E18Rik	7	8	5	10	6	12
ENSMUSG00000026389	Steap3	316	341	320	120	106	125
ENSMUSG00000026390	Marco	339	285	671	636	335	713
ENSMUSG00000026393	Nek7	1592	1303	1849	1733	1457	1713
ENSMUSG00000026394	Atp6v1g3	0	0	0	0	0	0
ENSMUSG00000026395	Ptprc	312	269	387	540	373	468
ENSMUSG00000026398	Nr5a2	1527	1786	2460	3905	2954	4087
ENSMUSG00000026399	Cd55	238	330	526	639	488	748
ENSMUSG00000026401	Cd55b	0	0	0	1	0	1
ENSMUSG00000026404	Ddx59	71	66	67	83	91	118
ENSMUSG00000026405	C4bp	12237	9425	11830	19660	19545	20211
ENSMUSG00000026407	Cacna1s	0	0	1	0	0	5
ENSMUSG00000026409	Pfkfb2	207	405	509	1706	2137	2446
ENSMUSG00000026411	Tmem9	372	282	289	115	150	198
ENSMUSG00000026413	Pkp1	4	8	7	0	1	2
ENSMUSG00000026414	Tnnt2	6	2	7	5	1	9
ENSMUSG00000026415	Fcamr	2	7	1	1	4	3
ENSMUSG00000026417	Pigr	23518	30793	50842	19415	19725	23751
ENSMUSG00000026418	Tnni1	0	0	0	0	0	0
ENSMUSG00000026421	Csrp1	292	309	241	1029	1375	1667
ENSMUSG00000026424	Gpr37l1	0	0	0	0	0	0
ENSMUSG00000026425	Srgap2	370	631	613	646	476	682
ENSMUSG00000026426	Arl8a	239	279	256	489	380	455
ENSMUSG00000026427	Eif2d	695	991	581	918	885	1073
ENSMUSG00000026429	Ube2t	15	12	12	19	14	21
ENSMUSG00000026430	Rassf5	236	275	378	568	348	437
ENSMUSG00000026433	Rab29	202	202	224	115	99	134
ENSMUSG00000026434	Nucks1	1756	2419	2771	3917	3932	4607
ENSMUSG00000026435	Slc45a3	316	464	766	633	587	971
