sym	T1	T2	T3	T4	R1	R2	R3	R4
ENSMUSG00000028737	Aldh4a1	37	62	42	47	42	71	100	40
ENSMUSG00000035936	Aldh5a1	277	287	201	183	145	207	355	225
ENSMUSG00000021238	Aldh6a1	1259	1190	774	1044	1117	1795	2245	1579
ENSMUSG00000053644	Aldh7a1	144	119	105	137	68	124	189	153
ENSMUSG00000037542	Aldh8a1	6	8	4	0	5	10	21	4
ENSMUSG00000026687	Aldh9a1	677	572	479	294	238	350	641	443
ENSMUSG00000030695	Aldoa	2377	2151	2562	3970	4617	5206	8959	4933
ENSMUSG00000059343	Aldoart1	41	41	44	168	150	214	327	161
ENSMUSG00000063129	Aldoart2	1	0	0	2	1	3	3	0
ENSMUSG00000028307	Aldob	12	3	1	2	0	0	7	1
ENSMUSG00000017390	Aldoc	38	29	35	17	16	14	49	22
ENSMUSG00000039427	Alg1	54	42	35	50	49	75	88	51
ENSMUSG00000075470	Alg10b	860	587	858	848	668	1223	1152	689
ENSMUSG00000063362	Alg11	2649	1609	2320	1528	1143	1987	2670	1763
ENSMUSG00000035845	Alg12	124	117	94	55	134	246	230	130
ENSMUSG00000041718	Alg13	178	161	152	102	80	159	196	130
ENSMUSG00000039887	Alg14	214	226	168	107	184	243	295	209
ENSMUSG00000039740	Alg2	736	840	652	447	524	922	1088	719
ENSMUSG00000033809	Alg3	71	52	48	54	86	89	107	71
ENSMUSG00000036632	Alg5	331	426	330	324	357	758	538	418
ENSMUSG00000073792	Alg6	110	119	87	83	46	85	134	103
ENSMUSG00000035704	Alg8	217	142	167	151	180	356	264	176
ENSMUSG00000032059	Alg9	22	33	26	39	42	39	68	34
ENSMUSG00000055471	Alk	0	0	2	2	1	1	2	1
ENSMUSG00000079036	Alkbh1	460	521	396	241	237	424	497	320
ENSMUSG00000044339	Alkbh2	7	17	13	14	16	16	26	18
ENSMUSG00000040174	Alkbh3	150	164	141	120	129	201	252	156
ENSMUSG00000039754	Alkbh4	3	13	14	6	8	13	8	4
ENSMUSG00000042650	Alkbh5	719	696	674	913	808	1137	1446	852
ENSMUSG00000042831	Alkbh6	23	17	17	44	56	80	59	27
ENSMUSG00000002661	Alkbh7	19	17	23	23	18	53	54	21
ENSMUSG00000025899	Alkbh8	206	176	159	169	108	171	286	174
ENSMUSG00000020636	Allc	2	1	0	1	0	0	0	0
ENSMUSG00000063810	Alms1	751	588	501	313	233	395	620	425
ENSMUSG00000090098	Alms1-ps2	15	11	12	9	6	13	13	9
ENSMUSG00000000320	Alox12	3	1	4	3	2	4	4	8
ENSMUSG00000032807	Alox12b	0	0	0	0	0	0	0	0
ENSMUSG00000018907	Alox12e	0	0	1	0	0	0	0	0
ENSMUSG00000018924	Alox15	1	0	0	1	0	0	0	0
ENSMUSG00000025701	Alox5	5	6	4	0	2	3	4	4
ENSMUSG00000060063	Alox5ap	0	0	1	0	0	0	1	1
ENSMUSG00000020891	Alox8	0	0	0	0	0	0	0	0
ENSMUSG00000020892	Aloxe3	6	0	4	6	1	2	5	0
ENSMUSG00000079440	Alpi	0	0	2	0	0	0	0	0
ENSMUSG00000028028	Alpk1	219	217	190	178	95	141	201	144
ENSMUSG00000032845	Alpk2	0	0	0	2	0	0	0	0
ENSMUSG00000038763	Alpk3	6	1	4	4	7	10	13	5
ENSMUSG00000028766	Alpl	147	119	135	196	91	105	154	87
ENSMUSG00000026246	Alppl2	0	0	0	0	0	0	0	0
ENSMUSG00000026024	Als2	86	93	63	78	74	104	120	72
ENSMUSG00000044037	Als2cl	21	21	19	13	26	41	54	24
ENSMUSG00000072295	Als2cr11	0	0	2	0	0	3	0	0
ENSMUSG00000047528	Als2cr12	4	9	2	0	1	3	4	3
ENSMUSG00000036602	Alx1	3	0	1	4	0	2	0	3
ENSMUSG00000014603	Alx3	0	0	0	0	0	0	0	0
ENSMUSG00000040310	Alx4	1	0	3	7	1	4	2	3
ENSMUSG00000025134	Alyref	14	20	10	16	17	22	19	22
ENSMUSG00000060244	Alyref2	7	5	5	9	9	18	11	5
ENSMUSG00000022244	Amacr	229	207	146	135	159	262	319	250
ENSMUSG00000029288	Ambn	0	0	0	1	0	0	1	0
ENSMUSG00000028356	Ambp	0	0	0	0	1	0	0	0
ENSMUSG00000040506	Ambra1	281	262	264	257	229	366	476	277
ENSMUSG00000075232	Amd1	243	143	175	194	143	242	224	145
ENSMUSG00000063953	Amd2	243	143	175	194	143	242	223	145
ENSMUSG00000015890	Amdhd1	1	0	0	0	0	1	0	1
ENSMUSG00000036820	Amdhd2	26	15	23	13	13	30	28	16
ENSMUSG00000031354	Amelx	1	0	0	0	1	0	0	0
ENSMUSG00000050332	Amer1	416	341	282	356	253	371	488	306
ENSMUSG00000021986	Amer2	0	0	0	0	0	0	0	0
ENSMUSG00000045174	Amer3	0	0	0	0	0	0	0	0
ENSMUSG00000031751	Amfr	626	624	568	927	992	1881	1502	987
ENSMUSG00000035262	Amh	0	0	0	0	0	0	0	0
ENSMUSG00000023047	Amhr2	0	0	3	1	3	4	8	1
ENSMUSG00000048534	Amica1	3	1	3	1	0	0	0	0
ENSMUSG00000050947	Amigo1	8	7	2	13	10	15	22	19
ENSMUSG00000048218	Amigo2	8	6	4	8	1	3	7	13
ENSMUSG00000032593	Amigo3	18	8	15	20	18	25	21	10
ENSMUSG00000042225	Ammecr1	64	44	63	68	57	96	109	51
ENSMUSG00000041915	Ammecr1l	561	648	554	442	353	641	777	514
ENSMUSG00000021278	Amn	0	0	0	0	0	0	0	0
ENSMUSG00000068250	Amn1	204	95	189	121	110	281	216	181
ENSMUSG00000041688	Amot	813	408	596	582	416	736	825	687
ENSMUSG00000013076	Amotl1	2003	1855	1610	2027	2145	3759	4145	2503
ENSMUSG00000032531	Amotl2	783	802	612	543	306	418	808	434
ENSMUSG00000070385	Ampd1	1	5	9	2	3	2	5	0
ENSMUSG00000027889	Ampd2	80	66	49	85	76	158	140	65
ENSMUSG00000005686	Ampd3	52	47	67	74	46	114	102	44
ENSMUSG00000021314	Amph	1	0	0	0	0	0	0	0
ENSMUSG00000032607	Amt	12	14	26	24	21	22	28	8
ENSMUSG00000029282	Amtn	0	1	0	0	0	1	0	0
ENSMUSG00000074264	Amy1	1633	1807	1268	920	509	877	1038	778
ENSMUSG00000096569	Amy2a2	4	6	1	5	1	2	1	1
ENSMUSG00000093931	Amy2a3	4	6	1	5	1	2	1	1
ENSMUSG00000096770	Amy2a4	4	6	1	5	1	2	1	1
ENSMUSG00000074268	Amy2a5	3	5	0	3	1	1	0	1
ENSMUSG00000083079	Amy2b	14	13	10	4	4	5	5	6
ENSMUSG00000050022	Amz1	1	5	3	1	3	2	1	0
ENSMUSG00000020610	Amz2	121	151	113	166	140	199	217	150
ENSMUSG00000014355	Anapc1	1572	1541	1161	1434	1173	1837	2230	1497
ENSMUSG00000036977	Anapc10	148	117	76	108	78	109	111	109
ENSMUSG00000025135	Anapc11	45	41	40	58	69	70	81	43
ENSMUSG00000035048	Anapc13	156	126	145	106	171	199	246	201
ENSMUSG00000030649	Anapc15	60	47	22	33	35	46	61	42
ENSMUSG00000020107	Anapc16	513	496	414	413	453	791	845	516
ENSMUSG00000026965	Anapc2	149	155	120	137	101	189	214	164
ENSMUSG00000029176	Anapc4	582	720	491	375	283	470	562	356
ENSMUSG00000029472	Anapc5	475	528	422	487	437	665	796	505
ENSMUSG00000029466	Anapc7	70	75	60	69	70	100	114	68
ENSMUSG00000072115	Ang	12	6	6	11	8	14	8	7
ENSMUSG00000047894	Ang2	0	0	0	0	0	0	0	0
ENSMUSG00000060615	Ang4	0	0	0	0	0	0	0	0
ENSMUSG00000053961	Ang5	0	0	0	0	0	0	0	0
ENSMUSG00000072598	Ang6	0	0	0	0	0	0	0	0
ENSMUSG00000021257	Angel1	8	15	6	22	18	37	27	13
ENSMUSG00000026634	Angel2	428	495	306	319	398	596	548	379
ENSMUSG00000022309	Angpt1	2121	1785	1572	1087	724	1046	1901	1332
ENSMUSG00000031465	Angpt2	28	13	17	17	24	29	38	16
ENSMUSG00000027460	Angpt4	3	2	5	7	0	0	0	1
ENSMUSG00000033544	Angptl1	5	1	0	1	0	0	2	0
ENSMUSG00000004105	Angptl2	365	297	392	346	252	142	630	294
ENSMUSG00000028553	Angptl3	1	2	1	3	2	2	5	3
ENSMUSG00000002289	Angptl4	2467	2046	2318	1557	781	1140	1562	1155
ENSMUSG00000038742	Angptl6	7	10	6	6	23	64	50	28
ENSMUSG00000028989	Angptl7	499	421	329	432	251	538	537	296
ENSMUSG00000022265	Ank	519	462	425	460	426	764	802	577
ENSMUSG00000031543	Ank1	16	9	4	2	6	14	21	4
ENSMUSG00000032826	Ank2	51	68	42	25	69	126	165	114
ENSMUSG00000069601	Ank3	583	543	559	446	327	476	682	394
ENSMUSG00000039342	Ankar	3	1	1	1	1	1	0	0
ENSMUSG00000047117	Ankdd1b	15	24	17	12	11	18	9	11
ENSMUSG00000074771	Ankef1	17	7	11	10	9	13	40	21
ENSMUSG00000020790	Ankfy1	562	469	438	627	423	663	681	451
ENSMUSG00000024483	Ankhd1	2548	2147	1772	1066	1033	1768	2403	1754
ENSMUSG00000040351	Ankib1	810	643	529	491	386	623	852	557
ENSMUSG00000032257	Ankk1	0	0	0	0	0	0	0	0
ENSMUSG00000046295	Ankle1	5	7	12	1	0	5	2	2
ENSMUSG00000029501	Ankle2	726	631	554	493	385	570	751	542
ENSMUSG00000034212	Ankmy1	2	1	0	5	7	2	4	3
ENSMUSG00000036188	Ankmy2	301	335	252	213	170	285	376	242
ENSMUSG00000021661	Ankra2	31	34	26	25	20	33	41	17
ENSMUSG00000024803	Ankrd1	209	212	133	142	60	129	145	88
ENSMUSG00000031508	Ankrd10	239	296	203	226	138	204	218	143
ENSMUSG00000035569	Ankrd11	3293	2817	2343	927	1074	1934	2940	1973
ENSMUSG00000034647	Ankrd12	2124	1495	1474	646	527	738	1354	921
ENSMUSG00000041870	Ankrd13a	235	210	250	203	188	261	298	225
ENSMUSG00000037907	Ankrd13b	48	77	67	65	85	219	191	101
ENSMUSG00000039988	Ankrd13c	383	405	350	236	201	376	395	315
ENSMUSG00000005986	Ankrd13d	1	7	6	5	6	5	7	5
ENSMUSG00000047909	Ankrd16	127	127	115	84	84	137	199	92
ENSMUSG00000055204	Ankrd17	2665	2164	2152	1460	1270	1962	3050	1971
ENSMUSG00000025172	Ankrd2	1	0	1	0	0	1	2	0
ENSMUSG00000024774	Ankrd22	1	0	0	1	0	0	0	0
ENSMUSG00000067653	Ankrd23	16	10	16	16	17	15	38	13
ENSMUSG00000054708	Ankrd24	26	8	15	25	40	37	44	19
ENSMUSG00000007827	Ankrd26	582	495	398	248	180	252	484	299
ENSMUSG00000034867	Ankrd27	238	234	221	146	125	175	303	175
ENSMUSG00000014496	Ankrd28	1277	1049	927	847	455	782	1170	707
ENSMUSG00000057766	Ankrd29	18	17	18	23	6	6	4	9
ENSMUSG00000047034	Ankrd33	2	2	0	2	5	3	1	1
ENSMUSG00000022237	Ankrd33b	2	5	1	0	2	0	2	0
ENSMUSG00000049097	Ankrd34a	15	12	17	28	18	10	42	22
ENSMUSG00000045034	Ankrd34b	0	0	0	2	2	0	2	3
ENSMUSG00000047606	Ankrd34c	0	0	0	0	0	0	0	0
ENSMUSG00000038354	Ankrd35	7	8	1	3	4	5	14	1
ENSMUSG00000020481	Ankrd36	2	6	0	1	0	2	2	1
ENSMUSG00000050914	Ankrd37	13	18	8	15	18	14	56	12
ENSMUSG00000079610	Ankrd39	26	13	12	9	12	14	13	4
ENSMUSG00000020864	Ankrd40	421	409	362	295	337	472	623	400
ENSMUSG00000041343	Ankrd42	17	23	5	4	8	13	17	16
ENSMUSG00000052331	Ankrd44	68	64	44	18	33	32	70	35
ENSMUSG00000044835	Ankrd45	0	0	0	0	0	2	0	0
ENSMUSG00000048307	Ankrd46	338	378	316	372	249	390	519	375
ENSMUSG00000031931	Ankrd49	376	297	238	109	118	204	315	239
ENSMUSG00000044864	Ankrd50	148	136	108	155	119	166	196	143
ENSMUSG00000014498	Ankrd52	227	151	185	197	206	314	329	207
ENSMUSG00000014747	Ankrd53	2	1	3	4	8	12	9	6
ENSMUSG00000033055	Ankrd54	32	37	42	16	16	23	34	13
ENSMUSG00000049985	Ankrd55	0	7	6	7	0	0	2	1
ENSMUSG00000040183	Ankrd6	16	21	5	11	14	17	12	7
ENSMUSG00000027517	Ankrd60	0	0	0	0	0	0	0	0
ENSMUSG00000029607	Ankrd61	17	18	19	11	9	20	17	16
ENSMUSG00000078137	Ankrd63	0	1	2	3	0	0	0	0
ENSMUSG00000096140	Ankrd66	0	2	0	0	0	0	0	0
ENSMUSG00000029517	Ankrd7	1	1	4	5	0	1	0	0
ENSMUSG00000037904	Ankrd9	4	3	8	5	3	8	5	4
ENSMUSG00000024219	Anks1	56	71	74	67	78	96	110	78
ENSMUSG00000058589	Anks1b	8	3	3	5	0	3	0	1
ENSMUSG00000022515	Anks3	46	43	23	45	36	66	55	62
ENSMUSG00000030909	Anks4b	4	0	1	2	0	1	0	0
ENSMUSG00000066191	Anks6	13	10	10	9	9	18	24	15
ENSMUSG00000074591	Ankub1	2	0	0	0	0	2	0	0
ENSMUSG00000026199	Ankzf1	68	47	50	66	83	94	122	70
ENSMUSG00000036777	Anln	289	310	246	195	62	97	149	59
ENSMUSG00000031075	Ano1	4	8	2	1	4	1	5	3
ENSMUSG00000037949	Ano10	81	100	69	82	75	131	152	89
ENSMUSG00000038115	Ano2	1	0	0	2	1	0	2	0
ENSMUSG00000074968	Ano3	3	4	0	3	1	2	0	2
ENSMUSG00000035189	Ano4	0	3	0	1	0	0	0	0
ENSMUSG00000055489	Ano5	2	1	0	0	0	1	0	0
ENSMUSG00000064210	Ano6	1260	1189	1112	804	724	1063	1499	978
ENSMUSG00000034107	Ano7	8	2	7	1	7	6	9	9
ENSMUSG00000034863	Ano8	31	33	26	23	23	23	31	18
ENSMUSG00000054662	Ano9	0	0	0	0	0	0	0	0
ENSMUSG00000032249	Anp32a	486	350	388	303	267	312	624	406
ENSMUSG00000028333	Anp32b	2579	3042	2104	1275	1275	2673	4222	2666
ENSMUSG00000015749	Anp32e	764	736	680	471	343	567	854	485
ENSMUSG00000039062	Anpep	250	275	260	183	122	199	313	179
ENSMUSG00000033420	Antxr1	6645	6053	5112	3554	2099	2883	5200	3270
ENSMUSG00000029338	Antxr2	408	444	384	329	247	506	559	382
ENSMUSG00000047441	Antxrl	0	0	0	0	0	0	0	0
ENSMUSG00000024659	Anxa1	3084	2629	2549	2532	1162	1471	2362	1556
ENSMUSG00000031635	Anxa10	0	1	0	0	0	0	0	2
ENSMUSG00000021866	Anxa11	10	19	13	41	26	51	40	26
ENSMUSG00000055114	Anxa13	1	0	1	0	0	1	0	0
ENSMUSG00000032231	Anxa2	216	194	196	227	173	237	437	222
ENSMUSG00000029484	Anxa3	152	148	108	152	92	128	179	79
ENSMUSG00000029994	Anxa4	1263	1062	984	1186	1017	1170	1965	1135
ENSMUSG00000027712	Anxa5	1060	1120	885	1096	690	1000	1369	771
ENSMUSG00000018340	Anxa6	365	283	287	391	351	584	642	372
ENSMUSG00000021814	Anxa7	222	213	201	200	182	267	310	187
ENSMUSG00000021950	Anxa8	14	7	5	14	23	26	23	8
ENSMUSG00000015702	Anxa9	41	23	35	12	27	34	31	30
ENSMUSG00000021322	Aoah	2	0	0	1	1	0	0	0
ENSMUSG00000029811	Aoc1	1	0	0	0	0	0	0	0
ENSMUSG00000078651	Aoc2	5	3	7	5	8	15	19	11
ENSMUSG00000019326	Aoc3	414	314	353	264	74	89	185	86
ENSMUSG00000063558	Aox1	497	474	344	319	201	373	430	324
ENSMUSG00000079554	Aox2	0	4	0	0	0	1	1	0
ENSMUSG00000064294	Aox3	7	12	3	13	4	27	19	19
ENSMUSG00000038242	Aox4	11	4	3	0	0	4	3	2
ENSMUSG00000074238	Ap1ar	491	447	386	223	251	404	661	463
ENSMUSG00000009090	Ap1b1	88	105	83	135	109	164	218	123
ENSMUSG00000031731	Ap1g1	2599	2835	2150	2166	1582	2378	3029	2105
ENSMUSG00000040701	Ap1g2	65	80	68	51	32	67	100	50
ENSMUSG00000003033	Ap1m1	48	39	34	85	84	156	155	82
ENSMUSG00000003309	Ap1m2	0	0	0	0	0	0	0	0
ENSMUSG00000004849	Ap1s1	10	7	19	110	93	116	58	25
ENSMUSG00000031367	Ap1s2	805	402	560	470	273	404	526	369
ENSMUSG00000054702	Ap1s3	43	26	9	43	11	35	43	28
ENSMUSG00000060279	Ap2a1	36	24	34	60	72	110	76	40
ENSMUSG00000002957	Ap2a2	370	358	350	387	469	680	864	481
ENSMUSG00000035152	Ap2b1	566	543	499	494	370	696	887	590
ENSMUSG00000022841	Ap2m1	85	119	95	65	89	158	152	102
ENSMUSG00000008036	Ap2s1	8	13	7	7	10	23	20	4
ENSMUSG00000021686	Ap3b1	807	786	650	352	337	518	809	572
ENSMUSG00000062444	Ap3b2	1	0	4	0	0	0	0	1
ENSMUSG00000020198	Ap3d1	504	453	416	357	311	518	676	457
ENSMUSG00000021824	Ap3m1	296	338	230	279	225	386	502	323
ENSMUSG00000031539	Ap3m2	188	164	169	147	94	158	203	120
ENSMUSG00000024480	Ap3s1	190	173	144	128	185	315	291	248
ENSMUSG00000063801	Ap3s2	240	215	257	213	222	307	358	234
ENSMUSG00000032952	Ap4b1	146	115	83	131	105	167	183	106
ENSMUSG00000001998	Ap4e1	321	299	215	218	149	227	295	199
ENSMUSG00000019518	Ap4m1	13	9	10	23	16	44	21	29
ENSMUSG00000020955	Ap4s1	105	98	91	53	33	53	82	42
ENSMUSG00000049562	Ap5b1	3	11	0	16	28	32	46	24
ENSMUSG00000036291	Ap5m1	131	98	68	109	81	110	139	74
ENSMUSG00000068264	Ap5s1	27	14	13	29	52	59	54	22
ENSMUSG00000039623	Ap5z1	20	33	35	14	34	42	63	22
ENSMUSG00000019979	Apaf1	170	183	140	190	144	242	268	117
ENSMUSG00000024897	Apba1	25	17	29	22	39	57	120	36
ENSMUSG00000030519	Apba2	0	0	0	0	0	0	2	0
ENSMUSG00000004931	Apba3	24	29	15	30	25	41	45	17
ENSMUSG00000037032	Apbb1	11	16	4	14	21	9	16	8
ENSMUSG00000026786	Apbb1ip	513	350	448	411	345	535	688	410
ENSMUSG00000029207	Apbb2	1367	1253	1159	1066	761	1214	1537	868
ENSMUSG00000005871	Apc	2527	2006	1670	761	687	1056	1800	1331
ENSMUSG00000020135	Apc2	1	10	9	12	10	19	29	12
ENSMUSG00000071847	Apcdd1	28	22	13	41	37	29	48	9
ENSMUSG00000026542	Apcs	0	0	0	0	0	0	1	0
ENSMUSG00000032590	Apeh	44	83	71	67	66	67	105	73
ENSMUSG00000079042	Apela	0	0	0	0	0	0	0	0
ENSMUSG00000035960	Apex1	183	190	128	264	220	543	360	270
ENSMUSG00000025269	Apex2	58	60	47	42	51	68	97	59
ENSMUSG00000015750	Aph1a	98	87	71	63	64	85	157	60
ENSMUSG00000032375	Aph1b	110	93	84	80	51	73	112	68
ENSMUSG00000053040	Aph1c	51	35	35	25	20	39	74	18
ENSMUSG00000027193	Api5	1362	1467	999	1231	1043	1783	1624	1112
ENSMUSG00000010911	Apip	160	168	154	148	125	237	231	161
ENSMUSG00000073705	Apitd1	2	2	3	2	0	1	0	4
ENSMUSG00000030051	Aplf	84	71	52	52	55	79	92	57
ENSMUSG00000037010	Apln	136	140	117	132	185	341	394	268
ENSMUSG00000044338	Aplnr	3	2	0	2	1	4	7	4
ENSMUSG00000006651	Aplp1	0	0	0	5	0	0	0	0
ENSMUSG00000031996	Aplp2	3644	3842	2966	3661	3659	4896	6942	4698
ENSMUSG00000033096	Apmap	502	679	439	555	684	1265	1050	713
ENSMUSG00000032083	Apoa1	1	1	2	1	0	1	1	0
ENSMUSG00000028070	Apoa1bp	73	71	95	113	87	137	169	114
ENSMUSG00000005681	Apoa2	4	0	0	0	0	0	0	0
ENSMUSG00000032080	Apoa4	5	1	0	0	0	1	2	5
ENSMUSG00000032079	Apoa5	2	0	2	2	0	0	0	0
ENSMUSG00000020609	Apob	6	13	5	1	2	7	1	1
ENSMUSG00000040613	Apobec1	388	453	375	182	183	403	326	240
ENSMUSG00000040694	Apobec2	0	1	3	0	7	2	0	3
ENSMUSG00000009585	Apobec3	125	114	96	100	66	90	151	92
ENSMUSG00000055547	Apobec4	1	0	0	0	0	0	0	6
ENSMUSG00000042759	Apobr	74	136	60	56	106	284	245	141
ENSMUSG00000040564	Apoc1	16	14	20	33	65	112	68	50
ENSMUSG00000002992	Apoc2	0	3	0	0	0	0	0	0
ENSMUSG00000032081	Apoc3	29	22	16	36	31	41	59	39
ENSMUSG00000074336	Apoc4	0	1	0	2	0	2	1	1
ENSMUSG00000022548	Apod	549	557	566	429	57	141	167	107
ENSMUSG00000002985	Apoe	39	66	34	112	52	74	101	59
ENSMUSG00000047631	Apof	0	0	3	2	1	0	4	2
ENSMUSG00000000049	Apoh	4	2	0	0	0	2	2	1
ENSMUSG00000050982	Apol10a	1	2	4	2	2	1	1	0
ENSMUSG00000050014	Apol10b	39	31	50	44	12	6	27	9
ENSMUSG00000091650	Apol11a	0	2	0	0	0	0	0	0
ENSMUSG00000091694	Apol11b	1	10	3	1	1	0	1	0
ENSMUSG00000033576	Apol6	160	109	134	173	90	96	243	116
ENSMUSG00000010601	Apol7a	2	3	0	2	0	1	2	1
ENSMUSG00000068252	Apol7b	6	9	11	13	2	7	8	5
ENSMUSG00000044309	Apol7c	0	0	0	0	0	1	0	0
ENSMUSG00000073652	Apol7d	3	0	0	1	3	2	7	5
ENSMUSG00000071716	Apol7e	5	3	6	5	0	4	2	1
ENSMUSG00000056656	Apol8	5	5	4	5	1	2	2	2
ENSMUSG00000057346	Apol9a	259	182	254	199	42	55	78	46
ENSMUSG00000068246	Apol9b	187	100	182	121	11	17	37	18
ENSMUSG00000090698	Apold1	3	3	4	2	1	0	4	3
ENSMUSG00000024391	Apom	5	2	3	8	8	5	10	10
ENSMUSG00000051716	Apon	0	0	0	1	2	1	1	0
ENSMUSG00000079508	Apoo	50	37	25	74	52	83	90	70
ENSMUSG00000049233	Apoo-ps	30	17	7	50	32	49	56	41
ENSMUSG00000025525	Apool	70	86	66	80	61	102	117	75
ENSMUSG00000037787	Apopt1	56	55	66	74	93	82	108	60
ENSMUSG00000022892	App	1201	991	867	1178	955	1448	1872	1099
ENSMUSG00000018481	Appbp2	393	337	330	241	261	412	569	366
ENSMUSG00000040760	Appl1	657	480	549	500	391	615	807	499
ENSMUSG00000020263	Appl2	651	618	466	335	348	414	757	491
ENSMUSG00000006589	Aprt	94	93	91	121	85	150	171	98
ENSMUSG00000028411	Aptx	107	110	109	101	102	130	194	140
ENSMUSG00000004655	Aqp1	333	384	403	336	133	255	242	171
ENSMUSG00000042797	Aqp11	13	15	6	4	1	6	13	9
ENSMUSG00000045091	Aqp12	0	0	0	0	0	0	0	0
ENSMUSG00000023013	Aqp2	0	0	0	0	0	1	0	0
ENSMUSG00000028435	Aqp3	1	0	0	0	0	0	1	1
ENSMUSG00000024411	Aqp4	0	0	0	0	0	0	0	0
ENSMUSG00000044217	Aqp5	2	3	1	3	0	2	2	1
ENSMUSG00000043144	Aqp6	1	3	2	0	1	1	0	1
ENSMUSG00000028427	Aqp7	31	8	5	24	38	63	64	28
ENSMUSG00000030762	Aqp8	0	0	0	0	0	0	0	0
ENSMUSG00000032204	Aqp9	1	2	1	1	0	0	1	4
ENSMUSG00000040383	Aqr	693	571	516	451	394	641	797	529
ENSMUSG00000046532	Ar	27	24	23	14	7	21	27	17
ENSMUSG00000001127	Araf	423	345	374	381	305	418	718	343
ENSMUSG00000032812	Arap1	42	40	48	49	42	37	72	26
ENSMUSG00000037999	Arap2	52	58	57	38	80	192	122	97
ENSMUSG00000024451	Arap3	0	1	0	0	0	1	0	1
ENSMUSG00000022602	Arc	32	32	28	36	35	24	62	24
ENSMUSG00000032096	Arcn1	1158	1310	886	1091	984	1605	1912	1225
ENSMUSG00000029378	Areg	5	3	7	2	3	11	9	6
ENSMUSG00000042350	Arel1	279	274	201	291	211	351	425	295
ENSMUSG00000048076	Arf1	703	650	668	800	942	1518	1511	878
ENSMUSG00000062421	Arf2	125	178	102	136	121	194	232	154
ENSMUSG00000051853	Arf3	1022	1070	1190	1788	1830	2756	2285	1333
ENSMUSG00000021877	Arf4	2878	2970	2288	1695	1482	2687	2557	1903
ENSMUSG00000020440	Arf5	7	9	0	7	8	14	24	15
ENSMUSG00000044147	Arf6	288	377	300	362	405	626	751	471
ENSMUSG00000027575	Arfgap1	144	144	138	272	240	450	306	179
ENSMUSG00000027255	Arfgap2	153	162	172	333	327	517	549	308
ENSMUSG00000054277	Arfgap3	106	110	108	95	91	122	188	111
ENSMUSG00000067851	Arfgef1	1076	1060	886	617	453	779	1149	750
ENSMUSG00000074582	Arfgef2	817	680	698	817	624	1079	1166	699
ENSMUSG00000074513	Arfip1	605	574	552	603	463	899	865	508
ENSMUSG00000030881	Arfip2	202	188	131	231	200	375	356	240
ENSMUSG00000038671	Arfrp1	160	181	125	142	103	232	254	121
ENSMUSG00000019987	Arg1	11	18	16	11	18	9	20	8
ENSMUSG00000021125	Arg2	46	36	45	31	29	48	56	31
ENSMUSG00000040459	Arglu1	932	842	982	496	339	654	788	543
ENSMUSG00000027247	Arhgap1	269	238	230	281	306	492	620	291
ENSMUSG00000037148	Arhgap10	171	174	195	222	120	185	254	144
ENSMUSG00000041219	Arhgap11a	146	158	174	147	54	161	200	123
ENSMUSG00000041225	Arhgap12	547	441	362	330	267	559	584	371
ENSMUSG00000049744	Arhgap15	1	1	0	1	2	0	0	0
ENSMUSG00000085089	Arhgap15os	1	0	1	0	0	0	0	0
ENSMUSG00000030766	Arhgap17	175	165	166	108	78	170	209	114
ENSMUSG00000039031	Arhgap18	49	44	24	42	27	26	52	23
ENSMUSG00000025154	Arhgap19	12	11	11	6	6	12	20	7
ENSMUSG00000053199	Arhgap20	134	136	115	87	100	150	222	87
ENSMUSG00000074354	Arhgap20os	9	1	5	7	4	7	6	8
ENSMUSG00000036591	Arhgap21	1231	1110	974	521	458	764	1076	745
ENSMUSG00000063506	Arhgap22	10	6	10	9	8	17	12	18
ENSMUSG00000049807	Arhgap23	358	311	328	382	286	417	603	319
ENSMUSG00000057315	Arhgap24	140	158	105	148	77	143	190	80
ENSMUSG00000030047	Arhgap25	1	1	0	0	0	1	3	0
ENSMUSG00000036452	Arhgap26	193	187	176	148	122	166	219	150
ENSMUSG00000034255	Arhgap27	4	6	3	2	5	18	6	8
ENSMUSG00000085887	Arhgap27os3	0	1	0	0	2	6	2	1
ENSMUSG00000024043	Arhgap28	117	109	105	101	56	123	118	61
ENSMUSG00000039831	Arhgap29	1486	939	1242	824	542	956	1341	885
ENSMUSG00000048865	Arhgap30	0	0	4	1	3	1	0	0
ENSMUSG00000022799	Arhgap31	92	57	81	95	37	49	100	40
ENSMUSG00000041444	Arhgap32	281	198	180	152	159	181	255	185
ENSMUSG00000036882	Arhgap33	5	5	0	6	10	18	18	13
ENSMUSG00000062132	Arhgap33os	0	0	0	0	0	0	0	0
ENSMUSG00000058230	Arhgap35	1365	1374	1239	841	703	1142	1663	1116
ENSMUSG00000036198	Arhgap36	0	0	0	0	0	0	0	0
ENSMUSG00000033697	Arhgap39	31	18	27	18	32	50	65	38
ENSMUSG00000031389	Arhgap4	3	7	5	6	5	10	18	14
ENSMUSG00000074625	Arhgap40	0	1	0	1	0	2	0	0
ENSMUSG00000050730	Arhgap42	892	666	610	519	257	604	629	433
ENSMUSG00000033389	Arhgap44	28	21	19	28	19	29	44	20
ENSMUSG00000035133	Arhgap5	1835	621	1307	804	624	956	1228	1043
