Geneid	Txid	sym	Tx.len	GC
ENSG00000186082	ENST00000534205	KRT18P14	1250	0.557
ENSG00000186086	ENST00000495380	NBPF6	2494	0.512
ENSG00000186088	ENST00000257626	GSAP	3200	0.408
ENSG00000186090	ENST00000382489	HTR3D	1674	0.554
ENSG00000186092	ENST00000641515	OR4F5	2618	0.36
ENSG00000186094	ENST00000371839	AGBL4	2989	0.466
ENSG00000186103	ENST00000651603	ARGFX	4970	0.428
ENSG00000186104	ENST00000334636	CYP2R1	2235	0.421
ENSG00000186105	ENST00000334994	LRRC70	2163	0.342
ENSG00000186106	ENST00000520311	ANKRD46	3270	0.415
ENSG00000186111	ENST00000335312	PIP5K1C	5080	0.636
ENSG00000186113	ENST00000335605	OR5D14	945	0.449
ENSG00000186115	ENST00000221700	CYP4F2	2361	0.525
ENSG00000186118	ENST00000334122	TEX38	866	0.546
ENSG00000186119	ENST00000333976	OR5D18	991	0.456
ENSG00000186124	ENST00000641564	OR9M1P	3163	0.401
ENSG00000186130	ENST00000373659	ZBTB6	4099	0.35
ENSG00000186132	ENST00000409466	C2orf76	1150	0.446
ENSG00000186136	ENST00000334266	TAS2R42	945	0.393
ENSG00000186141	ENST00000334163	POLR3C	3777	0.439
ENSG00000186143	ENST00000335524	PRR30	2008	0.604
ENSG00000186146	ENST00000334879	DEFB131	213	0.399
ENSG00000186148	ENST00000417926	na	2918	0.463
ENSG00000186150	ENST00000334179	UBL4B	1478	0.573
ENSG00000186152	ENST00000444199	LILRP1	1370	0.598
ENSG00000186153	ENST00000566780	WWOX	2241	0.52
ENSG00000186160	ENST00000334194	CYP4Z1	2162	0.446
ENSG00000186162	ENST00000432401	CIDECP	1794	0.496
ENSG00000186163	ENST00000616556	na	2039	0.448
ENSG00000186166	ENST00000334418	CCDC84	1254	0.517
ENSG00000186174	ENST00000334801	BCL9L	10005	0.627
ENSG00000186184	ENST00000302979	POLR1D	1166	0.572
ENSG00000186185	ENST00000593135	KIF18B	2745	0.624
ENSG00000186187	ENST00000335325	ZNRF1	4620	0.577
ENSG00000186188	ENST00000371481	FFAR4	3605	0.504
ENSG00000186190	ENST00000375494	BPIFB3	1454	0.588
ENSG00000186191	ENST00000375483	BPIFB4	2159	0.576
ENSG00000186193	ENST00000409687	SAPCD2	3814	0.665
ENSG00000186197	ENST00000334232	EDARADD	858	0.501
ENSG00000186198	ENST00000334287	SLC51B	924	0.503
ENSG00000186204	ENST00000550308	CYP4F12	2044	0.565
ENSG00000186205	ENST00000366910	MARC1	7287	0.469
ENSG00000186207	ENST00000334269	LCE5A	860	0.547
ENSG00000186212	ENST00000334306	SOWAHB	3220	0.607
ENSG00000186222	ENST00000320776	BLOC1S4	1617	0.541
ENSG00000186226	ENST00000368770	LCE1E	1200	0.515
ENSG00000186230	ENST00000334181	ZNF749	4207	0.444
ENSG00000186231	ENST00000369261	KLHL32	3698	0.43
ENSG00000186234	ENST00000340703	FAM86MP	885	0.581
ENSG00000186235	ENST00000470346	na	1888	0.607
ENSG00000186244	ENST00000462104	na	372	0.414
ENSG00000186260	ENST00000318282	MKL2	8608	0.437
ENSG00000186265	ENST00000334529	BTLA	3126	0.362
ENSG00000186268	ENST00000525892	OR10D4P	951	0.454
ENSG00000186272	ENST00000601808	ZNF17	2524	0.438
ENSG00000186280	ENST00000335080	KDM4D	2951	0.482
ENSG00000186281	ENST00000434632	GPAT2	3061	0.61
ENSG00000186283	ENST00000367627	TOR3A	2031	0.55
ENSG00000186288	ENST00000373519	PABPC1L2A	2237	0.496
ENSG00000186297	ENST00000335625	GABRA5	2553	0.451
ENSG00000186298	ENST00000335007	PPP1CC	2559	0.403
ENSG00000186300	ENST00000334241	ZNF555	8504	0.44
ENSG00000186301	ENST00000457982	MST1P2	2291	0.613
ENSG00000186306	ENST00000334438	OR10T2	945	0.476
ENSG00000186310	ENST00000373079	NAP1L3	2639	0.423
ENSG00000186312	ENST00000380334	CA5BP1	1264	0.594
ENSG00000186314	ENST00000505416	PRELID2	738	0.477
ENSG00000186318	ENST00000313005	BACE1	6326	0.492
ENSG00000186326	ENST00000334176	RGS9BP	2894	0.618
ENSG00000186328	ENST00000334441	na	328	0.53
ENSG00000186329	ENST00000334567	TMEM212	1881	0.415
ENSG00000186334	ENST00000335230	SLC36A3	2456	0.489
ENSG00000186335	ENST00000335244	SLC36A2	3396	0.489
ENSG00000186340	ENST00000366787	THBS2	5811	0.515
ENSG00000186350	ENST00000481739	RXRA	5537	0.61
ENSG00000186352	ENST00000335174	ANKRD37	784	0.47
ENSG00000186364	ENST00000334513	NUDT17	1473	0.558
ENSG00000186367	ENST00000564719	KIAA1024L	2354	0.41
ENSG00000186369	ENST00000334389	LINC00643	3247	0.337
ENSG00000186376	ENST00000370766	ZNF75D	5611	0.464
ENSG00000186377	ENST00000371901	CYP4X1	2256	0.465
ENSG00000186393	ENST00000335552	KRT26	1733	0.451
ENSG00000186395	ENST00000269576	KRT10	2143	0.52
ENSG00000186399	ENST00000624918	GOLGA8R	3062	0.512
ENSG00000186407	ENST00000392619	CD300E	3503	0.515
ENSG00000186409	ENST00000342022	CCDC30	3098	0.4
ENSG00000186416	ENST00000371527	NKRF	3737	0.387
ENSG00000186417	ENST00000335449	GLDN	4932	0.451
ENSG00000186431	ENST00000355524	FCAR	2476	0.457
ENSG00000186432	ENST00000334256	KPNA4	8952	0.39
ENSG00000186439	ENST00000334268	TRDN	4627	0.36
ENSG00000186440	ENST00000641540	OR6P1	3255	0.401
ENSG00000186442	ENST00000417996	KRT3	2319	0.592
ENSG00000186446	ENST00000620116	ZNF501	3353	0.41
ENSG00000186448	ENST00000396058	ZNF197	4299	0.433
ENSG00000186451	ENST00000334325	SPATA12	2190	0.497
ENSG00000186452	ENST00000398458	TMPRSS12	1457	0.409
ENSG00000186453	ENST00000295150	FAM228A	1824	0.509
ENSG00000186458	ENST00000382376	DEFB132	2133	0.406
ENSG00000186462	ENST00000373517	NAP1L2	2550	0.404
ENSG00000186466	ENST00000412626	AQP7P1	1045	0.558
ENSG00000186468	ENST00000296674	RPS23	3252	0.441
ENSG00000186469	ENST00000335281	GNG2	3729	0.403
ENSG00000186470	ENST00000356386	BTN3A2	3017	0.488
ENSG00000186471	ENST00000371431	AKAP14	977	0.427
ENSG00000186472	ENST00000333891	PCLO	20284	0.427
ENSG00000186474	ENST00000526824	KLK12	1170	0.581
ENSG00000186479	ENST00000334025	RGS7BP	4160	0.409
ENSG00000186480	ENST00000340368	INSIG1	2908	0.448
ENSG00000186481	ENST00000431648	ANKRD20A5P	3556	0.372
ENSG00000186487	ENST00000428368	MYT1L	6951	0.473
ENSG00000186493	ENST00000334000	C5orf38	890	0.676
ENSG00000186496	ENST00000589332	ZNF396	3661	0.394
ENSG00000186501	ENST00000611517	TMEM222	1613	0.617
ENSG00000186508	ENST00000427941	OR9I2P	903	0.469
ENSG00000186509	ENST00000335397	OR9Q1	2488	0.435
ENSG00000186510	ENST00000464764	CLCNKA	3060	0.594
ENSG00000186513	ENST00000311591	OR9Q2	1085	0.516
ENSG00000186517	ENST00000368013	ARHGAP30	4342	0.572
ENSG00000186522	ENST00000397714	SEPT10	2719	0.381
ENSG00000186523	ENST00000448228	FAM86B1	2096	0.548
ENSG00000186526	ENST00000612078	CYP4F8	1889	0.572
ENSG00000186529	ENST00000221307	CYP4F3	5053	0.454
ENSG00000186532	ENST00000305513	SMYD4	4384	0.513
ENSG00000186543	ENST00000436658	CROCCP5	830	0.656
ENSG00000186562	ENST00000334773	DEFB105A	330	0.472
ENSG00000186564	ENST00000334793	FOXD2	4675	0.65
ENSG00000186566	ENST00000591680	GPATCH8	6832	0.485
ENSG00000186567	ENST00000403660	CEACAM19	1982	0.597
ENSG00000186572	ENST00000335021	DEFB107A	389	0.412
ENSG00000186575	ENST00000338641	NF2	6025	0.559
ENSG00000186577	ENST00000476320	C6orf1	818	0.601
ENSG00000186579	ENST00000335186	DEFB106A	303	0.41
ENSG00000186583	ENST00000377470	SPATC1	2007	0.644
ENSG00000186591	ENST00000355621	UBE2H	5151	0.465
ENSG00000186594	ENST00000574306	MIR22HG	2626	0.494
ENSG00000186599	ENST00000335510	DEFB105B	331	0.475
ENSG00000186603	ENST00000334815	HPDL	1629	0.628
ENSG00000186615	ENST00000412224	KTN1-AS1	2185	0.467
ENSG00000186625	ENST00000367411	KATNA1	1898	0.444
ENSG00000186628	ENST00000334574	FSD2	6418	0.432
ENSG00000186635	ENST00000334211	ARAP1	4942	0.605
ENSG00000186638	ENST00000402558	KIF24	6131	0.494
ENSG00000186642	ENST00000334456	PDE2A	4284	0.585
ENSG00000186645	ENST00000412399	SPDYE17	783	0.569
ENSG00000186648	ENST00000342740	LRRC16B	4589	0.615
ENSG00000186652	ENST00000311862	PRG2	1431	0.52
ENSG00000186654	ENST00000403581	PRR5	2279	0.621
ENSG00000186660	ENST00000316059	ZFP91	5776	0.441
ENSG00000186665	ENST00000449250	C17orf58	1082	0.473
ENSG00000186666	ENST00000333924	BCDIN3D	3226	0.45
ENSG00000186675	ENST00000373359	MAGEE2	2249	0.469
ENSG00000186676	ENST00000457231	EEF1GP1	1299	0.528
ENSG00000186678	ENST00000334118	na	313	0.466
ENSG00000186684	ENST00000335247	CYP27C1	4401	0.45
ENSG00000186687	ENST00000379380	LYRM7	6219	0.368
ENSG00000186704	ENST00000425797	DTX2P1	1633	0.63
ENSG00000186710	ENST00000335621	CCDC42B	1514	0.649
ENSG00000186714	ENST00000335185	CCDC73	3849	0.329
ENSG00000186715	ENST00000624762	MST1L	3995	0.5
ENSG00000186716	ENST00000305877	BCR	7082	0.606
ENSG00000186723	ENST00000334920	OR10H1	1124	0.564
ENSG00000186732	ENST00000417669	MPPED1	3657	0.572
ENSG00000186743	ENST00000335020	TPI1P3	740	0.547
ENSG00000186765	ENST00000417245	FSCN2	1665	0.667
ENSG00000186766	ENST00000388920	FOXI2	3217	0.618
ENSG00000186767	ENST00000374884	SPIN4	4117	0.375
ENSG00000186777	ENST00000419098	ZNF732	2193	0.383
ENSG00000186787	ENST00000333933	SPIN2B	1258	0.501
ENSG00000186788	ENST00000445385	SPATA31D3	4785	0.474
ENSG00000186790	ENST00000335071	FOXE3	1768	0.687
ENSG00000186792	ENST00000336307	HYAL3	1878	0.606
ENSG00000186795	ENST00000334549	KCNK18	1155	0.509
ENSG00000186803	ENST00000357374	IFNA10	963	0.411
ENSG00000186806	ENST00000335624	VSIG10L	3397	0.611
ENSG00000186810	ENST00000373693	CXCR3	1615	0.622
ENSG00000186812	ENST00000330501	ZNF397	5259	0.429
ENSG00000186814	ENST00000420878	ZSCAN30	4323	0.458
ENSG00000186815	ENST00000335509	TPCN1	5274	0.575
ENSG00000186818	ENST00000391736	LILRB4	4002	0.474
ENSG00000186825	ENST00000623129	C2orf27B	1325	0.614
ENSG00000186827	ENST00000497869	TNFRSF4	1707	0.699
ENSG00000186831	ENST00000300992	KRT17P2	1314	0.613
ENSG00000186832	ENST00000301653	KRT16	1658	0.61
ENSG00000186834	ENST00000332499	HEXIM1	3600	0.483
ENSG00000186838	ENST00000335426	na	1704	0.613
ENSG00000186842	ENST00000334165	LINC00846	1778	0.522
ENSG00000186844	ENST00000335123	LCE1A	422	0.645
ENSG00000186847	ENST00000167586	KRT14	1636	0.609
ENSG00000186854	ENST00000409520	TRABD2A	1814	0.558
ENSG00000186860	ENST00000334202	KRTAP17-1	779	0.561
ENSG00000186862	ENST00000619208	PDZD7	4112	0.617
ENSG00000186866	ENST00000349485	POFUT2	2871	0.571
ENSG00000186867	ENST00000394427	QRFPR	1708	0.515
ENSG00000186868	ENST00000344290	MAPT	6816	0.573
ENSG00000186871	ENST00000334463	ERCC6L	4218	0.405
ENSG00000186881	ENST00000334726	OR13F1	960	0.463
ENSG00000186886	ENST00000641440	OR5D3P	3685	0.342
ENSG00000186889	ENST00000335390	TMEM17	1654	0.419
ENSG00000186891	ENST00000379268	TNFRSF18	1083	0.681
ENSG00000186895	ENST00000334134	FGF3	1540	0.67
ENSG00000186897	ENST00000334221	C1QL4	2073	0.666
ENSG00000186907	ENST00000335099	RTN4RL2	2224	0.69
ENSG00000186908	ENST00000426126	ZDHHC17	5259	0.406
ENSG00000186910	ENST00000334708	SERPINA11	1486	0.528
ENSG00000186912	ENST00000374519	P2RY4	1595	0.567
ENSG00000186918	ENST00000344423	ZNF395	4797	0.536
ENSG00000186919	ENST00000590045	ZACN	2651	0.591
ENSG00000186924	ENST00000334680	KRTAP22-1	296	0.453
ENSG00000186925	ENST00000334046	KRTAP19-6	330	0.476
ENSG00000186930	ENST00000334897	KRTAP6-2	313	0.553
ENSG00000186940	ENST00000461726	CHCHD2P9	456	0.621
ENSG00000186943	ENST00000335040	OR13C8	963	0.441
ENSG00000186951	ENST00000407236	PPARA	9995	0.477
ENSG00000186952	ENST00000455884	TMEM232	3115	0.356
ENSG00000186960	ENST00000622740	LINC01551	2581	0.377
ENSG00000186965	ENST00000334055	KRTAP19-2	394	0.48
ENSG00000186967	ENST00000334058	KRTAP19-4	310	0.487
ENSG00000186970	ENST00000334067	KRTAP15-1	671	0.468
ENSG00000186971	ENST00000334068	KRTAP13-4	797	0.473
ENSG00000186973	ENST00000335282	FAM183A	536	0.516
ENSG00000186976	ENST00000262726	EFCAB6	4863	0.458
ENSG00000186977	ENST00000334151	KRTAP19-5	461	0.488
ENSG00000186980	ENST00000334160	KRTAP23-1	211	0.563
ENSG00000186994	ENST00000330915	KANK3	2787	0.704
ENSG00000186998	ENST00000334018	EMID1	2128	0.659
ENSG00000187003	ENST00000333999	ACTL7A	1494	0.571
ENSG00000187005	ENST00000335093	KRTAP21-1	414	0.483
ENSG00000187010	ENST00000328664	RHD	2814	0.479
ENSG00000187012	ENST00000605505	LINC00207	666	0.577
ENSG00000187013	ENST00000623772	C17orf82	1530	0.708
ENSG00000187017	ENST00000377828	ESPN	3531	0.682
ENSG00000187021	ENST00000528052	PNLIPRP1	1533	0.507
ENSG00000187024	ENST00000419060	PTRH1	2692	0.618
ENSG00000187026	ENST00000333892	KRTAP21-2	440	0.48
ENSG00000187033	ENST00000428432	SAMD7	2399	0.462
ENSG00000187037	ENST00000447769	GPR141	1270	0.425
ENSG00000187045	ENST00000346753	TMPRSS6	3194	0.629
ENSG00000187048	ENST00000310638	CYP4A11	2530	0.544
ENSG00000187049	ENST00000515837	TMEM216	1958	0.529
ENSG00000187051	ENST00000334678	RPS19BP1	820	0.625
ENSG00000187054	ENST00000334830	TMPRSS11A	3054	0.361
ENSG00000187066	ENST00000530719	TMEM262	494	0.54
ENSG00000187068	ENST00000335012	C3orf70	7159	0.459
ENSG00000187079	ENST00000527636	TEAD1	9417	0.43
ENSG00000187080	ENST00000366480	OR2AK2	1154	0.428
ENSG00000187082	ENST00000335479	DEFB106B	316	0.418
ENSG00000187091	ENST00000334661	PLCD1	2769	0.609
ENSG00000187094	ENST00000396169	CCK	1527	0.582
ENSG00000187097	ENST00000334696	ENTPD5	5842	0.43
ENSG00000187098	ENST00000394351	MITF	4479	0.389
ENSG00000187103	ENST00000334716	FUNDC2P3	533	0.445
ENSG00000187105	ENST00000553558	HEATR4	3523	0.508
ENSG00000187109	ENST00000618691	NAP1L1	13159	0.373
ENSG00000187116	ENST00000432233	LILRA5	1363	0.558
ENSG00000187118	ENST00000466830	CMC1	6033	0.348
ENSG00000187122	ENST00000266058	SLIT1	7964	0.594
ENSG00000187123	ENST00000334166	LYPD6	4011	0.42
ENSG00000187134	ENST00000380872	AKR1C1	6543	0.423
ENSG00000187135	ENST00000335523	VSTM2B	1488	0.567
ENSG00000187140	ENST00000371116	FOXD3	2086	0.64
ENSG00000187144	ENST00000335496	SPATA21	2015	0.57
ENSG00000187147	ENST00000355387	RNF220	3099	0.559
ENSG00000187151	ENST00000334289	ANGPTL5	2368	0.339
ENSG00000187164	ENST00000615301	SHTN1	6730	0.391
ENSG00000187166	ENST00000335017	H1FNT	1300	0.607
ENSG00000187170	ENST00000368777	LCE4A	672	0.563
ENSG00000187172	ENST00000496773	BAGE2	2598	0.439
ENSG00000187173	ENST00000368779	LCE2A	611	0.586
ENSG00000187175	ENST00000391617	KRTAP12-1	588	0.604
ENSG00000187180	ENST00000368783	LCE2C	614	0.568
ENSG00000187185	ENST00000335616	na	1317	0.574
ENSG00000187186	ENST00000421828	na	1525	0.584
ENSG00000187187	ENST00000347077	ZNF546	8000	0.381
ENSG00000187189	ENST00000420283	TSPYL4	4180	0.478
ENSG00000187191	ENST00000382365	DAZ3	3503	0.389
ENSG00000187193	ENST00000394485	MT1X	404	0.492
ENSG00000187210	ENST00000442371	GCNT1	5972	0.39
ENSG00000187223	ENST00000368784	LCE2D	609	0.567
ENSG00000187229	ENST00000524252	na	2054	0.387
ENSG00000187231	ENST00000428443	SESTD1	10671	0.378
ENSG00000187238	ENST00000335633	LCE3B	288	0.646
ENSG00000187239	ENST00000446176	FNBP1	5420	0.519
ENSG00000187240	ENST00000375735	DYNC2H1	13683	0.383
ENSG00000187242	ENST00000251643	KRT12	1880	0.507
ENSG00000187243	ENST00000335504	MAGED4B	2578	0.594
ENSG00000187244	ENST00000270233	BCAM	2453	0.662
ENSG00000187257	ENST00000334955	RSBN1L	6406	0.389
ENSG00000187258	ENST00000360581	NPSR1	1567	0.514
ENSG00000187260	ENST00000334493	WDR86	2023	0.697
ENSG00000187266	ENST00000222139	EPOR	2411	0.581
ENSG00000187268	ENST00000333995	FAM9C	3361	0.358
ENSG00000187272	ENST00000254072	KRTAP9-8	960	0.508
ENSG00000187288	ENST00000336832	CIDEC	1277	0.572
ENSG00000187323	ENST00000442544	DCC	10181	0.433
ENSG00000187325	ENST00000341864	TAF9B	2657	0.366
ENSG00000187372	ENST00000341948	PCDHB13	5061	0.471
ENSG00000187391	ENST00000354212	MAGI2	6975	0.501
ENSG00000187398	ENST00000336930	LUZP2	5212	0.364
ENSG00000187416	ENST00000424859	LHFPL3	1719	0.427
ENSG00000187446	ENST00000334660	CHP1	3201	0.46
ENSG00000187472	ENST00000340697	na	249	0.398
ENSG00000187474	ENST00000339223	FPR3	2627	0.435
ENSG00000187475	ENST00000338379	HIST1H1T	718	0.483
ENSG00000187479	ENST00000617612	C11orf96	1247	0.691
ENSG00000187481	ENST00000286193	HSD3BP1	1111	0.49
ENSG00000187483	ENST00000469935	SERPINA13P	1718	0.556
ENSG00000187486	ENST00000339994	KCNJ11	2801	0.611
ENSG00000187492	ENST00000412678	CDHR4	2528	0.571
ENSG00000187498	ENST00000375820	COL4A1	6540	0.552
ENSG00000187504	ENST00000461513	RPL7P48	746	0.415
ENSG00000187510	ENST00000397833	PLEKHG7	1856	0.472
ENSG00000187513	ENST00000342280	GJA4	1621	0.608
ENSG00000187514	ENST00000341369	PTMA	1212	0.459
ENSG00000187516	ENST00000341016	HYPM	501	0.482
ENSG00000187522	ENST00000378372	HSPA14	1762	0.41
ENSG00000187527	ENST00000342358	ATP13A5	4027	0.453
ENSG00000187531	ENST00000328666	SIRT7	1725	0.617
ENSG00000187533	ENST00000344526	PRR27	3127	0.385
ENSG00000187534	ENST00000596581	PRR13P5	442	0.566
ENSG00000187535	ENST00000426508	IFT140	5232	0.597
ENSG00000187536	ENST00000338274	TPM3P7	732	0.485
ENSG00000187537	ENST00000547848	POTEG	2204	0.481
ENSG00000187545	ENST00000235347	PRAMEF10	1525	0.524
ENSG00000187546	ENST00000342526	AGMO	2476	0.398
ENSG00000187550	ENST00000413299	SBK2	1085	0.709
ENSG00000187553	ENST00000624358	CYP26C1	4208	0.628
ENSG00000187554	ENST00000540964	TLR5	4088	0.432
ENSG00000187555	ENST00000344836	USP7	5831	0.486
ENSG00000187556	ENST00000397555	NANOS3	769	0.627
ENSG00000187559	ENST00000342833	FOXD4L3	2039	0.6
ENSG00000187566	ENST00000340650	NHLRC1	2248	0.523
ENSG00000187569	ENST00000345088	DPPA3	1100	0.401
ENSG00000187581	ENST00000342144	COX8C	533	0.494
ENSG00000187583	ENST00000379410	PLEKHN1	2404	0.662
ENSG00000187589	ENST00000583350	TERF1P2	1212	0.42
ENSG00000187595	ENST00000618554	ZNF385C	2596	0.579
ENSG00000187600	ENST00000449601	TMEM247	741	0.396
ENSG00000187601	ENST00000342972	MAGEH1	1462	0.48
ENSG00000187605	ENST00000409262	TET3	11388	0.523
ENSG00000187607	ENST00000464847	ZNF286A	5616	0.432
ENSG00000187608	ENST00000379389	ISG15	711	0.647
ENSG00000187609	ENST00000340951	EXD3	2781	0.671
ENSG00000187612	ENST00000344514	OR5W2	933	0.406
ENSG00000187616	ENST00000339996	TMEM8C	818	0.613
ENSG00000187621	ENST00000497248	TCL6	4232	0.479
ENSG00000187624	ENST00000360127	C17orf97	1841	0.578
ENSG00000187626	ENST00000377294	ZKSCAN4	5346	0.428
ENSG00000187627	ENST00000409776	RGPD1	6692	0.401
ENSG00000187630	ENST00000335125	DHRS4L2	1258	0.566
ENSG00000187634	ENST00000342066	SAMD11	2557	0.667
ENSG00000187642	ENST00000433179	PERM1	3340	0.654
ENSG00000187650	ENST00000339485	VMAC	2254	0.569
ENSG00000187653	ENST00000402089	TMSB4XP8	135	0.444
ENSG00000187657	ENST00000338964	TSPY13P	914	0.565
ENSG00000187658	ENST00000409999	C5orf52	721	0.542
ENSG00000187664	ENST00000291481	HAPLN4	4342	0.602
ENSG00000187672	ENST00000288221	ERC2	6239	0.435
ENSG00000187676	ENST00000343307	B3GLCT	4215	0.402
ENSG00000187678	ENST00000434127	SPRY4	2379	0.565
ENSG00000187682	ENST00000338270	ERAS	1266	0.559
ENSG00000187686	ENST00000534728	KRT18P59	3338	0.471
ENSG00000187688	ENST00000338560	TRPV2	2779	0.586
ENSG00000187689	ENST00000339336	AMTN	1009	0.439
ENSG00000187690	ENST00000342995	CXorf67	1896	0.608
ENSG00000187699	ENST00000340623	C2orf88	4035	0.385
ENSG00000187701	ENST00000641652	OR2T27	1285	0.489
ENSG00000187713	ENST00000343666	TMEM203	1567	0.568
ENSG00000187714	ENST00000374115	SLC18A3	2411	0.672
ENSG00000187715	ENST00000405109	KBTBD12	5727	0.493
ENSG00000187720	ENST00000355327	THSD4	9200	0.51
ENSG00000187721	ENST00000433887	GTF2IP3	494	0.393
ENSG00000187726	ENST00000339764	DNAJB13	1875	0.504
ENSG00000187730	ENST00000378585	GABRD	1914	0.636
ENSG00000187733	ENST00000370079	AMY1C	1632	0.409
ENSG00000187735	ENST00000521604	TCEA1	2777	0.394
ENSG00000187736	ENST00000356853	NHEJ1	2094	0.488
ENSG00000187741	ENST00000389301	FANCA	5452	0.554
ENSG00000187742	ENST00000375807	SECISBP2	3462	0.458
ENSG00000187747	ENST00000345043	OR52B6	1008	0.493
ENSG00000187753	ENST00000339137	C9orf153	1845	0.359
ENSG00000187754	ENST00000298181	SSX7	1311	0.474
ENSG00000187758	ENST00000209668	ADH1A	1454	0.456
ENSG00000187762	ENST00000339579	HSPE1P11	310	0.423
ENSG00000187763	ENST00000429302	OR2B7P	934	0.481
ENSG00000187764	ENST00000450295	SEMA4D	5684	0.523
ENSG00000187766	ENST00000334662	KRTAP10-8	876	0.659
ENSG00000187772	ENST00000345080	LIN28B	5446	0.38
ENSG00000187773	ENST00000343998	FAM69C	3671	0.535
ENSG00000187775	ENST00000389840	DNAH17	13723	0.555
ENSG00000187778	ENST00000550165	MCRS1	1936	0.582
ENSG00000187783	ENST00000389583	TMEM72	2880	0.558
ENSG00000187790	ENST00000267430	FANCM	7131	0.377
ENSG00000187791	ENST00000603640	FAM205C	1017	0.482
ENSG00000187792	ENST00000341976	ZNF70	6940	0.514
ENSG00000187796	ENST00000371732	CARD9	2123	0.642
ENSG00000187800	ENST00000338302	PEAR1	4970	0.591
ENSG00000187801	ENST00000411995	ZFP69B	2109	0.45
ENSG00000187806	ENST00000341689	TMEM202	1012	0.475
ENSG00000187808	ENST00000343905	SOWAHD	1615	0.655
ENSG00000187812	ENST00000566174	na	2071	0.555
ENSG00000187815	ENST00000372706	ZFP69	2796	0.47
ENSG00000187821	ENST00000515777	HELT	841	0.644
ENSG00000187823	ENST00000340433	ZCCHC16	2613	0.445
ENSG00000187824	ENST00000341871	TMEM220	3106	0.406
ENSG00000187833	ENST00000409561	C2orf78	3045	0.471
ENSG00000187837	ENST00000343677	HIST1H1C	642	0.575
ENSG00000187838	ENST00000571541	TMEM256-PLSCR3	2310	0.63
ENSG00000187840	ENST00000338825	EIF4EBP1	827	0.629
ENSG00000187847	ENST00000641088	OR7E25P	5937	0.436
ENSG00000187848	ENST00000389110	P2RX2	1867	0.621
ENSG00000187855	ENST00000342331	ASCL4	2260	0.513
ENSG00000187857	ENST00000641576	OR6C75	4569	0.36
ENSG00000187860	ENST00000405659	CCDC157	3052	0.655
ENSG00000187862	ENST00000368236	TTC24	2005	0.616
ENSG00000187866	ENST00000394264	FAM122A	4575	0.409
ENSG00000187867	ENST00000340790	PALM3	2262	0.616
ENSG00000187870	ENST00000340898	RNFT1P3	1052	0.392
ENSG00000187871	ENST00000340465	GFRAL	1911	0.415
ENSG00000187889	ENST00000343433	C1orf168	3183	0.397
ENSG00000187893	ENST00000483225	CXXC1P1	1897	0.486
ENSG00000187900	ENST00000514084	OR5H7P	930	0.366
ENSG00000187902	ENST00000376325	SHISA7	6033	0.608
ENSG00000187904	ENST00000441093	na	591	0.459
ENSG00000187905	ENST00000497328	LRRC74B	4803	0.512
ENSG00000187908	ENST00000368909	DMBT1	7686	0.56
ENSG00000187912	ENST00000417570	CLEC17A	1399	0.547
ENSG00000187918	ENST00000641930	OR51I2	3302	0.394
ENSG00000187922	ENST00000497771	LCN10	723	0.607
ENSG00000187942	ENST00000344642	LDLRAD2	4012	0.623
ENSG00000187944	ENST00000342506	C2orf66	1669	0.366
ENSG00000187950	ENST00000318184	OVCH1	3405	0.445
ENSG00000187951	ENST00000602616	ARHGAP11B	5637	0.461
ENSG00000187952	ENST00000481504	HS6ST1P1	1234	0.671
ENSG00000187953	ENST00000486256	PMS2CL	3327	0.489
ENSG00000187954	ENST00000438911	CYHR1	2020	0.612
ENSG00000187955	ENST00000297848	COL14A1	8009	0.446
ENSG00000187957	ENST00000341772	DNER	3257	0.507
ENSG00000187959	ENST00000344935	CPSF4L	647	0.546
ENSG00000187961	ENST00000338591	KLHL17	2567	0.65
ENSG00000187969	ENST00000339534	ZCCHC13	842	0.516
ENSG00000187979	ENST00000434390	na	1859	0.482
ENSG00000187980	ENST00000429261	PLA2G2C	3249	0.523
ENSG00000187984	ENST00000473204	ANKRD19P	2370	0.535
ENSG00000187987	ENST00000289788	ZSCAN23	3126	0.389
ENSG00000187988	ENST00000434597	KCTD9P3	1169	0.428
ENSG00000187994	ENST00000598904	RINL	1846	0.637
ENSG00000187997	ENST00000340363	C17orf99	984	0.587
ENSG00000187999	ENST00000342073	HNRNPA1P61	924	0.45
ENSG00000188000	ENST00000344248	OR7D2	3224	0.441
ENSG00000188001	ENST00000345063	TPRG1	5482	0.397
ENSG00000188002	ENST00000507841	na	2338	0.465
ENSG00000188004	ENST00000644477	C1orf204	1544	0.51
ENSG00000188010	ENST00000410014	MORN2	750	0.439
ENSG00000188011	ENST00000343216	RTP5	2296	0.67
ENSG00000188013	ENST00000418141	MEIS3P2	1075	0.608
ENSG00000188015	ENST00000368713	S100A3	742	0.586
ENSG00000188021	ENST00000338222	UBQLN2	4230	0.443
ENSG00000188026	ENST00000376874	RILPL1	3933	0.537
ENSG00000188029	ENST00000412179	CTSL3P	788	0.459
ENSG00000188032	ENST00000548523	C19orf67	1427	0.626
ENSG00000188033	ENST00000311437	ZNF490	6108	0.476
ENSG00000188037	ENST00000343257	CLCN1	3172	0.563
ENSG00000188038	ENST00000339176	NRN1L	626	0.634
ENSG00000188039	ENST00000518676	NWD1	8393	0.527
