Ensid	Enstxid	sym	Tx.len	GC
ENSMUSG00000024171	ENSMUST00000015267	Prss28	1190	0.53
ENSMUSG00000024172	ENSMUST00000025000	St6gal2	6066	0.43
ENSMUSG00000024173	ENSMUST00000146856	Tpsab1	1928	0.545
ENSMUSG00000024174	ENSMUST00000233802	Pot1b	3582	0.448
ENSMUSG00000024175	ENSMUST00000025002	Tekt4	1536	0.576
ENSMUSG00000024176	ENSMUST00000025003	Sox8	3000	0.542
ENSMUSG00000024177	ENSMUST00000150280	Nme4	964	0.587
ENSMUSG00000024180	ENSMUST00000025010	Tmem8	3464	0.559
ENSMUSG00000024181	ENSMUST00000025014	Mrpl28	1048	0.582
ENSMUSG00000024182	ENSMUST00000074370	Axin1	3777	0.565
ENSMUSG00000024184	ENSMUST00000039113	Pdia2	1721	0.548
ENSMUSG00000024186	ENSMUST00000147220	Rgs11	2703	0.562
ENSMUSG00000024187	ENSMUST00000114988	Fam234a	3714	0.551
ENSMUSG00000024188	ENSMUST00000114976	Luc7l	4934	0.469
ENSMUSG00000024190	ENSMUST00000126178	Dusp1	2313	0.539
ENSMUSG00000024191	ENSMUST00000135899	Bnip1	3443	0.458
ENSMUSG00000024193	ENSMUST00000073724	Phf1	2429	0.601
ENSMUSG00000024194	ENSMUST00000025027	Cuta	639	0.579
ENSMUSG00000024197	ENSMUST00000019726	Plin3	3645	0.512
ENSMUSG00000024201	ENSMUST00000025036	Kdm4b	4577	0.587
ENSMUSG00000024205	ENSMUST00000136893	Rpl36-ps2	311	0.611
ENSMUSG00000024206	ENSMUST00000233643	Rfx2	4141	0.54
ENSMUSG00000024207	ENSMUST00000043062	Acsbg2	2609	0.529
ENSMUSG00000024208	ENSMUST00000145148	Uqcc2	649	0.536
ENSMUSG00000024209	ENSMUST00000025048	1700061G19Rik	2677	0.538
ENSMUSG00000024210	ENSMUST00000025046	Ip6k3	2307	0.553
ENSMUSG00000024211	ENSMUST00000146727	Grm8	4799	0.419
ENSMUSG00000024212	ENSMUST00000025053	Mllt1	3636	0.595
ENSMUSG00000024213	ENSMUST00000025050	Nudt3	2223	0.57
ENSMUSG00000024215	ENSMUST00000025054	Spdef	1921	0.595
ENSMUSG00000024217	ENSMUST00000137581	Snrpc	6107	0.458
ENSMUSG00000024218	ENSMUST00000233439	Taf11	3457	0.546
ENSMUSG00000024219	ENSMUST00000025058	Anks1	6846	0.586
ENSMUSG00000024220	ENSMUST00000233458	Zfp523	4609	0.519
ENSMUSG00000024222	ENSMUST00000114792	Fkbp5	3858	0.516
ENSMUSG00000024223	ENSMUST00000232814	Armc12	1304	0.558
ENSMUSG00000024224	ENSMUST00000025061	Clpsl2	522	0.58
ENSMUSG00000024225	ENSMUST00000025062	Clps	611	0.542
ENSMUSG00000024227	ENSMUST00000025064	Pdzph1	4174	0.446
ENSMUSG00000024228	ENSMUST00000025065	Nudt12	4113	0.409
ENSMUSG00000024231	ENSMUST00000162301	Cul2	3828	0.406
ENSMUSG00000024232	ENSMUST00000025075	Bambi	5074	0.44
ENSMUSG00000024233	ENSMUST00000025076	Lyzl1	846	0.449
ENSMUSG00000024234	ENSMUST00000025077	Mtpap	2651	0.423
ENSMUSG00000024235	ENSMUST00000025078	Map3k8	2569	0.453
ENSMUSG00000024236	ENSMUST00000126977	Svil	7907	0.51
ENSMUSG00000024238	ENSMUST00000025081	Zeb1	5801	0.461
ENSMUSG00000024240	ENSMUST00000028100	Epc1	3965	0.49
ENSMUSG00000024241	ENSMUST00000068714	Sos1	8436	0.409
ENSMUSG00000024242	ENSMUST00000112389	Map4k3	4231	0.448
ENSMUSG00000024245	ENSMUST00000025092	Tmem178	1696	0.532
ENSMUSG00000024246	ENSMUST00000025093	Thumpd2	1833	0.479
ENSMUSG00000024247	ENSMUST00000170794	Pkdcc	2446	0.645
ENSMUSG00000024248	ENSMUST00000167741	Cox7a2l	1129	0.498
ENSMUSG00000024251	ENSMUST00000047524	Thada	7784	0.481
ENSMUSG00000024253	ENSMUST00000025101	Dync2li1	1354	0.466
ENSMUSG00000024254	ENSMUST00000045714	Abcg8	3667	0.535
ENSMUSG00000024256	ENSMUST00000064775	Adcyap1	3392	0.428
ENSMUSG00000024258	ENSMUST00000025106	Polr2d	1015	0.484
ENSMUSG00000024259	ENSMUST00000060396	Slc25a46	4371	0.407
ENSMUSG00000024260	ENSMUST00000178164	Sap130	4030	0.542
ENSMUSG00000024261	ENSMUST00000025110	Syt4	3892	0.407
ENSMUSG00000024266	ENSMUST00000098361	Adad2	1926	0.63
ENSMUSG00000024268	ENSMUST00000115816	Celf4	3995	0.493
ENSMUSG00000024269	ENSMUST00000115817	Tpgs2	4159	0.455
ENSMUSG00000024270	ENSMUST00000070726	Slc39a6	3882	0.488
ENSMUSG00000024271	ENSMUST00000025120	Elp2	2497	0.487
ENSMUSG00000024273	ENSMUST00000097646	2700062C07Rik	1065	0.478
ENSMUSG00000024274	ENSMUST00000224144	Zscan30	1458	0.431
ENSMUSG00000024276	ENSMUST00000060762	Zfp397	5472	0.4
ENSMUSG00000024277	ENSMUST00000025127	Mapre2	4026	0.477
ENSMUSG00000024283	ENSMUST00000167020	Wac	5208	0.418
ENSMUSG00000024286	ENSMUST00000053917	Ccny	5757	0.442
ENSMUSG00000024287	ENSMUST00000025137	Thoc1	4134	0.402
ENSMUSG00000024290	ENSMUST00000067947	Rock1	6440	0.403
ENSMUSG00000024292	ENSMUST00000179434	Cyp4f14	2207	0.532
ENSMUSG00000024293	ENSMUST00000025142	Esco1	4545	0.392
ENSMUSG00000024294	ENSMUST00000052838	Mib1	10231	0.434
ENSMUSG00000024295	ENSMUST00000126790	Cyp4f41-ps	883	0.525
ENSMUSG00000024298	ENSMUST00000159086	Zfp871	10851	0.4
ENSMUSG00000024299	ENSMUST00000173931	Adamts10	4121	0.585
ENSMUSG00000024300	ENSMUST00000087605	Myo1f	3831	0.542
ENSMUSG00000024301	ENSMUST00000078961	Kifc5b	2627	0.559
ENSMUSG00000024302	ENSMUST00000115832	Dtna	6295	0.461
ENSMUSG00000024304	ENSMUST00000025166	Cdh2	4843	0.495
ENSMUSG00000024306	ENSMUST00000025160	Ccdc178	3335	0.399
ENSMUSG00000024308	ENSMUST00000025161	Tapbp	2898	0.572
ENSMUSG00000024309	ENSMUST00000173363	Pfdn6	871	0.561
ENSMUSG00000024312	ENSMUST00000025170	Wdr46	2229	0.577
ENSMUSG00000024313	ENSMUST00000082235	Mep1b	2286	0.461
ENSMUSG00000024317	ENSMUST00000052396	Rnf138	2769	0.348
ENSMUSG00000024319	ENSMUST00000025178	Vps52	3383	0.556
ENSMUSG00000024325	ENSMUST00000174054	Ring1	2552	0.569
ENSMUSG00000024327	ENSMUST00000170491	Slc39a7	2433	0.575
ENSMUSG00000024330	ENSMUST00000087497	Col11a2	6048	0.629
ENSMUSG00000024331	ENSMUST00000039247	Dsc2	4630	0.425
ENSMUSG00000024334	ENSMUST00000174670	H2-Oa	1231	0.566
ENSMUSG00000024335	ENSMUST00000154232	Brd2	4520	0.569
ENSMUSG00000024338	ENSMUST00000172960	Psmb8	1907	0.525
ENSMUSG00000024339	ENSMUST00000025197	Tap2	3442	0.569
ENSMUSG00000024340	ENSMUST00000025198	Btnl2	2564	0.523
ENSMUSG00000024346	ENSMUST00000025204	Pfdn1	1077	0.504
ENSMUSG00000024347	ENSMUST00000115716	Psd2	4607	0.551
ENSMUSG00000024349	ENSMUST00000115728	Tmem173	2302	0.512
ENSMUSG00000024350	ENSMUST00000025208	Dnajc18	5169	0.475
ENSMUSG00000024352	ENSMUST00000096573	Spata24	709	0.539
ENSMUSG00000024353	ENSMUST00000025211	Mzb1	905	0.54
ENSMUSG00000024354	ENSMUST00000025212	Slc23a1	3009	0.486
ENSMUSG00000024357	ENSMUST00000025215	Sil1	1695	0.554
ENSMUSG00000024359	ENSMUST00000025217	Hspa9	3034	0.459
ENSMUSG00000024360	ENSMUST00000025218	Etf1	3709	0.443
ENSMUSG00000024365	ENSMUST00000025223	Cyp21a1	2058	0.569
ENSMUSG00000024366	ENSMUST00000025224	Gfra3	1992	0.572
ENSMUSG00000024369	ENSMUST00000097343	Nelfe	1607	0.58
ENSMUSG00000024370	ENSMUST00000133181	Cdc23	4133	0.47
ENSMUSG00000024371	ENSMUST00000025230	C2	2641	0.524
ENSMUSG00000024376	ENSMUST00000025234	Epb41l4a	3853	0.526
ENSMUSG00000024378	ENSMUST00000025236	Stard4	5097	0.44
ENSMUSG00000024379	ENSMUST00000025237	Tslp	1126	0.396
ENSMUSG00000024381	ENSMUST00000025239	Bin1	2406	0.58
ENSMUSG00000024382	ENSMUST00000142213	Ercc3	2781	0.514
ENSMUSG00000024383	ENSMUST00000096575	Map3k2	10684	0.394
ENSMUSG00000024384	ENSMUST00000025243	Iws1	9613	0.418
ENSMUSG00000024386	ENSMUST00000171765	Proc	1566	0.566
ENSMUSG00000024387	ENSMUST00000025246	Csnk2b	961	0.533
ENSMUSG00000024388	ENSMUST00000134663	Myo7b	6621	0.555
ENSMUSG00000024391	ENSMUST00000025249	Apom	1013	0.544
ENSMUSG00000024392	ENSMUST00000025250	Bag6	3858	0.599
ENSMUSG00000024393	ENSMUST00000025253	Prrc2a	6888	0.606
ENSMUSG00000024395	ENSMUST00000025254	Lims2	1870	0.577
ENSMUSG00000024397	ENSMUST00000173324	Aif1	875	0.514
ENSMUSG00000024399	ENSMUST00000173510	Ltb	1417	0.611
ENSMUSG00000024400	ENSMUST00000025264	Wdr33	4575	0.542
ENSMUSG00000024401	ENSMUST00000025263	Tnf	1639	0.521
ENSMUSG00000024402	ENSMUST00000025266	Lta	1383	0.557
ENSMUSG00000024403	ENSMUST00000146711	Atp6v1g2	1882	0.513
ENSMUSG00000024404	ENSMUST00000025270	Riok3	3790	0.439
ENSMUSG00000024406	ENSMUST00000025271	Pou5f1	1362	0.576
ENSMUSG00000024409	ENSMUST00000025273	Psors1c2	843	0.558
ENSMUSG00000024410	ENSMUST00000139151	Rmc1	3776	0.463
ENSMUSG00000024411	ENSMUST00000079081	Aqp4	5054	0.414
ENSMUSG00000024413	ENSMUST00000133112	Npc1	5756	0.457
ENSMUSG00000024414	ENSMUST00000025278	Mrpl27	756	0.514
ENSMUSG00000024420	ENSMUST00000025288	Zfp521	6206	0.501
ENSMUSG00000024421	ENSMUST00000092070	Lama3	10548	0.518
ENSMUSG00000024422	ENSMUST00000025292	Dhx16	3351	0.58
ENSMUSG00000024423	ENSMUST00000025290	Impact	3763	0.421
ENSMUSG00000024424	ENSMUST00000141060	Ttc39c	3243	0.512
ENSMUSG00000024425	ENSMUST00000025293	Ndfip1	930	0.518
ENSMUSG00000024426	ENSMUST00000141662	Atat1	2034	0.537
ENSMUSG00000024427	ENSMUST00000025295	Spry4	4587	0.509
ENSMUSG00000024429	ENSMUST00000087200	Gnl1	2848	0.593
ENSMUSG00000024430	ENSMUST00000080415	Cabyr	2131	0.481
ENSMUSG00000024431	ENSMUST00000115567	Nr3c1	6436	0.422
ENSMUSG00000024436	ENSMUST00000025305	Mrps18b	1079	0.527
ENSMUSG00000024437	ENSMUST00000025307	Gm8615	771	0.52
ENSMUSG00000024440	ENSMUST00000025311	Pcdh12	3859	0.539
ENSMUSG00000024442	ENSMUST00000025314	Dele1	2404	0.557
ENSMUSG00000024446	ENSMUST00000025319	Rpp21	729	0.57
ENSMUSG00000024448	ENSMUST00000025322	H2-M10.1	1394	0.467
ENSMUSG00000024451	ENSMUST00000042944	Arap3	5224	0.566
ENSMUSG00000024454	ENSMUST00000143660	Hdac3	3585	0.471
ENSMUSG00000024456	ENSMUST00000115631	Diaph1	5741	0.516
ENSMUSG00000024457	ENSMUST00000134325	Trim26	4338	0.51
ENSMUSG00000024459	ENSMUST00000145260	H2-M5	2459	0.492
ENSMUSG00000024462	ENSMUST00000025338	Gabbr1	5248	0.53
ENSMUSG00000024471	ENSMUST00000025349	Myot	2209	0.458
ENSMUSG00000024472	ENSMUST00000025350	Dcp2	8616	0.427
ENSMUSG00000024474	ENSMUST00000007042	Ik	1996	0.472
ENSMUSG00000024477	ENSMUST00000025354	Pggt1b	2736	0.418
ENSMUSG00000024479	ENSMUST00000025356	Mal2	2950	0.435
ENSMUSG00000024480	ENSMUST00000025357	Ap3s1	1520	0.408
ENSMUSG00000024481	ENSMUST00000025358	Lvrn	5016	0.464
ENSMUSG00000024483	ENSMUST00000142977	Ankhd1	8235	0.471
ENSMUSG00000024485	ENSMUST00000115694	Slc4a9	2861	0.563
ENSMUSG00000024486	ENSMUST00000025363	Hbegf	2373	0.5
ENSMUSG00000024487	ENSMUST00000025364	Yipf5	2329	0.417
ENSMUSG00000024491	ENSMUST00000091920	Rbm27	6266	0.419
ENSMUSG00000024493	ENSMUST00000097590	Lars	3856	0.471
ENSMUSG00000024497	ENSMUST00000025374	Pou4f3	2360	0.537
ENSMUSG00000024498	ENSMUST00000025375	Tcerg1	4152	0.47
ENSMUSG00000024500	ENSMUST00000117687	Ppp2r2b	2271	0.482
ENSMUSG00000024501	ENSMUST00000121805	Dpysl3	5484	0.501
ENSMUSG00000024502	ENSMUST00000082254	Jakmip2	3511	0.473
ENSMUSG00000024503	ENSMUST00000025381	Spink1	422	0.45
ENSMUSG00000024505	ENSMUST00000163590	Dtwd2	2857	0.42
ENSMUSG00000024507	ENSMUST00000025385	Hsd17b4	2684	0.492
ENSMUSG00000024510	ENSMUST00000025388	Ftmt	1451	0.466
ENSMUSG00000024511	ENSMUST00000121693	Rab27b	6891	0.379
ENSMUSG00000024512	ENSMUST00000025390	Dynap	1227	0.445
ENSMUSG00000024513	ENSMUST00000074058	Mbd2	1953	0.565
ENSMUSG00000024515	ENSMUST00000025393	Smad4	3384	0.495
ENSMUSG00000024516	ENSMUST00000139538	Sec11c	2768	0.468
ENSMUSG00000024517	ENSMUST00000173985	Grp	952	0.534
ENSMUSG00000024518	ENSMUST00000025396	Rax	1669	0.632
ENSMUSG00000024519	ENSMUST00000025397	Cplx4	1751	0.443
ENSMUSG00000024521	ENSMUST00000025399	Pmaip1	2646	0.418
ENSMUSG00000024524	ENSMUST00000025402	Gnal	5616	0.486
ENSMUSG00000024525	ENSMUST00000025403	Impa2	1661	0.546
ENSMUSG00000024526	ENSMUST00000025404	Cidea	1164	0.552
ENSMUSG00000024527	ENSMUST00000025408	Afg3l2	3085	0.524
ENSMUSG00000024528	ENSMUST00000025406	Srfbp1	1463	0.489
ENSMUSG00000024529	ENSMUST00000171470	Lox	4468	0.426
ENSMUSG00000024530	ENSMUST00000025411	Prelid3a	2167	0.528
ENSMUSG00000024532	ENSMUST00000118724	1700034E13Rik	490	0.447
ENSMUSG00000024533	ENSMUST00000115050	Spire1	5405	0.479
ENSMUSG00000024534	ENSMUST00000178678	Sncaip	3724	0.483
ENSMUSG00000024535	ENSMUST00000165032	Snx24	1880	0.489
ENSMUSG00000024537	ENSMUST00000025418	Psmg2	1059	0.464
ENSMUSG00000024538	ENSMUST00000025419	Ppic	1286	0.469
ENSMUSG00000024539	ENSMUST00000122412	Ptpn2	2667	0.396
ENSMUSG00000024542	ENSMUST00000025425	Cep192	8093	0.444
ENSMUSG00000024544	ENSMUST00000063775	Ldlrad4	2493	0.521
ENSMUSG00000024546	ENSMUST00000025428	4930546C10Rik	363	0.512
ENSMUSG00000024548	ENSMUST00000025430	Setbp1	9953	0.483
ENSMUSG00000024552	ENSMUST00000025434	Slc14a2	2793	0.553
ENSMUSG00000024553	ENSMUST00000065224	Galr1	2871	0.502
ENSMUSG00000024556	ENSMUST00000025439	Me2	2455	0.474
ENSMUSG00000024558	ENSMUST00000162863	Mapk4	4828	0.532
ENSMUSG00000024560	ENSMUST00000025444	Cxxc1	2618	0.584
ENSMUSG00000024561	ENSMUST00000224332	Mbd1	3920	0.502
ENSMUSG00000024563	ENSMUST00000168423	Smad2	2857	0.492
ENSMUSG00000024565	ENSMUST00000057950	Sall3	6886	0.537
ENSMUSG00000024566	ENSMUST00000091790	Atp9b	5357	0.512
ENSMUSG00000024570	ENSMUST00000025462	Rbfa	1377	0.594
ENSMUSG00000024571	ENSMUST00000127234	Gm16286	1755	0.548
ENSMUSG00000024575	ENSMUST00000025468	Pde6a	4421	0.492
ENSMUSG00000024576	ENSMUST00000165123	Csnk1a1	4083	0.433
ENSMUSG00000024578	ENSMUST00000025471	Il17b	692	0.615
ENSMUSG00000024579	ENSMUST00000025472	Pcyox1l	2017	0.563
ENSMUSG00000024580	ENSMUST00000062991	Grpel2	4030	0.46
ENSMUSG00000024581	ENSMUST00000025474	Napg	3562	0.444
ENSMUSG00000024583	ENSMUST00000025476	Txnl1	2558	0.399
ENSMUSG00000024587	ENSMUST00000025483	Nars	2632	0.471
ENSMUSG00000024588	ENSMUST00000025484	Fech	2901	0.47
ENSMUSG00000024589	ENSMUST00000163516	Nedd4l	8163	0.474
ENSMUSG00000024590	ENSMUST00000025486	Lmnb1	2843	0.533
ENSMUSG00000024592	ENSMUST00000025488	C330018D20Rik	2400	0.389
ENSMUSG00000024593	ENSMUST00000075770	Megf10	7514	0.48
ENSMUSG00000024594	ENSMUST00000025490	Prrc1	4801	0.493
ENSMUSG00000024597	ENSMUST00000115366	Slc12a2	6520	0.442
ENSMUSG00000024598	ENSMUST00000025497	Fbn2	10480	0.518
ENSMUSG00000024600	ENSMUST00000025500	Slc27a6	2485	0.479
ENSMUSG00000024601	ENSMUST00000025503	Isoc1	2563	0.461
ENSMUSG00000024603	ENSMUST00000224317	Dctn4	4331	0.411
ENSMUSG00000024604	ENSMUST00000161544	Rbm22	3541	0.468
ENSMUSG00000024608	ENSMUST00000025511	Rps14	683	0.552
ENSMUSG00000024610	ENSMUST00000097563	Cd74	1410	0.566
ENSMUSG00000024613	ENSMUST00000175934	Tcof1	4595	0.582
ENSMUSG00000024614	ENSMUST00000025515	Tmx3	4611	0.352
ENSMUSG00000024617	ENSMUST00000102888	Camk2a	4970	0.533
ENSMUSG00000024619	ENSMUST00000025521	Cdx1	1750	0.621
ENSMUSG00000024620	ENSMUST00000115274	Pdgfrb	5423	0.549
ENSMUSG00000024621	ENSMUST00000115268	Csf1r	4701	0.545
ENSMUSG00000024622	ENSMUST00000091884	Hmgxb3	5101	0.56
ENSMUSG00000024639	ENSMUST00000025541	Gnaq	5644	0.469
ENSMUSG00000024640	ENSMUST00000025542	Psat1	2617	0.484
ENSMUSG00000024642	ENSMUST00000052011	Tle4	4555	0.47
ENSMUSG00000024644	ENSMUST00000168419	Cndp2	2088	0.542
ENSMUSG00000024645	ENSMUST00000025547	Timm21	1315	0.428
ENSMUSG00000024646	ENSMUST00000160180	Cyb5a	1363	0.459
ENSMUSG00000024647	ENSMUST00000122079	Cbln2	2549	0.485
ENSMUSG00000024650	ENSMUST00000010250	Slc22a6	4026	0.508
ENSMUSG00000024653	ENSMUST00000025554	Scgb1a1	476	0.507
ENSMUSG00000024654	ENSMUST00000049948	Asrgl1	4195	0.477
ENSMUSG00000024658	ENSMUST00000142025	Gm9750	2017	0.448
ENSMUSG00000024659	ENSMUST00000025561	Anxa1	1674	0.436
ENSMUSG00000024660	ENSMUST00000025562	Incenp	3217	0.546
ENSMUSG00000024661	ENSMUST00000025563	Fth1	866	0.523
ENSMUSG00000024663	ENSMUST00000121418	Rab3il1	3026	0.556
ENSMUSG00000024664	ENSMUST00000115995	Fads3	3269	0.538
ENSMUSG00000024665	ENSMUST00000025567	Fads2	1508	0.558
ENSMUSG00000024666	ENSMUST00000025568	Tmem138	1590	0.503
ENSMUSG00000024667	ENSMUST00000025569	Tmem216	1101	0.476
ENSMUSG00000024668	ENSMUST00000025570	Sdhaf2	3096	0.467
ENSMUSG00000024669	ENSMUST00000025571	Cd5	2069	0.56
ENSMUSG00000024670	ENSMUST00000080292	Cd6	3032	0.575
ENSMUSG00000024672	ENSMUST00000162785	Ms4a7	3607	0.424
ENSMUSG00000024673	ENSMUST00000169159	Ms4a1	3075	0.405
ENSMUSG00000024675	ENSMUST00000072729	Ms4a4c	1723	0.381
ENSMUSG00000024677	ENSMUST00000161157	Ms4a6b	4286	0.393
ENSMUSG00000024678	ENSMUST00000025581	Ms4a4d	1513	0.427
ENSMUSG00000024679	ENSMUST00000025582	Ms4a6d	1418	0.438
ENSMUSG00000024680	ENSMUST00000186978	Ms4a2	2391	0.376
ENSMUSG00000024681	ENSMUST00000190642	Ms4a3	1503	0.4
ENSMUSG00000024682	ENSMUST00000025585	Gif	1537	0.486
ENSMUSG00000024683	ENSMUST00000167199	Mrpl16	1122	0.491
ENSMUSG00000024687	ENSMUST00000025590	Osbp	4578	0.508
ENSMUSG00000024691	ENSMUST00000144662	Fam111a	3912	0.402
ENSMUSG00000024694	ENSMUST00000123407	Keg1	3041	0.394
ENSMUSG00000024695	ENSMUST00000038627	Zfp91	5531	0.486
ENSMUSG00000024696	ENSMUST00000025601	Lpxn	1675	0.486
ENSMUSG00000024697	ENSMUST00000025602	Gna14	3383	0.49
ENSMUSG00000024712	ENSMUST00000025617	Rfk	2482	0.455
ENSMUSG00000024713	ENSMUST00000025618	Pcsk5	6675	0.538
ENSMUSG00000024725	ENSMUST00000156908	Ostf1	2816	0.485
ENSMUSG00000024726	ENSMUST00000025632	Carnmt1	2090	0.444
ENSMUSG00000024727	ENSMUST00000040489	Trpm6	6508	0.471
ENSMUSG00000024728	ENSMUST00000180678	1700025F22Rik	658	0.4
ENSMUSG00000024729	ENSMUST00000188756	1700017D01Rik	2523	0.4
ENSMUSG00000024730	ENSMUST00000187859	Ms4a8a	1176	0.47
ENSMUSG00000024731	ENSMUST00000072748	Ms4a10	1011	0.538
ENSMUSG00000024732	ENSMUST00000189018	Ccdc86	3745	0.519
ENSMUSG00000024734	ENSMUST00000025641	Zp1	1963	0.551
ENSMUSG00000024735	ENSMUST00000179297	Prpf19	6035	0.505
ENSMUSG00000024736	ENSMUST00000120524	Tmem132a	3895	0.619
ENSMUSG00000024737	ENSMUST00000138263	Slc15a3	4868	0.578
ENSMUSG00000024738	ENSMUST00000025647	Pga5	1417	0.534
ENSMUSG00000024740	ENSMUST00000025649	Ddb1	4155	0.512
ENSMUSG00000024742	ENSMUST00000156291	Fen1	2373	0.538
ENSMUSG00000024743	ENSMUST00000169121	Syt7	6834	0.557
ENSMUSG00000024747	ENSMUST00000025656	Aldh1a7	2066	0.463
ENSMUSG00000024749	ENSMUST00000039500	Tmc1	4073	0.436
ENSMUSG00000024750	ENSMUST00000133175	Zfand5	4260	0.349
ENSMUSG00000024754	ENSMUST00000096194	Tmem2	6667	0.498
ENSMUSG00000024757	ENSMUST00000141771	Slc22a19	3574	0.4
ENSMUSG00000024758	ENSMUST00000065304	Rtn3	5030	0.459
ENSMUSG00000024759	ENSMUST00000170373	Atl3	6474	0.424
ENSMUSG00000024761	ENSMUST00000025669	Gm16437	507	0.584
ENSMUSG00000024764	ENSMUST00000025675	Naa40	3275	0.527
ENSMUSG00000024766	ENSMUST00000112508	Lipo3	2839	0.405
ENSMUSG00000024767	ENSMUST00000123594	Otub1	1728	0.561
ENSMUSG00000024768	ENSMUST00000025680	Lipf	1411	0.421
ENSMUSG00000024769	ENSMUST00000025681	Cdc42bpg	5995	0.603
ENSMUSG00000024770	ENSMUST00000025682	Lipn	1502	0.44
ENSMUSG00000024771	ENSMUST00000054260	Lipk	2125	0.415
ENSMUSG00000024772	ENSMUST00000025684	Ehd1	3353	0.586
ENSMUSG00000024773	ENSMUST00000045351	Atg2a	6371	0.6
ENSMUSG00000024774	ENSMUST00000025686	Ankrd22	1766	0.441
ENSMUSG00000024776	ENSMUST00000125232	Stambpl1	4234	0.427
ENSMUSG00000024777	ENSMUST00000025695	Ppp2r5b	2742	0.589
ENSMUSG00000024778	ENSMUST00000025691	Fas	1486	0.437
ENSMUSG00000024780	ENSMUST00000050148	Cdc37l1	5179	0.415
ENSMUSG00000024781	ENSMUST00000049572	Lipa	2969	0.455
ENSMUSG00000024782	ENSMUST00000025696	Ak3	2809	0.477
ENSMUSG00000024784	ENSMUST00000113526	Gpha2	762	0.572
ENSMUSG00000024785	ENSMUST00000064393	Rcl1	1803	0.533
ENSMUSG00000024786	ENSMUST00000113528	Majin	1562	0.502
ENSMUSG00000024787	ENSMUST00000025702	Snx15	1635	0.57
ENSMUSG00000024789	ENSMUST00000065796	Jak2	5030	0.443
ENSMUSG00000024790	ENSMUST00000113533	Sac3d1	1374	0.638
ENSMUSG00000024791	ENSMUST00000025704	Cdca5	2024	0.515
ENSMUSG00000024792	ENSMUST00000025707	Zfpl1	1287	0.586
ENSMUSG00000024793	ENSMUST00000025706	Tnfrsf25	1661	0.594
ENSMUSG00000024795	ENSMUST00000087341	Kif20b	5564	0.394
ENSMUSG00000024797	ENSMUST00000159832	Vps51	3048	0.592
ENSMUSG00000024798	ENSMUST00000164781	Htr7	3155	0.493
ENSMUSG00000024799	ENSMUST00000025711	Tm7sf2	2489	0.602
ENSMUSG00000024800	ENSMUST00000025714	Rpp30	1155	0.401
ENSMUSG00000024803	ENSMUST00000025718	Ankrd1	1765	0.468
ENSMUSG00000024805	ENSMUST00000225920	Pcgf5	6443	0.404
ENSMUSG00000024806	ENSMUST00000025719	Mlana	623	0.5
ENSMUSG00000024807	ENSMUST00000142101	Syvn1	4080	0.566
ENSMUSG00000024810	ENSMUST00000025724	Il33	2544	0.425
ENSMUSG00000024811	ENSMUST00000025729	Tnks2	6481	0.445
ENSMUSG00000024812	ENSMUST00000233658	Tjp2	4920	0.531
ENSMUSG00000024815	ENSMUST00000025727	Trpd52l3	2231	0.448
ENSMUSG00000024816	ENSMUST00000025728	Frmd8	4504	0.562
ENSMUSG00000024817	ENSMUST00000025739	Uhrf2	3536	0.472
ENSMUSG00000024818	ENSMUST00000125114	Slc25a45	2599	0.541
ENSMUSG00000024824	ENSMUST00000025740	Rad9a	2046	0.546
ENSMUSG00000024826	ENSMUST00000136983	Dpf2	3314	0.511
ENSMUSG00000024827	ENSMUST00000025778	Gldc	3754	0.537
ENSMUSG00000024829	ENSMUST00000025745	Mrpl21	1138	0.533
ENSMUSG00000024830	ENSMUST00000154307	Rps6kb2	2090	0.569
ENSMUSG00000024831	ENSMUST00000025751	Ighmbp2	3720	0.573
ENSMUSG00000024833	ENSMUST00000025752	Pola2	2424	0.548
ENSMUSG00000024835	ENSMUST00000008893	Coro1b	1888	0.569
ENSMUSG00000024837	ENSMUST00000025755	Dmrt1	2340	0.529
ENSMUSG00000024841	ENSMUST00000025759	Eif1ad	2469	0.498
ENSMUSG00000024842	ENSMUST00000025761	Cabp4	1431	0.532
ENSMUSG00000024843	ENSMUST00000125859	Chka	4652	0.499
ENSMUSG00000024844	ENSMUST00000170010	Banf1	742	0.539
ENSMUSG00000024845	ENSMUST00000171743	Tmem134	3701	0.506
ENSMUSG00000024846	ENSMUST00000025764	Cst6	3951	0.519
ENSMUSG00000024847	ENSMUST00000117831	Aip	1378	0.574
ENSMUSG00000024851	ENSMUST00000151957	Pitpnm1	4981	0.585
ENSMUSG00000024853	ENSMUST00000025774	Sf3b2	3231	0.543
ENSMUSG00000024854	ENSMUST00000025773	Pold4	910	0.574
ENSMUSG00000024855	ENSMUST00000025786	Pacs1	4339	0.563
ENSMUSG00000024856	ENSMUST00000172914	Cdk2ap2	1089	0.586
ENSMUSG00000024857	ENSMUST00000159148	Cabp2	1030	0.56
ENSMUSG00000024858	ENSMUST00000113837	Grk2	3476	0.566
ENSMUSG00000024862	ENSMUST00000116563	Klc2	3169	0.604
ENSMUSG00000024863	ENSMUST00000025797	Mbl2	1101	0.491
ENSMUSG00000024866	ENSMUST00000054030	Acy3	1505	0.55
ENSMUSG00000024867	ENSMUST00000025800	Pip5k1b	2573	0.471
ENSMUSG00000024868	ENSMUST00000025803	Dkk1	2427	0.458
