id	sym	matr3_yfp_1	matr3_yfp_2	matr3_yfp_3	matr3_f115c_1	matr3_f115c_2	matr3_f115c_3
ENSG00000146733	PSPH	1758	1381	1394	1523	1562	1476
ENSG00000146757	ZNF92	252	316	337	316	298	263
ENSG00000146776	ATXN7L1	238	224	194	223	286	218
ENSG00000146802	TMEM168	449	610	543	526	588	671
ENSG00000146809	ASB15	0	0	0	1	0	0
ENSG00000146826	C7orf43	599	751	696	707	735	689
ENSG00000146828	SLC12A9	516	618	523	606	611	517
ENSG00000146830	GIGYF1	1446	2609	2217	1977	2505	2161
ENSG00000146833	TRIM4	800	789	699	813	866	827
ENSG00000146834	MEPCE	1162	1132	1277	1195	1264	1071
ENSG00000146839	ZAN	0	0	0	0	1	1
ENSG00000146842	TMEM209	765	777	728	770	757	757
ENSG00000146856	AGBL3	67	64	72	68	62	87
ENSG00000146858	ZC3HAV1L	56	69	75	66	77	57
ENSG00000146859	TMEM140	2034	1760	1467	1920	2068	1915
ENSG00000146872	TLK2	1897	1735	1572	1834	1954	1855
ENSG00000146904	EPHA1	15	15	20	20	28	16
ENSG00000146909	NOM1	858	1033	1093	973	971	1076
ENSG00000146918	NCAPG2	1873	1870	1490	2170	2025	1726
ENSG00000146938	NLGN4X	478	448	299	563	586	479
ENSG00000146950	SHROOM2	206	155	188	222	229	186
ENSG00000146963	C7orf55-LUC7L2	631	747	660	743	739	747
ENSG00000146966	DENND2A	11	19	5	6	22	17
ENSG00000147003	TMEM27	1	1	0	2	1	3
ENSG00000147010	SH3KBP1	2630	2216	2034	2250	2425	2077
ENSG00000147027	TMEM47	1295	1099	981	1416	1273	1331
ENSG00000147036	LANCL3	35	41	30	40	36	35
ENSG00000147041	SYTL5	10	14	17	11	8	20
ENSG00000147044	CASK	1992	1801	1196	1989	2343	1916
ENSG00000147050	KDM6A	691	737	596	646	783	709
ENSG00000147059	SPIN2A	4	22	14	10	15	10
ENSG00000147065	MSN	12206	11636	10377	11760	12692	10612
ENSG00000147082	CCNB3	17	23	17	36	27	23
ENSG00000147099	HDAC8	451	398	422	465	433	438
ENSG00000147100	SLC16A2	178	190	153	165	219	197
ENSG00000147113	CXorf36	0	0	9	0	2	1
ENSG00000147117	ZNF157	0	0	0	0	1	0
ENSG00000147118	ZNF182	286	248	186	251	278	261
ENSG00000147119	CHST7	93	74	60	94	100	83
ENSG00000147121	KRBOX4	223	244	195	203	231	206
ENSG00000147123	NDUFB11	1989	1700	1644	1949	1825	1674
ENSG00000147124	ZNF41	268	271	214	260	255	277
ENSG00000147127	RAB41	6	5	9	3	4	5
ENSG00000147130	ZMYM3	850	934	755	1006	1213	994
ENSG00000147133	TAF1	1167	1503	1408	1521	1313	1489
ENSG00000147138	GPR174	6	2	2	5	4	3
ENSG00000147140	NONO	7990	8233	7546	8184	8385	7488
ENSG00000147144	CCDC120	54	69	54	80	83	66
ENSG00000147145	LPAR4	12	9	5	7	1	6
ENSG00000147155	EBP	1034	998	944	1041	945	857
ENSG00000147162	OGT	4124	9689	8305	6440	8066	9487
ENSG00000147164	SNX12	973	912	876	991	1005	898
ENSG00000147166	ITGB1BP2	20	21	19	21	19	19
ENSG00000147168	IL2RG	10	6	7	8	5	3
ENSG00000147174	ACRC	21	53	55	47	58	54
ENSG00000147180	ZNF711	613	720	575	710	697	786
ENSG00000147183	CPXCR1	8	10	5	9	12	14
ENSG00000147202	DIAPH2	790	646	459	670	790	686
ENSG00000147206	NXF3	1	0	5	1	2	2
ENSG00000147224	PRPS1	1667	1488	1540	1682	1507	1472
ENSG00000147231	CXorf57	273	336	272	337	320	317
ENSG00000147234	FRMPD3	15	17	9	14	16	11
ENSG00000147246	HTR2C	1	0	0	0	0	0
ENSG00000147251	DOCK11	243	240	245	224	255	259
ENSG00000147255	IGSF1	52	33	21	46	60	38
ENSG00000147256	ARHGAP36	1	0	2	0	2	0
ENSG00000147257	GPC3	19	14	9	8	7	10
ENSG00000147274	RBMX	6739	6532	7584	7086	6452	6322
ENSG00000147316	MCPH1	609	561	635	645	627	659
ENSG00000147324	MFHAS1	787	735	726	747	843	721
ENSG00000147364	FBXO25	397	394	358	363	354	394
ENSG00000147378	FATE1	1	1	2	2	1	0
ENSG00000147381	MAGEA4	0	0	0	1	1	1
ENSG00000147383	NSDHL	587	571	620	564	566	434
ENSG00000147394	ZNF185	9	12	5	9	9	17
ENSG00000147400	CETN2	621	531	579	583	553	483
ENSG00000147403	RPL10	20964	17574	19546	20110	18893	17676
ENSG00000147408	CSGALNACT1	1654	1348	814	1114	1553	1277
ENSG00000147416	ATP6V1B2	1703	1647	1309	1415	1749	1511
ENSG00000147419	CCDC25	947	723	612	861	776	844
ENSG00000147421	HMBOX1	335	464	350	320	381	457
ENSG00000147432	CHRNB3	1	0	2	0	1	1
ENSG00000147434	CHRNA6	0	0	2	0	0	0
ENSG00000147437	GNRH1	21	29	26	14	17	27
ENSG00000147439	BIN3	392	425	388	429	437	385
ENSG00000147443	DOK2	3	4	4	7	8	4
ENSG00000147454	SLC25A37	3858	4733	2917	2502	4835	3550
ENSG00000147457	CHMP7	1351	1145	957	1287	1362	1099
ENSG00000147459	DOCK5	906	1125	1260	904	885	1002
ENSG00000147465	STAR	0	0	0	0	3	3
ENSG00000147471	PROSC	682	643	667	743	653	636
ENSG00000147475	ERLIN2	755	776	622	860	807	817
ENSG00000147481	SNTG1	4	1	0	1	0	0
ENSG00000147485	PXDNL	3	6	2	3	4	1
ENSG00000147488	ST18	8	14	10	10	12	11
ENSG00000147509	RGS20	45	29	40	41	32	47
ENSG00000147526	TACC1	2251	2552	2350	2564	2493	2586
ENSG00000147533	GOLGA7	1150	910	887	1017	1016	973
ENSG00000147535	PPAPDC1B	597	697	571	549	614	559
ENSG00000147536	GINS4	472	542	500	528	532	474
ENSG00000147548	WHSC1L1	2141	2138	2022	2182	2248	2381
ENSG00000147570	DNAJC5B	0	0	0	0	3	0
ENSG00000147573	TRIM55	3	5	8	1	4	2
ENSG00000147576	ADHFE1	20	28	38	23	43	41
ENSG00000147586	MRPS28	233	200	206	232	207	167
ENSG00000147592	LACTB2	294	242	227	262	301	257
ENSG00000147601	TERF1	1332	1200	999	1501	1425	1384
ENSG00000147604	RPL7	12097	10041	11297	11578	10054	10527
ENSG00000147606	SLC26A7	3	4	16	1	6	8
ENSG00000147614	ATP6V0D2	118	129	181	139	102	159
ENSG00000147642	SYBU	19	12	26	20	18	22
ENSG00000147647	DPYS	2	6	14	2	4	8
ENSG00000147649	MTDH	3859	3926	3780	4277	3835	3925
ENSG00000147650	LRP12	1472	1359	1060	1360	1483	1512
ENSG00000147654	EBAG9	277	218	248	281	259	245
ENSG00000147655	RSPO2	0	0	2	1	1	2
ENSG00000147669	POLR2K	911	679	633	800	798	687
ENSG00000147676	MAL2	0	0	0	0	0	2
ENSG00000147677	EIF3H	4224	3475	3684	4052	3643	3546
ENSG00000147679	UTP23	719	706	817	806	632	707
ENSG00000147684	NDUFB9	1722	1387	1470	1485	1365	1275
ENSG00000147687	TATDN1	454	431	452	500	419	454
ENSG00000147689	FAM83A	0	1	4	1	0	1
ENSG00000147697	GSDMC	2	0	0	4	3	0
ENSG00000147724	FAM135B	0	0	0	3	0	0
ENSG00000147789	ZNF7	419	508	440	462	450	434
ENSG00000147799	ARHGAP39	111	148	146	160	175	138
ENSG00000147804	SLC39A4	7	5	6	6	11	5
ENSG00000147813	NAPRT	128	233	315	188	162	217
ENSG00000147852	VLDLR	534	544	415	520	605	498
ENSG00000147853	AK3	1409	1187	1078	1004	1432	1316
ENSG00000147854	UHRF2	608	693	574	563	682	691
ENSG00000147862	NFIB	526	492	403	531	582	665
ENSG00000147872	PLIN2	1144	949	986	1041	1182	903
ENSG00000147874	HAUS6	1254	1163	1088	1297	1281	1128
ENSG00000147885	IFNA16	0	0	0	0	2	0
ENSG00000147894	C9orf72	295	286	258	231	341	306
ENSG00000147896	IFNK	0	1	2	0	0	0
ENSG00000147905	ZCCHC7	796	680	631	625	702	701
ENSG00000147912	FBXO10	110	129	112	127	125	131
ENSG00000147955	SIGMAR1	2235	2290	2364	2615	2225	2105
ENSG00000147996	CBWD5	307	293	313	292	340	303
ENSG00000148019	CEP78	552	693	578	607	615	586
ENSG00000148053	NTRK2	25	25	11	14	31	13
ENSG00000148057	IDNK	33	37	36	42	36	35
ENSG00000148082	SHC3	21	28	11	31	29	15
ENSG00000148090	AUH	241	242	182	232	226	256
ENSG00000148110	HIATL1	1653	1650	1368	1653	1813	1558
ENSG00000148120	C9orf3	1485	1457	1174	1497	1660	1281
ENSG00000148123	na	2	1	0	0	0	2
ENSG00000148143	ZNF462	711	845	892	699	843	788
ENSG00000148153	INIP	451	428	415	430	466	392
ENSG00000148154	UGCG	1494	1682	1766	1780	1653	1892
ENSG00000148156	ACTL7B	0	2	8	1	2	3
ENSG00000148158	SNX30	497	595	479	557	603	573
ENSG00000148175	STOM	1589	1393	1228	1560	1557	1611
ENSG00000148180	GSN	4601	3622	2896	3950	4915	3432
ENSG00000148187	MRRF	628	807	762	690	778	765
ENSG00000148200	NR6A1	118	160	115	101	127	113
ENSG00000148204	CRB2	1	4	4	4	4	2
ENSG00000148218	ALAD	420	402	377	414	448	381
ENSG00000148219	ASTN2	99	72	72	66	69	74
ENSG00000148225	WDR31	25	18	18	17	36	11
ENSG00000148229	POLE3	1697	1522	1668	1822	1616	1533
ENSG00000148248	SURF4	9269	8611	7781	9340	9505	8068
ENSG00000148288	GBGT1	0	0	2	0	0	0
ENSG00000148290	SURF1	974	818	695	859	892	831
ENSG00000148291	SURF2	396	376	422	423	397	348
ENSG00000148296	SURF6	1534	1537	1885	1824	1539	1524
ENSG00000148297	MED22	1208	1264	1332	1405	1373	1343
ENSG00000148300	REXO4	936	987	1110	1005	967	861
ENSG00000148303	RPL7A	16246	13230	14416	14801	14239	12806
ENSG00000148308	GTF3C5	1203	1168	1097	1235	1330	937
ENSG00000148331	ASB6	954	1043	1088	1047	1022	917
ENSG00000148334	PTGES2	1394	1363	1310	1370	1393	1203
ENSG00000148335	NTMT1	732	669	726	696	641	621
ENSG00000148337	CIZ1	1858	1977	2155	2092	2086	1957
ENSG00000148339	SLC25A25	479	521	502	555	550	456
ENSG00000148341	SH3GLB2	925	951	900	916	995	853
ENSG00000148343	FAM73B	404	634	620	536	631	489
ENSG00000148344	PTGES	2586	1934	1117	1399	2319	1671
ENSG00000148346	LCN2	281	193	141	83	254	129
ENSG00000148356	LRSAM1	560	631	579	573	745	620
ENSG00000148357	HMCN2	5	2	8	6	3	1
ENSG00000148358	GPR107	2628	2731	2317	2705	2860	2743
ENSG00000148362	C9orf142	673	694	680	703	742	708
ENSG00000148377	IDI2	0	1	3	2	0	3
ENSG00000148384	INPP5E	570	795	754	713	809	697
ENSG00000148396	SEC16A	2526	3221	2846	3046	3216	2942
ENSG00000148399	DPH7	494	706	616	531	669	552
ENSG00000148400	NOTCH1	969	1113	1169	1218	1164	1176
ENSG00000148408	CACNA1B	20	23	8	27	19	23
ENSG00000148411	NACC2	517	526	510	557	659	582
ENSG00000148426	PROSER2	237	244	319	220	219	205
ENSG00000148429	USP6NL	756	766	734	793	925	843
ENSG00000148444	COMMD3	164	143	118	143	125	135
ENSG00000148450	MSRB2	188	139	115	140	133	171
ENSG00000148459	PDSS1	153	174	174	187	126	132
ENSG00000148468	FAM171A1	523	591	652	638	598	590
ENSG00000148481	FAM188A	503	499	421	484	507	505
ENSG00000148482	SLC39A12	0	0	0	0	0	1
ENSG00000148483	TMEM236	2	0	0	0	0	1
ENSG00000148484	RSU1	770	650	604	667	692	558
ENSG00000148488	ST8SIA6	8	4	6	6	3	3
ENSG00000148498	PARD3	1026	942	870	934	1002	914
ENSG00000148513	ANKRD30A	43	68	28	77	72	71
ENSG00000148516	ZEB1	680	647	573	591	681	620
ENSG00000148541	FAM13C	67	70	49	62	103	91
ENSG00000148572	NRBF2	862	734	686	734	829	647
ENSG00000148584	A1CF	5	16	6	10	10	10
ENSG00000148600	CDHR1	19	22	25	39	32	21
ENSG00000148606	POLR3A	995	1058	1178	1072	1101	1025
ENSG00000148634	HERC4	2196	2700	2506	2517	2598	2548
ENSG00000148655	C10orf11	1	2	6	7	6	0
ENSG00000148660	CAMK2G	931	1234	978	1073	1226	994
ENSG00000148672	GLUD1	2833	2529	2823	2933	2606	2874
ENSG00000148677	ANKRD1	656	658	887	576	535	562
ENSG00000148680	HTR7	1010	1044	954	1268	1186	1076
ENSG00000148688	RPP30	822	753	701	755	769	669
ENSG00000148690	FRA10AC1	258	260	236	230	269	295
ENSG00000148700	ADD3	1778	1591	1012	1398	1945	1577
ENSG00000148702	HABP2	1	0	1	0	0	0
ENSG00000148719	DNAJB12	949	981	914	1066	1039	928
ENSG00000148730	EIF4EBP2	1138	1297	1143	1258	1334	1188
ENSG00000148734	NPFFR1	0	3	1	0	0	1
ENSG00000148735	PLEKHS1	209	242	128	189	385	201
ENSG00000148737	TCF7L2	340	377	325	393	418	344
ENSG00000148773	MKI67	4330	4568	3901	5813	4757	4550
ENSG00000148795	CYP17A1	0	1	0	0	0	4
ENSG00000148803	FUOM	68	62	69	61	58	53
ENSG00000148814	LRRC27	96	102	106	122	116	110
ENSG00000148824	MTG1	212	416	319	252	380	289
ENSG00000148832	PAOX	1	1	0	0	1	3
ENSG00000148834	GSTO1	3168	2198	1937	2417	2711	2005
ENSG00000148835	TAF5	141	153	127	182	154	139
ENSG00000148840	PPRC1	1404	1818	2085	1721	1643	1713
ENSG00000148841	ITPRIP	3057	2790	2261	2685	3593	2985
ENSG00000148842	CNNM2	349	365	347	366	434	410
ENSG00000148843	PDCD11	2251	2613	3034	2449	2365	2476
ENSG00000148848	ADAM12	316	344	217	268	303	278
ENSG00000148908	RGS10	275	245	266	251	242	254
ENSG00000148925	BTBD10	1137	1027	1060	1093	1062	1041
ENSG00000148926	ADM	8622	7217	7728	9499	10347	7779
ENSG00000148935	GAS2	43	26	16	41	29	23
ENSG00000148942	SLC5A12	12	1	0	3	6	6
ENSG00000148943	LIN7C	1671	1496	1443	1531	1530	1609
ENSG00000148948	LRRC4C	327	274	150	219	324	235
ENSG00000148950	IMMP1L	231	223	212	254	241	232
ENSG00000148965	SAA4	13	12	5	2	16	8
ENSG00000148985	PGAP2	199	199	189	240	217	209
ENSG00000149016	TUT1	308	283	304	312	368	265
ENSG00000149021	SCGB1A1	0	2	1	1	0	0
ENSG00000149043	SYT8	2	4	0	0	2	0
ENSG00000149050	ZNF214	44	40	33	30	36	24
ENSG00000149054	ZNF215	216	347	318	294	278	281
ENSG00000149084	HSD17B12	1119	1057	884	1081	1025	1075
ENSG00000149089	APIP	1100	918	759	1015	1013	912
ENSG00000149090	PAMR1	10	6	4	7	7	3
ENSG00000149091	DGKZ	1843	2038	2282	2207	2018	1930
ENSG00000149100	EIF3M	5565	4953	4860	4961	4901	4537
ENSG00000149115	TNKS1BP1	4800	4689	3939	4207	5368	4095
ENSG00000149124	GLYAT	2	2	0	3	2	2
ENSG00000149131	SERPING1	126	98	57	124	132	77
ENSG00000149136	SSRP1	5360	5235	5201	5571	5155	4883
ENSG00000149150	SLC43A1	128	135	84	108	142	112
ENSG00000149177	PTPRJ	2560	2724	2239	3104	3010	3303
ENSG00000149179	C11orf49	332	313	272	252	342	276
ENSG00000149182	ARFGAP2	646	641	558	645	687	666
ENSG00000149187	CELF1	2720	3227	2839	2626	3115	2973
ENSG00000149196	C11orf73	610	500	461	577	538	482
ENSG00000149201	CCDC81	6	7	3	4	4	2
ENSG00000149212	SESN3	151	128	87	162	182	172
ENSG00000149218	ENDOD1	319	265	261	336	303	298
ENSG00000149231	CCDC82	717	761	578	703	799	714
ENSG00000149243	KLHL35	1	5	10	4	7	4
ENSG00000149256	TENM4	49	44	31	33	51	55
ENSG00000149257	SERPINH1	26301	22561	17130	26014	27272	23505
ENSG00000149260	CAPN5	448	476	365	431	554	418
ENSG00000149262	INTS4	470	568	495	529	541	498
ENSG00000149269	PAK1	792	655	590	766	818	658
ENSG00000149273	RPS3	19013	14918	16913	16295	15502	15267
ENSG00000149289	ZC3H12C	1381	1482	1394	1316	1455	1626
ENSG00000149292	TTC12	136	137	120	145	133	136
ENSG00000149294	NCAM1	296	381	301	359	322	355
ENSG00000149295	DRD2	64	53	38	99	78	84
ENSG00000149308	NPAT	512	558	513	551	566	539
ENSG00000149311	ATM	1049	1685	1253	1336	1508	1639
ENSG00000149313	AASDHPPT	1088	973	926	1046	975	1025
ENSG00000149328	GLB1L2	414	404	384	507	504	509
ENSG00000149346	SLX4IP	149	184	171	158	173	173
ENSG00000149357	LAMTOR1	1574	1301	1243	1447	1424	1214
ENSG00000149380	P4HA3	14	18	22	7	11	10
ENSG00000149403	GRIK4	12	16	12	16	9	17
ENSG00000149418	ST14	4	8	9	4	5	8
ENSG00000149428	HYOU1	11240	11482	10065	12497	12894	12011
ENSG00000149435	GGTLC1	1	0	1	0	0	0
ENSG00000149443	C20orf78	3	1	2	1	0	0
ENSG00000149452	SLC22A8	0	0	0	0	0	1
ENSG00000149474	CSRP2BP	190	157	178	210	247	168
ENSG00000149476	TKFC	670	646	542	638	783	708
ENSG00000149480	MTA2	3085	3142	3282	3446	3370	2963
ENSG00000149483	TMEM138	619	705	687	669	663	643
ENSG00000149485	FADS1	3700	3382	2692	3844	4062	3676
ENSG00000149488	TMC2	0	1	0	1	0	0
ENSG00000149489	ROM1	65	73	45	60	48	70
ENSG00000149499	EML3	1071	1228	1049	1163	1394	1219
ENSG00000149503	INCENP	822	840	734	934	892	750
ENSG00000149506	ZP1	35	52	24	45	55	25
ENSG00000149516	MS4A3	0	0	0	0	2	0
ENSG00000149527	PLCH2	4	9	8	1	7	6
ENSG00000149531	FRG1B	249	348	296	334	342	310
ENSG00000149532	CPSF7	1679	1903	1723	1861	1939	1763
ENSG00000149541	B3GAT3	1178	1142	1061	1298	1240	1103
ENSG00000149547	EI24	2512	2497	2393	2888	2515	2370
ENSG00000149548	CCDC15	88	109	53	88	89	89
ENSG00000149554	CHEK1	893	819	657	907	915	823
ENSG00000149557	FEZ1	58	36	48	40	60	38
ENSG00000149564	ESAM	102	172	199	120	149	137
ENSG00000149571	KIRREL3	17	30	25	17	30	17
ENSG00000149573	MPZL2	26	26	16	15	27	24
ENSG00000149577	SIDT2	607	724	548	802	788	799
ENSG00000149582	TMEM25	101	108	73	120	118	116
ENSG00000149591	TAGLN	141	138	203	136	163	137
ENSG00000149596	JPH2	13	20	22	14	17	16
ENSG00000149599	DUSP15	121	84	63	91	103	106
ENSG00000149600	COMMD7	741	658	740	680	745	593
ENSG00000149609	C20orf144	9	11	10	5	20	22
ENSG00000149633	KIAA1755	0	6	5	3	10	7
ENSG00000149634	SPATA25	4	11	4	5	5	12
ENSG00000149636	DSN1	624	588	484	597	644	568
ENSG00000149639	SOGA1	689	874	816	1106	988	864
ENSG00000149646	CNBD2	4	2	4	2	3	2
ENSG00000149651	SPINT4	1	0	0	0	0	1
ENSG00000149654	CDH22	27	38	21	38	53	25
ENSG00000149656	LINC00266-1	0	0	1	0	0	0
ENSG00000149657	LSM14B	1218	1215	1104	1281	1358	1129
ENSG00000149658	YTHDF1	1331	1455	1371	1413	1484	1291
ENSG00000149679	CABLES2	324	335	274	348	412	323
ENSG00000149716	ORAOV1	425	620	647	529	538	579
ENSG00000149735	GPHA2	0	2	3	0	2	3
ENSG00000149742	SLC22A9	1	0	0	0	0	0
ENSG00000149743	TRPT1	594	558	436	573	588	546
ENSG00000149761	NUDT22	532	501	393	527	638	450
ENSG00000149781	FERMT3	12	20	37	19	22	21
ENSG00000149782	PLCB3	983	1119	1136	1119	1267	1061
ENSG00000149792	MRPL49	1451	1287	1200	1400	1311	1213
ENSG00000149798	CDC42EP2	329	267	346	255	336	233
ENSG00000149806	FAU	6048	4912	5432	5621	5165	4502
ENSG00000149809	TM7SF2	90	218	116	113	148	122
ENSG00000149823	VPS51	947	985	931	1075	1132	955
ENSG00000149922	TBX6	8	8	16	2	6	9
ENSG00000149923	PPP4C	2487	2311	2085	2479	2555	2058
ENSG00000149925	ALDOA	40283	34426	32074	38575	40410	30685
ENSG00000149926	FAM57B	3	6	6	3	4	4
ENSG00000149927	DOC2A	13	12	3	7	21	16
ENSG00000149929	HIRIP3	465	405	331	394	446	346
ENSG00000149930	TAOK2	1408	1789	1664	1793	1960	1640
ENSG00000149932	TMEM219	1301	1012	874	1121	1350	997
ENSG00000149948	HMGA2	502	603	455	365	628	351
ENSG00000149968	MMP3	2384	2847	3683	2232	1667	1946
ENSG00000149970	CNKSR2	163	164	161	208	183	193
ENSG00000149972	CNTN5	12	10	8	6	20	14
ENSG00000150045	KLRF1	9	15	19	30	7	17
ENSG00000150048	CLEC1A	36	25	7	26	35	14
ENSG00000150051	MKX	0	1	0	0	0	2
ENSG00000150054	MPP7	101	90	76	100	110	144
ENSG00000150093	ITGB1	15055	13893	11409	14759	15244	14528
ENSG00000150201	FXYD4	0	0	0	0	0	1
ENSG00000150244	TRIM48	0	0	0	0	1	0
ENSG00000150275	PCDH15	4	2	0	2	4	5
ENSG00000150281	CTF1	1	1	0	2	2	0
ENSG00000150316	CWC15	753	623	626	680	617	611
ENSG00000150337	FCGR1A	0	0	4	2	0	0
ENSG00000150347	ARID5B	1167	1134	969	1201	1413	1139
ENSG00000150394	CDH8	71	72	65	71	69	76
ENSG00000150401	DCUN1D2	203	307	345	250	254	222
ENSG00000150403	TMCO3	836	789	853	944	866	938
ENSG00000150433	TMEM218	216	236	142	230	281	203
ENSG00000150455	TIRAP	88	87	89	100	96	73
ENSG00000150456	N6AMT2	41	32	55	41	44	19
ENSG00000150457	LATS2	616	554	520	675	732	641
ENSG00000150459	SAP18	1269	963	1080	1085	1078	958
ENSG00000150471	ADGRL3	1	0	0	0	1	0
ENSG00000150477	KIAA1328	132	132	131	126	128	129
ENSG00000150510	FAM124A	58	40	29	49	49	45
ENSG00000150526	MIA2	0	0	0	0	0	1
ENSG00000150527	CTAGE5	96	88	75	71	80	96
ENSG00000150540	HNMT	725	574	436	582	734	619
ENSG00000150551	LYPD1	58	76	73	76	58	42
ENSG00000150556	LYPD6B	2049	1679	1133	1523	1889	1582
ENSG00000150593	PDCD4	940	758	720	819	872	983
ENSG00000150594	ADRA2A	2	1	0	0	1	3
ENSG00000150625	GPM6A	62	38	31	59	53	61
ENSG00000150627	WDR17	99	169	162	139	135	187
ENSG00000150628	SPATA4	2	0	3	4	7	4
ENSG00000150630	VEGFC	1259	1319	1268	1213	1169	1046
ENSG00000150636	CCDC102B	155	121	64	167	174	138
ENSG00000150637	CD226	0	7	8	4	4	4
ENSG00000150656	CNDP1	2	3	4	6	5	4
ENSG00000150667	FSIP1	47	28	33	45	29	33
ENSG00000150672	DLG2	22	26	19	24	18	21
ENSG00000150676	CCDC83	0	0	1	0	0	0
ENSG00000150681	RGS18	2131	1535	937	2010	2182	2499
ENSG00000150687	PRSS23	6081	5469	4727	5959	5524	4927
ENSG00000150712	MTMR12	504	515	477	562	629	492
ENSG00000150722	PPP1R1C	45	43	41	50	41	42
ENSG00000150753	CCT5	10169	9172	9846	10081	9129	8754
ENSG00000150756	FAM173B	119	134	95	128	149	123
ENSG00000150760	DOCK1	1655	1604	1127	1436	1773	1576
ENSG00000150764	DIXDC1	91	82	79	111	106	103
ENSG00000150768	DLAT	1194	997	1011	1141	1070	951
ENSG00000150773	PIH1D2	22	19	22	33	13	27
ENSG00000150776	C11orf57	891	984	1027	1047	922	1014
ENSG00000150779	TIMM8B	775	649	676	709	608	601
ENSG00000150782	IL18	252	269	258	295	217	253
ENSG00000150783	TEX12	1	3	1	2	1	1
ENSG00000150787	PTS	562	523	545	539	534	528
ENSG00000150867	PIP4K2A	566	499	474	502	533	515
ENSG00000150873	C2orf50	0	0	3	2	1	0
ENSG00000150893	FREM2	45	33	26	58	49	79
ENSG00000150907	FOXO1	224	229	98	142	246	213
ENSG00000150938	CRIM1	1043	1196	1213	1181	1049	1161
ENSG00000150961	SEC24D	2340	2188	1814	2238	2406	2028
ENSG00000150967	ABCB9	214	261	234	260	290	224
ENSG00000150977	RILPL2	392	359	297	338	386	314
ENSG00000150990	DHX37	1439	1673	2009	1876	1530	1504
ENSG00000150991	UBC	36792	32284	32241	40204	37971	33002
ENSG00000150995	ITPR1	536	522	364	470	593	708
ENSG00000151005	TKTL2	0	0	1	0	0	1
ENSG00000151006	PRSS53	24	66	45	47	42	41
ENSG00000151012	SLC7A11	8084	9274	8420	9731	8749	11365
ENSG00000151014	CCRN4L	217	210	259	254	262	254
ENSG00000151023	ENKUR	9	7	18	3	7	14
ENSG00000151025	GPR158	257	213	199	220	240	273
ENSG00000151033	LYZL2	0	0	0	0	2	0
ENSG00000151062	CACNA2D4	32	49	70	42	44	50
ENSG00000151065	DCP1B	533	454	356	595	571	507
ENSG00000151067	CACNA1C	384	524	303	411	538	469
ENSG00000151090	THRB	62	59	58	91	85	80
ENSG00000151092	NGLY1	433	450	395	417	404	390
ENSG00000151093	OXSM	171	164	148	162	190	136
ENSG00000151116	UEVLD	946	870	759	918	1003	816
ENSG00000151117	TMEM86A	47	69	37	55	81	77
ENSG00000151131	C12orf45	345	313	411	326	358	321
ENSG00000151135	TMEM263	1793	1503	1343	1654	1612	1529
ENSG00000151136	BTBD11	11	6	6	7	19	4
ENSG00000151148	UBE3B	648	626	494	619	687	641
ENSG00000151150	ANK3	109	85	104	108	133	106
ENSG00000151151	IPMK	617	610	544	683	691	749
ENSG00000151164	RAD9B	3	2	1	0	7	0
ENSG00000151176	PLBD2	2123	2345	1988	2494	2696	2444
ENSG00000151208	DLG5	1050	1211	1002	1334	1432	1274
ENSG00000151224	MAT1A	32	22	26	25	31	37
ENSG00000151229	SLC2A13	263	284	199	246	285	249
ENSG00000151233	GXYLT1	717	763	619	757	761	810
ENSG00000151239	TWF1	3760	3279	3069	3657	3505	3234
ENSG00000151240	DIP2C	474	497	454	538	549	467
ENSG00000151247	EIF4E	1485	1293	1166	1411	1369	1285
ENSG00000151276	MAGI1	68	67	63	81	81	80
ENSG00000151287	TEX30	218	146	144	211	161	151
ENSG00000151292	CSNK1G3	1290	1120	977	1132	1228	1287
ENSG00000151303	na	1	2	3	1	2	1
ENSG00000151304	SRFBP1	1126	1080	1037	1081	1112	1054
ENSG00000151320	AKAP6	346	315	207	536	381	509
ENSG00000151322	NPAS3	95	74	82	89	118	89
ENSG00000151327	FAM177A1	995	808	793	912	856	904
ENSG00000151332	MBIP	513	534	532	578	583	589
ENSG00000151338	MIPOL1	4	7	7	13	7	8
ENSG00000151348	EXT2	4861	4254	3215	4658	5040	4555
ENSG00000151353	TMEM18	331	302	309	317	295	311
ENSG00000151360	ALLC	0	0	0	0	0	2
ENSG00000151364	KCTD14	5	3	3	4	4	1
ENSG00000151365	THRSP	1	0	1	0	0	1
ENSG00000151366	NDUFC2	344	282	254	351	329	314
ENSG00000151376	ME3	2	2	0	0	1	3
ENSG00000151379	MSGN1	1	1	1	0	0	0
ENSG00000151388	ADAMTS12	423	524	359	469	556	484
ENSG00000151413	NUBPL	248	235	255	242	209	237
ENSG00000151414	NEK7	1191	1090	921	1061	1189	1155
ENSG00000151422	FER	1010	1070	943	1041	995	1026
ENSG00000151445	VIPAS39	373	441	304	401	425	369
ENSG00000151458	ANKRD50	546	681	641	724	632	701
ENSG00000151461	UPF2	853	880	861	1018	925	889
ENSG00000151465	CDC123	2077	1752	1843	2043	1712	1770
ENSG00000151466	SCLT1	345	339	234	328	402	344
ENSG00000151468	CCDC3	66	77	68	103	77	69
ENSG00000151470	C4orf33	172	140	141	183	177	181
ENSG00000151474	FRMD4A	337	292	209	209	352	226
ENSG00000151490	PTPRO	92	78	28	82	148	55
