id	sym	WT_1	WT_2	WT_3	Cbfb_MYH11_1	Cbfb_MYH11_2	Cbfb_MYH11_3
ENSMUSG00000013091	Tmem190	0	0	0	1	0	0
ENSMUSG00000013150	Gfod2	176	188	132	102	102	99
ENSMUSG00000013155	Enkd1	450	510	374	253	377	310
ENSMUSG00000013158	4933405L10Rik	0	0	0	1	0	0
ENSMUSG00000013160	Atp6v0d1	5461	6342	5105	5568	5759	5501
ENSMUSG00000013236	Ptprs	716	621	570	1399	1631	1587
ENSMUSG00000013275	Slc41a1	233	236	224	511	503	488
ENSMUSG00000013338	Fer1l4	1	3	0	0	0	0
ENSMUSG00000013367	Iglon5	0	0	1	1	1	0
ENSMUSG00000013418	B4galnt2	1	3	1	2	2	5
ENSMUSG00000013419	Zfp651	10	5	4	14	6	12
ENSMUSG00000013465	Nelfb	3397	3720	2901	3529	3704	3658
ENSMUSG00000013483	Card14	0	0	2	0	0	0
ENSMUSG00000013495	Tmem175	763	712	570	928	818	906
ENSMUSG00000013523	Bcas1	105	89	116	40	38	36
ENSMUSG00000013539	Tango2	1018	1085	851	2616	2410	2712
ENSMUSG00000013562	4833413E03Rik	3	6	3	0	0	0
ENSMUSG00000013584	Aldh1a2	14	10	11	39	41	52
ENSMUSG00000013593	Ndufs2	5227	5191	4133	5940	5982	6038
ENSMUSG00000013611	Snx31	82	42	53	8	10	11
ENSMUSG00000013622	Atraid	780	771	611	1010	1028	1036
ENSMUSG00000013629	Cad	4523	4767	4047	5093	5749	5524
ENSMUSG00000013643	Lypd8	0	0	1	0	0	0
ENSMUSG00000013646	Sh3bp5l	1419	1397	1140	1194	1272	1136
ENSMUSG00000013662	Atad1	3628	3701	3098	4168	4323	4261
ENSMUSG00000013663	Pten	8043	9135	7763	6155	7544	6198
ENSMUSG00000013698	Pea15a	385	407	309	1307	1123	1319
ENSMUSG00000013701	Timm23	2417	2442	1976	2451	2400	2438
ENSMUSG00000013707	Tnfaip8l2	1272	1396	1200	2715	2583	2928
ENSMUSG00000013736	Trnt1	1793	1737	1574	1768	1969	1780
ENSMUSG00000013766	Ly6g6e	1	0	0	13	6	19
ENSMUSG00000013787	Ehmt2	3981	3995	3128	5666	5856	6318
ENSMUSG00000013822	Elof1	2025	1982	1629	1790	1838	1694
ENSMUSG00000013833	Med16	1934	1798	1587	2209	2150	2210
ENSMUSG00000013846	St3gal1	2677	2899	2300	4648	4282	4548
ENSMUSG00000013858	Tmem259	1902	2098	1604	2865	3015	2878
ENSMUSG00000013878	Rnf170	766	737	656	807	866	839
ENSMUSG00000013921	Clip3	4	4	4	7	10	7
ENSMUSG00000013928	Thap8	2	1	2	2	0	2
ENSMUSG00000013936	Myl2	10	30	15	1	9	4
ENSMUSG00000013973	Dedd	1039	1050	808	1102	1177	1156
ENSMUSG00000013974	Mcemp1	9280	13060	10515	2493	4590	1621
ENSMUSG00000013997	Nit1	922	978	805	886	878	889
ENSMUSG00000014030	Pax5	924	1040	730	913	1671	1370
ENSMUSG00000014039	Prdm15	648	747	525	759	848	738
ENSMUSG00000014074	Rnf168	2164	1969	1623	2093	2262	2200
ENSMUSG00000014075	Tctex1d2	538	519	478	189	273	199
ENSMUSG00000014077	Chp1	8156	9001	7560	7419	7716	7102
ENSMUSG00000014158	Trpv4	14	18	15	63	55	49
ENSMUSG00000014164	Klhl3	41	43	28	61	91	105
ENSMUSG00000014177	Tvp23b	746	752	688	1021	889	1058
ENSMUSG00000014195	Dnajc7	4919	5090	4171	5578	6161	5651
ENSMUSG00000014198	Zfp385c	1	2	1	4	0	4
ENSMUSG00000014226	Cacybp	4838	5063	4092	3903	4239	3987
ENSMUSG00000014232	Cluap1	479	502	415	459	505	478
ENSMUSG00000014243	Zswim7	80	79	66	133	115	121
ENSMUSG00000014245	Pigl	266	292	209	419	403	441
ENSMUSG00000014294	Ndufa2	1820	1792	1404	1593	1432	1500
ENSMUSG00000014301	Pam16	400	454	349	424	444	454
ENSMUSG00000014303	Glis2	23	28	16	51	57	65
ENSMUSG00000014313	Cox6c	4445	4167	3614	3843	3986	3799
ENSMUSG00000014329	Bicc1	1	1	0	2	0	1
ENSMUSG00000014349	Ube2z	3658	4148	3171	5204	5121	4860
ENSMUSG00000014353	Tmem87b	501	585	455	823	1026	846
ENSMUSG00000014355	Anapc1	8184	8229	6684	9615	10697	9725
ENSMUSG00000014361	Mertk	194	250	168	1469	908	1189
ENSMUSG00000014402	Tsg101	2472	2594	2112	2757	2570	2689
ENSMUSG00000014418	Hps5	1076	1202	977	2208	2502	2212
ENSMUSG00000014426	Map3k4	1629	1698	1391	1780	1891	1891
ENSMUSG00000014444	Piezo1	3145	3380	2713	6144	6280	6255
ENSMUSG00000014453	Blk	243	292	190	26	16	19
ENSMUSG00000014470	Rnf166	2486	2808	2208	1917	1931	1823
ENSMUSG00000014496	Ankrd28	6897	6598	6187	5044	6995	5141
ENSMUSG00000014498	Ankrd52	3876	3950	3117	6152	6861	6429
ENSMUSG00000014503	Pkd2l2	41	39	42	87	87	79
ENSMUSG00000014504	Srp19	1962	2012	1687	1674	1684	1607
ENSMUSG00000014529	Tmbim7	0	0	2	3	2	1
ENSMUSG00000014542	Clec4f	3	0	3	1	5	0
ENSMUSG00000014543	Klra17	164	366	336	69	223	56
ENSMUSG00000014547	Wdfy2	633	659	555	1669	1595	1655
ENSMUSG00000014550	Rbsn	1328	1415	1105	1776	1861	1774
ENSMUSG00000014551	Mrps25	1042	1032	769	935	989	1013
ENSMUSG00000014554	Dguok	667	641	476	740	747	802
ENSMUSG00000014592	Camta1	306	235	219	408	454	476
ENSMUSG00000014599	Csf1	324	390	342	270	500	307
ENSMUSG00000014601	Strip1	2403	2815	2143	2142	2442	2141
ENSMUSG00000014602	Kif1a	11	18	7	241	130	171
ENSMUSG00000014606	Slc25a11	4283	4952	3908	5487	5070	5276
ENSMUSG00000014609	Chrne	0	3	0	3	3	1
ENSMUSG00000014633	Cmc2	891	885	713	725	671	728
ENSMUSG00000014668	Chfr	3319	3546	2967	7403	7520	6932
ENSMUSG00000014686	Ceacam16	3	7	4	1	13	5
ENSMUSG00000014704	Hoxa2	6	2	1	2	6	1
ENSMUSG00000014748	Tex261	4027	4083	3348	5616	5490	5459
ENSMUSG00000014763	Fam120b	809	944	683	1027	1089	1056
ENSMUSG00000014767	Tbp	1439	1549	1194	1430	1602	1360
ENSMUSG00000014769	Psmb1	6007	5872	4768	6492	6232	6370
ENSMUSG00000014771	Pdcd2	671	641	542	575	585	622
ENSMUSG00000014773	Dll1	4	7	9	6	3	2
ENSMUSG00000014776	Nol3	1	2	1	12	4	13
ENSMUSG00000014778	Fhod1	892	1008	831	1055	1232	1284
ENSMUSG00000014782	Plekhg4	1	3	1	13	21	18
ENSMUSG00000014786	Slc9a5	23	31	21	40	69	57
ENSMUSG00000014791	Elmo3	49	53	44	91	141	128
ENSMUSG00000014813	Stc1	0	0	0	2	0	8
ENSMUSG00000014837	4931428F04Rik	82	84	73	133	149	137
ENSMUSG00000014846	Tppp3	8	24	9	132	127	72
ENSMUSG00000014850	Msh3	1308	1155	1071	1183	1340	1229
ENSMUSG00000014852	Adamts13	8	26	4	22	21	18
ENSMUSG00000014856	Tmem208	1003	1203	952	1054	1035	1058
ENSMUSG00000014859	E2f4	6291	6036	4744	5635	5747	5481
ENSMUSG00000014867	Surf4	11203	12188	10511	12138	12294	11566
ENSMUSG00000014873	Surf2	812	830	626	911	934	920
ENSMUSG00000014905	Dnajb9	1070	1002	1010	1287	1195	1187
ENSMUSG00000014907	Naf1	976	894	731	888	832	916
ENSMUSG00000014932	Yes1	60	44	42	97	147	111
ENSMUSG00000014956	Ppp1cb	22919	24585	20338	14304	16830	14297
ENSMUSG00000014959	Gorasp2	4375	4455	4000	5107	5136	4977
ENSMUSG00000014980	Tsen15	555	540	438	495	529	541
ENSMUSG00000015002	Efr3a	2999	3057	2452	6384	6554	6165
ENSMUSG00000015013	Trappc2l	943	1078	848	812	916	831
ENSMUSG00000015016	Acsf3	524	443	370	716	701	677
ENSMUSG00000015023	Ddx19a	3253	3092	2583	3254	3230	3138
ENSMUSG00000015027	Galns	5426	6411	5463	2915	3528	2622
ENSMUSG00000015053	Gata2	1148	871	716	16647	13646	17893
ENSMUSG00000015083	C8g	32	19	49	36	26	29
ENSMUSG00000015085	Entpd2	0	1	0	1	2	1
ENSMUSG00000015087	Rabl6	2629	2833	2269	3296	3394	3282
ENSMUSG00000015090	Ptgds	6	2	3	8	4	3
ENSMUSG00000015092	Edf1	2935	3190	2399	2756	2551	2628
ENSMUSG00000015093	Clic3	1	0	1	0	1	0
ENSMUSG00000015094	Npdc1	8	12	1	3	4	4
ENSMUSG00000015095	Fbxw5	1623	1639	1320	1859	1980	1708
ENSMUSG00000015112	Slc25a13	927	779	709	1124	1323	1352
ENSMUSG00000015120	Ube2i	7305	7583	6128	7690	8341	7753
ENSMUSG00000015126	Tsr3	464	445	295	377	376	406
ENSMUSG00000015127	Unkl	839	934	749	911	935	915
ENSMUSG00000015133	Lrrk1	1268	1363	1211	2024	1998	1828
ENSMUSG00000015134	Aldh1a3	9	2	2	2	5	3
ENSMUSG00000015143	Actn1	12720	16964	13765	2515	4460	1545
ENSMUSG00000015149	Sirt2	2111	2238	1947	2786	2638	2654
ENSMUSG00000015165	Hnrnpl	12611	12965	10520	12722	14043	13446
ENSMUSG00000015176	Nolc1	6177	6116	4964	5589	5745	5798
ENSMUSG00000015189	Casd1	2473	2514	2143	1968	2369	2079
ENSMUSG00000015202	Cnksr3	288	271	215	259	256	258
ENSMUSG00000015214	Mtmr1	2573	2670	2276	2339	2679	2388
ENSMUSG00000015217	Hmgb3	8295	7421	6052	6852	6473	6120
ENSMUSG00000015222	Map2	13	15	5	11	28	7
ENSMUSG00000015224	Cyp2j9	54	39	37	62	91	101
ENSMUSG00000015243	Abca1	346	454	308	3504	2039	3858
ENSMUSG00000015247	Nipsnap3b	1419	1484	1195	1542	1608	1539
ENSMUSG00000015289	Lage3	1126	1159	928	992	926	952
ENSMUSG00000015290	Ubl4a	2253	2341	1782	2037	2177	1944
ENSMUSG00000015291	Gdi1	3173	4159	3410	2502	3676	2820
ENSMUSG00000015305	Sash1	225	200	152	1062	934	917
ENSMUSG00000015312	Gadd45b	702	763	624	727	774	730
ENSMUSG00000015314	Slamf6	280	306	223	562	753	661
ENSMUSG00000015316	Slamf1	40	45	28	110	94	137
ENSMUSG00000015335	Zdhhc12	323	334	261	420	542	480
ENSMUSG00000015337	Endog	96	101	84	130	102	132
ENSMUSG00000015340	Cybb	68594	83374	69689	24547	35009	18110
ENSMUSG00000015341	Golga7	3683	3570	3104	4592	4583	4594
ENSMUSG00000015342	Xk	2666	2433	1958	1326	1419	1122
ENSMUSG00000015354	Pcolce2	5	1	4	10	6	3
ENSMUSG00000015355	Cd48	1851	1755	1443	6334	6078	6271
ENSMUSG00000015357	Clpx	1709	1568	1265	1469	1393	1456
ENSMUSG00000015363	Trabd	3050	3364	2839	2485	2628	2450
ENSMUSG00000015377	Dennd6b	89	82	58	111	211	154
ENSMUSG00000015396	Cd83	136	189	157	521	285	411
ENSMUSG00000015401	Tmem27	1	2	0	48	56	63
ENSMUSG00000015405	Ace2	0	1	0	55	53	69
ENSMUSG00000015437	Gzmb	82	149	94	335	323	382
ENSMUSG00000015451	C4a	6	17	10	20	28	28
ENSMUSG00000015452	Ager	70	81	73	52	122	66
ENSMUSG00000015461	Atf6b	2860	3292	2621	3850	4047	4002
ENSMUSG00000015467	Egfl8	12	9	10	21	35	26
ENSMUSG00000015468	Notch4	32	24	15	20	26	17
ENSMUSG00000015474	Ppt2	492	546	537	655	695	652
ENSMUSG00000015476	Prrt1	8	17	11	20	17	15
ENSMUSG00000015478	Rnf5	1930	2098	1597	1418	1470	1367
ENSMUSG00000015484	Fam163a	0	0	0	12	10	10
ENSMUSG00000015488	Cacfd1	768	851	639	1184	1139	1143
ENSMUSG00000015501	Hivep2	186	201	160	1597	1685	1788
ENSMUSG00000015522	Arnt	2548	2665	2213	3096	3276	3104
ENSMUSG00000015533	Itga2	23	28	25	28	28	31
ENSMUSG00000015536	Mocs2	869	807	655	824	872	945
ENSMUSG00000015542	Nat9	565	583	537	1299	1139	1405
ENSMUSG00000015568	Lpl	797	962	910	8938	5709	8216
ENSMUSG00000015575	Atp6v0e	4405	4656	3814	5743	5108	5723
ENSMUSG00000015597	Zfp318	373	420	347	360	446	396
ENSMUSG00000015599	Ttbk1	2	4	4	5	3	5
ENSMUSG00000015605	Srf	2737	2981	2255	2309	2513	2329
ENSMUSG00000015619	Gata3	38	44	23	1213	951	1566
ENSMUSG00000015647	Lama5	16	9	13	128	82	122
ENSMUSG00000015653	Steap2	0	0	0	0	0	1
ENSMUSG00000015656	Hspa8	68071	70245	53410	79246	73434	76424
ENSMUSG00000015659	Serac1	137	128	120	148	169	153
ENSMUSG00000015665	Awat1	15	21	23	44	24	32
ENSMUSG00000015668	Pdzd11	1435	1427	1221	1289	1366	1259
ENSMUSG00000015671	Psma2	6921	7113	5995	5913	6500	5900
ENSMUSG00000015672	Mrpl32	935	963	746	1047	997	991
ENSMUSG00000015697	Setdb1	2798	2719	2336	3894	4366	4119
ENSMUSG00000015702	Anxa9	273	263	184	298	351	280
ENSMUSG00000015709	Arnt2	0	4	1	3	4	1
ENSMUSG00000015711	Prune	1707	1767	1509	2176	2239	2413
ENSMUSG00000015714	Cers2	7613	7973	6800	10369	10632	10098
ENSMUSG00000015733	Capza2	11171	11496	9588	15018	15586	14874
ENSMUSG00000015745	Plekho1	566	495	393	3789	3162	3534
ENSMUSG00000015747	Vps45	776	828	676	1063	1054	1085
ENSMUSG00000015748	Prpf3	2083	2030	1695	2079	2286	2194
ENSMUSG00000015749	Anp32e	14856	13474	11541	12677	13800	13137
ENSMUSG00000015750	Aph1a	3454	3459	2935	4621	4479	4655
ENSMUSG00000015755	Tab2	6353	6374	5372	10496	10594	10603
ENSMUSG00000015757	Ppil4	2615	2559	2142	2785	2952	2792
ENSMUSG00000015759	Cnih1	3137	2798	2431	2949	2852	2850
ENSMUSG00000015766	Eps8	181	136	136	2507	2190	2415
ENSMUSG00000015776	Med22	3084	2908	2515	2617	2848	2608
ENSMUSG00000015790	Surf1	1263	1273	1075	1308	1363	1275
ENSMUSG00000015804	Med28	1718	1832	1587	1539	1493	1454
ENSMUSG00000015806	Qdpr	1923	1805	1476	2009	1807	1877
ENSMUSG00000015812	Gnrh1	10	13	12	11	33	29
ENSMUSG00000015829	Tnr	0	0	0	27	29	24
ENSMUSG00000015837	Sqstm1	4752	4982	4209	6605	6033	6493
ENSMUSG00000015839	Nfe2l2	8053	8654	6987	4985	5323	4497
ENSMUSG00000015843	Rxrg	2	1	1	78	44	90
ENSMUSG00000015846	Rxra	413	473	352	1890	1602	1817
ENSMUSG00000015850	Adamtsl4	83	126	120	306	308	295
ENSMUSG00000015852	Fcrls	4	21	8	145	114	151
ENSMUSG00000015854	Cd5l	640	837	430	3791	1845	2755
ENSMUSG00000015869	Prpsap1	1376	1442	1058	1512	1497	1480
ENSMUSG00000015879	Fam184b	1	3	0	2	1	0
ENSMUSG00000015880	Ncapg	4898	4685	4009	4680	5636	4644
ENSMUSG00000015882	Lcorl	885	862	683	1084	1395	1227
ENSMUSG00000015889	Lta4h	45748	48938	42671	11931	17564	10189
ENSMUSG00000015890	Amdhd1	2	2	5	4	5	3
ENSMUSG00000015932	Dstn	36707	40577	34948	12966	18453	10865
ENSMUSG00000015937	H2afy	16607	14222	12440	19714	24010	23657
ENSMUSG00000015942	Gtf2ird2	339	382	230	422	412	496
ENSMUSG00000015943	Bola1	303	254	206	251	198	260
ENSMUSG00000015944	Gatsl2	173	169	110	888	765	894
ENSMUSG00000015947	Fcgr1	130	223	136	3163	3343	2967
ENSMUSG00000015950	Ncf1	42254	54326	44140	12367	18863	9842
ENSMUSG00000015957	Wnt11	0	0	2	4	2	0
ENSMUSG00000015961	Adss	5286	5244	4688	4746	5335	4727
ENSMUSG00000015966	Il17rb	80	77	55	24	43	37
ENSMUSG00000015968	Cacna1d	36	24	35	245	296	192
ENSMUSG00000015970	Chdh	3426	3353	2789	1405	1977	1595
ENSMUSG00000015971	Actr8	1349	1362	1087	1270	1344	1305
ENSMUSG00000015980	Lrrc27	204	236	168	44	111	68
ENSMUSG00000015981	Stk32c	9	19	4	6	24	15
ENSMUSG00000015994	Fnta	2189	2170	1896	2272	2164	2179
ENSMUSG00000016018	Skiv2l2	4776	4879	3476	4789	5265	4331
ENSMUSG00000016024	Lbp	7762	8534	6952	3464	5779	3460
ENSMUSG00000016028	Celsr1	933	852	769	670	1173	878
ENSMUSG00000016087	Fli1	4331	4612	4021	3091	3426	3035
ENSMUSG00000016128	Stard13	0	3	2	194	104	218
ENSMUSG00000016179	Camk1g	8	13	10	5	10	6
ENSMUSG00000016181	Diexf	744	837	555	956	1035	1012
ENSMUSG00000016194	Hsd11b1	6711	7638	6544	1423	2745	1050
ENSMUSG00000016200	Syt14	2	3	2	0	2	1
ENSMUSG00000016206	H2-M3	300	339	275	1004	1294	1093
ENSMUSG00000016239	Lonrf3	468	490	373	364	466	362
ENSMUSG00000016252	Atp5e	3635	3580	2941	3392	3158	3363
ENSMUSG00000016253	Nelfcd	2509	2651	2189	2608	2764	2804
ENSMUSG00000016255	Tubb1	12	11	6	426	339	457
ENSMUSG00000016256	Ctsz	5642	6100	4982	16473	14743	16570
ENSMUSG00000016257	Slmo2	2980	2979	2491	3710	3680	3757
ENSMUSG00000016262	Sertad4	22	20	14	3	5	3
ENSMUSG00000016283	H2-M2	4	5	2	16	7	20
ENSMUSG00000016308	Ube2a	1807	1902	1583	1890	1995	1970
ENSMUSG00000016319	Slc25a5	21460	21103	17816	25217	25789	24905
ENSMUSG00000016344	Ppdpf	888	901	681	1102	1005	1105
ENSMUSG00000016346	Kcnq2	2	2	0	0	0	0
ENSMUSG00000016356	Col20a1	46	59	50	33	66	51
ENSMUSG00000016382	Pls3	74	53	60	37	53	61
ENSMUSG00000016386	Mpped2	32	20	10	2191	1602	2102
ENSMUSG00000016409	Nkap	1560	1421	1257	1504	1527	1476
ENSMUSG00000016427	Ndufa1	1817	1718	1476	1555	1467	1433
ENSMUSG00000016458	Wt1	0	0	0	1	0	0
ENSMUSG00000016477	E2f3	1339	1350	1086	1406	1716	1403
ENSMUSG00000016481	Cr1l	3712	3637	3221	3864	3956	3597
ENSMUSG00000016487	Ppfibp1	432	390	364	342	434	375
ENSMUSG00000016493	Cd46	54	69	50	75	123	78
ENSMUSG00000016494	Cd34	3367	2306	1959	3434	4366	4700
ENSMUSG00000016495	Plgrkt	1077	963	873	2623	2396	2718
ENSMUSG00000016496	Cd274	235	263	263	1187	1105	1534
ENSMUSG00000016498	Pdcd1lg2	18	23	36	290	155	394
ENSMUSG00000016503	Gtf3a	1679	1664	1382	2140	2020	2119
ENSMUSG00000016510	Mtif3	592	653	492	581	632	609
ENSMUSG00000016520	Lnx2	508	567	465	707	646	619
ENSMUSG00000016524	Il19	0	0	1	1	0	2
ENSMUSG00000016526	Dyrk3	539	476	352	977	846	992
ENSMUSG00000016528	Mapkapk2	12017	12521	10414	13200	15244	14619
ENSMUSG00000016529	Il10	1	9	5	173	90	226
ENSMUSG00000016534	Lamp2	13441	14483	12721	15904	16468	14446
ENSMUSG00000016541	Atxn10	8848	9627	8173	4587	6088	4705
ENSMUSG00000016552	Foxred2	1512	1678	1341	957	901	886
ENSMUSG00000016554	Eif3d	8908	9032	7231	8486	8185	8245
ENSMUSG00000016559	H3f3b	28750	28234	24803	22573	23344	23481
ENSMUSG00000016619	Nup50	5228	5214	4174	5031	5186	4929
ENSMUSG00000016624	Phf21b	2	5	6	5	18	16
ENSMUSG00000016637	Ift27	782	727	646	794	770	811
ENSMUSG00000016664	Pacsin2	5889	6080	5182	5922	5975	5410
ENSMUSG00000016756	Cmah	1218	1766	1201	938	1547	866
ENSMUSG00000016757	Ttll12	3386	3646	2585	3878	3476	3677
ENSMUSG00000016758	Bik	4	10	4	12	8	21
ENSMUSG00000016763	Scube1	0	2	0	0	0	0
ENSMUSG00000016831	Tox4	3747	3742	3188	4704	5191	4678
ENSMUSG00000016833	Mrps18c	966	986	770	679	778	689
ENSMUSG00000016918	Sulf1	0	1	0	2	2	3
ENSMUSG00000016921	Srsf6	10407	10218	8462	9811	11654	10501
ENSMUSG00000016933	Plcg1	718	586	585	1279	1769	1608
ENSMUSG00000016940	Kctd2	945	1053	884	711	851	799
ENSMUSG00000016942	Tmprss6	9	7	9	0	17	2
ENSMUSG00000016946	Kctd5	838	873	666	957	999	1053
ENSMUSG00000016982	Pom121l2	0	0	0	0	0	1
ENSMUSG00000016984	Etaa1	1157	1021	808	1131	1184	1180
ENSMUSG00000016995	Matn4	0	0	1	0	0	0
ENSMUSG00000016998	Svs4	0	0	0	89	12	58
ENSMUSG00000017000	Svs6	0	0	0	8	1	8
ENSMUSG00000017002	Slpi	4116	5534	4506	538	763	279
ENSMUSG00000017003	Svs3a	0	0	0	2	2	3
ENSMUSG00000017004	Svs5	0	0	0	5	5	4
ENSMUSG00000017009	Sdc4	250	265	148	193	114	120
ENSMUSG00000017057	Il13ra1	203	345	398	1446	1284	1222
ENSMUSG00000017119	Nbr1	2985	3192	2626	4831	4939	5133
ENSMUSG00000017132	Cyth1	2050	2071	1765	2125	2434	2126
ENSMUSG00000017144	Rnd3	69	42	54	970	1044	1061
ENSMUSG00000017146	Brca1	3270	3095	2663	2980	3507	3001
ENSMUSG00000017167	Cntnap1	71	103	67	73	164	69
ENSMUSG00000017176	Nt5c3b	589	600	468	1260	1252	1293
ENSMUSG00000017188	Coa3	1669	1808	1441	1326	1419	1353
ENSMUSG00000017195	Zpbp2	11	10	8	52	55	46
ENSMUSG00000017204	Gsdma	7	4	2	10	7	3
ENSMUSG00000017210	Med24	3301	3246	2753	3695	4110	3758
ENSMUSG00000017221	Psmd3	5807	5804	4648	6467	6658	6655
ENSMUSG00000017264	Exosc10	3691	4046	3192	4350	4687	4427
ENSMUSG00000017286	Glod4	2543	2463	2045	2359	2499	2554
ENSMUSG00000017288	Vps53	2651	2684	2232	2191	2258	2104
ENSMUSG00000017291	Taok1	2419	2553	2028	3372	4251	3357
ENSMUSG00000017299	Dnttip1	1240	1232	1118	1067	1175	1099
ENSMUSG00000017300	Tnnc2	0	1	0	0	0	1
ENSMUSG00000017307	Acot8	538	583	467	605	647	585
ENSMUSG00000017309	Cd300lg	82	75	55	1204	1138	1147
ENSMUSG00000017311	Pyy	0	0	0	145	28	175
ENSMUSG00000017314	Mpp2	196	210	154	670	562	740
ENSMUSG00000017316	Ppy	0	0	0	17	3	14
ENSMUSG00000017344	Vtn	0	0	0	1	0	0
ENSMUSG00000017376	Nlk	863	919	760	1104	1113	1085
ENSMUSG00000017386	Traf4	712	735	516	934	820	861
ENSMUSG00000017390	Aldoc	43	27	22	313	210	289
ENSMUSG00000017400	Stac2	24	32	21	107	56	70
ENSMUSG00000017404	Rpl19	24971	22828	18814	29558	27424	28790
ENSMUSG00000017405	Nek8	218	210	176	336	371	355
ENSMUSG00000017412	Cacnb4	0	1	0	3	5	4
ENSMUSG00000017417	Plxdc1	301	304	223	843	904	756
ENSMUSG00000017418	Arl5b	619	648	480	810	840	764
ENSMUSG00000017421	Zfp207	9719	8835	7479	12060	13234	11761
ENSMUSG00000017428	Psmd11	4037	3988	3342	4263	4440	4271
ENSMUSG00000017446	C1qtnf1	12	6	15	197	119	206
ENSMUSG00000017453	Pipox	7	8	4	4	6	7
ENSMUSG00000017466	Timp2	1598	2297	1787	1959	1401	1683
ENSMUSG00000017478	Zc3h18	3898	4136	3255	3914	4335	4220
ENSMUSG00000017485	Top2b	10918	10543	8614	14127	13588	13579
ENSMUSG00000017491	Rarb	1	0	2	1	8	3
ENSMUSG00000017493	Igfbp4	11306	9875	8265	6139	7671	6284
ENSMUSG00000017499	Cdc6	4598	4495	3536	2976	3198	2711
ENSMUSG00000017548	Suz12	9332	8281	7097	7545	8362	7938
ENSMUSG00000017550	Atad5	3130	2915	2406	3727	4043	3776
ENSMUSG00000017561	Crlf3	4638	4780	4110	7748	7401	8654
ENSMUSG00000017607	Tns4	74	59	51	439	442	482
ENSMUSG00000017615	Tnfaip1	315	310	242	703	757	730
ENSMUSG00000017631	Abr	5094	6006	5037	4206	4900	4065
ENSMUSG00000017639	Rab11fip4	636	672	671	467	568	390
ENSMUSG00000017652	Cd40	30	60	46	480	374	445
ENSMUSG00000017664	Slc35c2	3950	4405	3703	3011	3210	2993
ENSMUSG00000017667	Zfp334	1	0	2	1	1	0
ENSMUSG00000017670	Elmo2	2879	2952	2505	5484	5837	5747
ENSMUSG00000017677	Wsb1	3809	4022	3610	4593	5675	4755
ENSMUSG00000017679	Ttpal	1394	1432	1123	1399	1515	1459
ENSMUSG00000017686	Rhot1	1820	1770	1530	2044	2136	2213
ENSMUSG00000017688	Hnf4g	0	0	0	0	0	1
ENSMUSG00000017692	Rhbdl3	26	21	10	90	150	152
ENSMUSG00000017697	Ada	1819	2212	1841	844	1351	802
ENSMUSG00000017707	Serinc3	45977	43955	36877	90849	81254	91534
ENSMUSG00000017713	Tha1	35	50	33	83	83	101
ENSMUSG00000017715	Pgs1	1939	2445	1913	1770	2343	1782
ENSMUSG00000017716	Birc5	6578	6338	5295	4320	4967	4258
ENSMUSG00000017718	Afmid	87	77	70	92	144	102
ENSMUSG00000017721	Pigt	4592	4591	3675	5615	5308	5716
ENSMUSG00000017723	Wfdc2	3	0	0	2	3	1
ENSMUSG00000017724	Etv4	0	0	1	2	2	8
ENSMUSG00000017734	Dbndd2	5	1	6	3	6	12
ENSMUSG00000017737	Mmp9	37947	65023	49952	5005	10351	2496
ENSMUSG00000017740	Slc12a5	44	55	32	13	28	12
ENSMUSG00000017747	Ghdc	256	362	281	253	244	267
ENSMUSG00000017754	Pltp	146	268	232	1140	596	1117
ENSMUSG00000017756	Slc12a7	261	307	206	1307	1210	1263
ENSMUSG00000017760	Ctsa	4603	4583	3869	14712	13109	13798
ENSMUSG00000017764	Zswim1	433	368	292	415	393	441
ENSMUSG00000017765	Slc12a4	594	582	507	1024	937	1006
ENSMUSG00000017767	Spata25	0	0	0	0	1	1
ENSMUSG00000017774	Myo1c	3282	3526	2672	5176	5373	5227
ENSMUSG00000017776	Crk	2406	2919	2138	3618	3926	3560
ENSMUSG00000017778	Cox7c	3704	3723	2992	3117	3221	3059
ENSMUSG00000017781	Pitpna	8651	9472	7856	13479	13328	13025
ENSMUSG00000017801	Mlx	3139	3244	2834	2019	2359	1843
ENSMUSG00000017802	Fam134c	2746	2909	2383	4716	4545	4723
ENSMUSG00000017830	Dhx58	698	727	600	962	1133	847
ENSMUSG00000017831	Rab5a	2272	2229	2000	2499	2752	2434
ENSMUSG00000017832	Hspb9	0	3	0	3	1	3
ENSMUSG00000017837	Nkiras2	1665	1928	1492	2349	2374	2425
ENSMUSG00000017843	Ppp2r5c	7305	7497	6347	8500	8762	8521
ENSMUSG00000017858	Ift52	2011	1762	1493	2184	2175	2098
ENSMUSG00000017861	Mybl2	4442	4228	3637	3093	3530	3014
ENSMUSG00000017868	Sgk2	1	2	0	1	1	1
ENSMUSG00000017897	Eya2	53	59	36	56	42	52
ENSMUSG00000017929	B4galt5	672	771	617	1280	1510	1277
ENSMUSG00000017943	Gdap1l1	1	0	0	0	0	0
ENSMUSG00000017950	Hnf4a	49	26	25	73	49	58
ENSMUSG00000017969	Ptgis	0	0	2	3	2	7
ENSMUSG00000017978	Cadps2	33	20	30	38	36	27
ENSMUSG00000017999	Ddx27	3243	3039	2484	3278	3456	3277
ENSMUSG00000018001	Cyth3	2755	2791	2054	9349	7078	9412
