id	sym	WT_aTreg_1	WT_aTreg_2	WT_aTreg_3	WT_rTreg_1	WT_rTreg_2
ENSMUSG00000020267	Hint1	2946	2670	2362	1429	822
ENSMUSG00000020268	Lyrm7	107	117	51	141	80
ENSMUSG00000020271	Fbxw11	2146	2365	3114	1058	1867
ENSMUSG00000020272	Stk10	17234	15227	12161	1921	7419
ENSMUSG00000020273	Papolg	1372	1471	1687	1109	1176
ENSMUSG00000020275	Rel	2966	471	4260	550	865
ENSMUSG00000020277	Pfkl	1618	1594	1892	1198	2186
ENSMUSG00000020279	Il9r	31	6	1070	14	19
ENSMUSG00000020280	Pus10	623	606	809	322	415
ENSMUSG00000020282	Rhbdf1	7	2	32	0	2
ENSMUSG00000020283	Pex13	518	673	566	607	381
ENSMUSG00000020284	1810043G02Rik	67	64	166	95	71
ENSMUSG00000020287	Mpg	151	112	160	150	236
ENSMUSG00000020288	Ahsa2	403	410	488	449	376
ENSMUSG00000020289	Nprl3	498	529	566	597	748
ENSMUSG00000020290	Xpo1	6483	7044	6675	1579	2746
ENSMUSG00000020295	Hbq1a	0	1	0	0	0
ENSMUSG00000020297	Nsg2	13081	13306	4069	2200	2633
ENSMUSG00000020299	4930524B15Rik	2	3	0	1	0
ENSMUSG00000020300	Cpeb4	1671	1544	1597	115	213
ENSMUSG00000020303	Stc2	53	38	76	1	1
ENSMUSG00000020305	Asb3	782	797	870	916	706
ENSMUSG00000020307	Cdc34	988	1023	897	918	679
ENSMUSG00000020308	Tpgs1	490	423	369	453	378
ENSMUSG00000020309	Chac2	109	108	76	140	79
ENSMUSG00000020310	Madcam1	0	0	6	1	0
ENSMUSG00000020311	Erlec1	1007	990	1009	192	123
ENSMUSG00000020312	Shc2	5	3	0	0	0
ENSMUSG00000020315	Sptbn1	18093	19482	11047	2188	5996
ENSMUSG00000020319	Wdpcp	19	8	17	17	19
ENSMUSG00000020321	Mdh1	4885	4760	4716	6312	4628
ENSMUSG00000020325	Fstl3	0	2	0	0	1
ENSMUSG00000020326	Ccng1	5760	6704	7900	2538	2442
ENSMUSG00000020327	Fgf22	1	0	2	0	0
ENSMUSG00000020328	Nudcd2	801	726	693	538	422
ENSMUSG00000020329	Polrmt	1010	814	786	499	1272
ENSMUSG00000020330	Hmmr	213	71	306	11	28
ENSMUSG00000020331	Hcn2	13	5	14	0	0
ENSMUSG00000020332	Meikin	0	0	1	0	0
ENSMUSG00000020333	Acsl6	3	2	0	0	1
ENSMUSG00000020334	Slc22a4	0	0	1	1	3
ENSMUSG00000020335	Zfp354b	2	0	0	0	0
ENSMUSG00000020340	Cyfip2	13692	15009	13101	2260	7111
ENSMUSG00000020346	Mgat1	1867	2008	2296	707	1171
ENSMUSG00000020349	Ppp2ca	6585	6633	6415	8672	7017
ENSMUSG00000020358	Hnrnpab	7032	5547	4566	4169	3512
ENSMUSG00000020359	Phykpl	295	244	262	368	410
ENSMUSG00000020361	Hspa4	7748	7380	7045	2881	3400
ENSMUSG00000020362	Cnot6	7543	6658	6531	2739	3449
ENSMUSG00000020363	Gfpt2	19	9	40	38	37
ENSMUSG00000020364	Zfp354a	1	1	0	0	0
ENSMUSG00000020366	Mapk9	2274	1831	2239	1557	1991
ENSMUSG00000020368	Canx	9936	9853	9058	3809	4868
ENSMUSG00000020372	Rack1	69736	71419	34136	7960	5842
ENSMUSG00000020374	Rasgef1c	5	4	2	0	2
ENSMUSG00000020375	Rufy1	818	762	773	520	598
ENSMUSG00000020376	Rnf130	763	735	219	716	509
ENSMUSG00000020377	Ltc4s	0	0	0	1	4
ENSMUSG00000020380	Rad50	1633	1417	1674	847	768
ENSMUSG00000020381	3010026O09Rik	23	27	45	42	33
ENSMUSG00000020383	Il13	0	0	6	0	0
ENSMUSG00000020385	Clk4	1711	1392	2282	4149	2706
ENSMUSG00000020386	Sar1b	1218	1133	1427	1629	1051
ENSMUSG00000020387	Jade2	2840	4086	5791	234	203
ENSMUSG00000020388	Pdlim4	601	1000	1	219	320
ENSMUSG00000020389	Cdkl3	51	38	93	55	35
ENSMUSG00000020390	Ube2b	3760	3899	3858	3753	2737
ENSMUSG00000020392	Cdkn2aipnl	2183	2587	2141	3106	2239
ENSMUSG00000020393	Kremen1	1659	2017	914	193	990
ENSMUSG00000020395	Itk	15284	22089	7288	5004	8984
ENSMUSG00000020396	Nefh	310	298	432	124	230
ENSMUSG00000020397	Med7	161	98	261	178	170
ENSMUSG00000020399	Havcr2	4	0	212	3	1
ENSMUSG00000020400	Tnip1	4216	4263	6466	1270	1435
ENSMUSG00000020401	Fam71b	20	27	3	12	9
ENSMUSG00000020402	Vdac1	2491	2468	2379	994	932
ENSMUSG00000020407	Upp1	1	0	1	1	0
ENSMUSG00000020409	Slu7	2449	2721	2404	2087	2025
ENSMUSG00000020411	Nipal4	0	0	19	1	1
ENSMUSG00000020412	Ascc2	1840	1690	1845	583	1181
ENSMUSG00000020413	Hus1	521	504	564	151	204
ENSMUSG00000020415	Pttg1	494	597	601	1200	729
ENSMUSG00000020419	Hormad2	17	4	11	19	16
ENSMUSG00000020420	Zfp607	393	418	465	354	399
ENSMUSG00000020422	Tns3	5	3	7	1	1
ENSMUSG00000020423	Btg2	5769	6813	4843	6805	5426
ENSMUSG00000020424	Gatsl3	752	459	565	801	646
ENSMUSG00000020427	Igfbp3	3	2	1	1	0
ENSMUSG00000020430	Pes1	2378	2268	1846	1637	1689
ENSMUSG00000020431	Adcy1	27	32	10	2	8
ENSMUSG00000020432	Tcn2	403	428	636	406	299
ENSMUSG00000020434	4921536K21Rik	0	0	2	0	0
ENSMUSG00000020436	Gabrg2	1	0	0	1	0
ENSMUSG00000020437	Myo1g	7183	6014	6864	3528	6318
ENSMUSG00000020439	Smtn	12	1	50	5	10
ENSMUSG00000020440	Arf5	3979	4136	3302	3325	2382
ENSMUSG00000020441	2310033P09Rik	260	318	281	271	178
ENSMUSG00000020444	Guk1	805	683	584	1391	906
ENSMUSG00000020447	Npc1l1	2	4	3	0	0
ENSMUSG00000020448	Rnf185	734	762	705	640	842
ENSMUSG00000020451	Limk2	1989	1983	2172	1493	2194
ENSMUSG00000020453	Patz1	1442	1510	1035	434	888
ENSMUSG00000020454	Eif4enif1	2440	2351	3164	650	939
ENSMUSG00000020455	Trim11	1008	885	1029	1248	1540
ENSMUSG00000020456	Ogdh	7124	7620	6408	2707	5891
ENSMUSG00000020457	Drg1	2087	2050	1673	3737	2759
ENSMUSG00000020458	Rtn4	2475	2648	2906	313	486
ENSMUSG00000020459	Mtif2	939	984	1222	715	523
ENSMUSG00000020460	Rps27a	34857	36815	18951	5473	2738
ENSMUSG00000020461	Clhc1	5	3	9	23	3
ENSMUSG00000020462	Cfap36	392	404	814	296	143
ENSMUSG00000020463	Smek2	5514	5560	5979	3358	3677
ENSMUSG00000020464	Pnpt1	1064	856	884	1063	1076
ENSMUSG00000020467	Efemp1	0	0	0	1	0
ENSMUSG00000020471	Pold2	1035	952	866	1075	870
ENSMUSG00000020472	Zkscan17	1467	1355	1487	297	674
ENSMUSG00000020473	Aebp1	4	3	23	9	5
ENSMUSG00000020474	Polm	787	579	1044	443	551
ENSMUSG00000020475	Pgam2	104	42	38	9	36
ENSMUSG00000020476	Dbnl	5957	5250	4408	3841	4408
ENSMUSG00000020477	Mrps24	774	771	564	939	475
ENSMUSG00000020481	Ankrd36	1	0	1	0	0
ENSMUSG00000020482	Ccdc117	2220	2152	2288	1322	1919
ENSMUSG00000020483	Dynll2	2349	2217	2725	184	129
ENSMUSG00000020484	Xbp1	2083	1482	2271	3014	2911
ENSMUSG00000020485	Supt4a	2850	2809	2381	3816	1952
ENSMUSG00000020486	Sept4	24	13	17	33	19
ENSMUSG00000020490	Btnl10	0	4	2	0	0
ENSMUSG00000020491	2810021J22Rik	344	378	366	223	334
ENSMUSG00000020492	Ska2	293	312	358	196	151
ENSMUSG00000020493	Prr11	149	40	225	1	5
ENSMUSG00000020495	Smg8	935	1113	933	479	638
ENSMUSG00000020496	Rnf187	4669	4665	3564	4658	4571
ENSMUSG00000020513	Tubd1	191	186	137	217	196
ENSMUSG00000020514	Mrpl22	404	362	302	613	359
ENSMUSG00000020515	Cnot8	2351	2340	1746	2571	2157
ENSMUSG00000020516	Rps6kb1	1518	1377	1317	1177	1081
ENSMUSG00000020519	Sap30l	575	537	503	414	300
ENSMUSG00000020520	Galnt10	6631	7920	1746	1625	4967
ENSMUSG00000020521	Rnft1	668	636	1027	980	770
ENSMUSG00000020522	Mfap3	1340	1080	1369	1039	1004
ENSMUSG00000020523	Fam114a2	1773	1654	1735	1736	1643
ENSMUSG00000020525	Ppm1d	920	973	940	813	718
ENSMUSG00000020526	Znhit3	157	151	165	346	207
ENSMUSG00000020527	Myo19	204	168	222	26	120
ENSMUSG00000020528	Prpsap2	1280	1362	926	690	481
ENSMUSG00000020530	Ggnbp2	3696	3719	3915	4817	3175
ENSMUSG00000020532	Acaca	1613	1570	1256	72	270
ENSMUSG00000020534	Shmt1	477	359	459	306	393
ENSMUSG00000020536	Llgl1	1755	1664	1353	423	1501
ENSMUSG00000020537	Drg2	1009	939	772	1282	1205
ENSMUSG00000020538	Srebf1	3254	3167	2436	788	1770
ENSMUSG00000020541	Tom1l1	64	75	82	47	65
ENSMUSG00000020542	Myocd	0	0	0	1	0
ENSMUSG00000020544	Cox11	132	112	115	142	95
ENSMUSG00000020545	Lrrc72	0	0	0	1	1
ENSMUSG00000020546	Stxbp4	70	88	84	43	29
ENSMUSG00000020547	Bzw2	4354	4892	3381	2874	2432
ENSMUSG00000020549	Elac2	1271	1146	1031	764	1236
ENSMUSG00000020553	Pctp	172	164	336	103	154
ENSMUSG00000020561	Twistnb	1450	1439	1105	1384	1002
ENSMUSG00000020564	Atxn7l1	1918	2067	2349	791	1099
ENSMUSG00000020566	Atp6v1c2	0	0	2	2	0
ENSMUSG00000020570	Sypl	1856	1377	1899	1783	1252
ENSMUSG00000020571	Pdia6	2651	2820	3685	2188	1846
ENSMUSG00000020572	Nampt	2571	1708	2653	1232	1626
ENSMUSG00000020573	Pik3cg	2608	3027	2806	379	1209
ENSMUSG00000020576	Nbas	1032	1151	1414	104	357
ENSMUSG00000020577	Tspan13	3826	4293	6561	4669	3351
ENSMUSG00000020580	Rock2	2415	2324	2804	1075	1183
ENSMUSG00000020581	Agr2	0	0	0	1	0
ENSMUSG00000020585	Laptm4a	2829	2786	3081	1727	1281
ENSMUSG00000020589	Fam49a	2241	2728	1511	918	1276
ENSMUSG00000020590	Snx13	769	873	2209	419	498
ENSMUSG00000020592	Sdc1	4	1	19	6	0
ENSMUSG00000020593	Lpin1	650	1599	968	203	544
ENSMUSG00000020594	Pum2	14382	15824	12995	572	820
ENSMUSG00000020598	Nrcam	6	5	0	0	2
ENSMUSG00000020599	Rgs9	18	17	476	11	4
ENSMUSG00000020601	Trib2	10019	9386	3173	4835	7972
ENSMUSG00000020604	Arsg	94	50	155	36	50
ENSMUSG00000020605	Hs1bp3	276	329	417	156	149
ENSMUSG00000020607	Fam84a	9	5	25	0	0
ENSMUSG00000020608	Smc6	8271	9006	4998	3801	2363
ENSMUSG00000020609	Apob	0	0	0	1	0
ENSMUSG00000020610	Amz2	939	956	1045	656	470
ENSMUSG00000020611	Gna13	6225	6767	8580	2111	2397
ENSMUSG00000020612	Prkar1a	13674	14604	16913	8180	8064
ENSMUSG00000020614	Fam20a	27	20	91	7	25
ENSMUSG00000020617	1700012B07Rik	0	0	10	0	1
ENSMUSG00000020620	Abca8b	3	1	0	0	1
ENSMUSG00000020621	Rdh14	494	527	401	858	466
ENSMUSG00000020623	Map2k6	422	471	415	208	122
ENSMUSG00000020627	Klhl29	0	1	0	0	0
ENSMUSG00000020628	Trappc12	1483	1933	1597	964	1476
ENSMUSG00000020629	Adi1	1663	1626	888	2660	1659
ENSMUSG00000020630	Rnaseh1	380	363	345	546	415
ENSMUSG00000020633	Dcdc2c	8	4	6	3	4
ENSMUSG00000020634	Ubxn2a	1009	1144	1439	819	712
ENSMUSG00000020635	Fkbp1b	1	0	0	3	0
ENSMUSG00000020636	Allc	0	1	0	0	0
ENSMUSG00000020638	Cmpk2	1099	745	544	276	761
ENSMUSG00000020639	Pfn4	6	4	2	2	0
ENSMUSG00000020640	Itsn2	5121	5485	5285	1663	2243
ENSMUSG00000020641	Rsad2	445	392	298	70	153
ENSMUSG00000020642	Rnf144a	240	1880	747	50	80
ENSMUSG00000020644	Id2	1539	651	2370	2153	1533
ENSMUSG00000020646	Mboat2	4	4	2	0	1
ENSMUSG00000020647	Ncoa1	1821	1838	2112	382	1247
ENSMUSG00000020648	Dus4l	232	193	126	71	89
ENSMUSG00000020649	Rrm2	778	281	1604	120	325
ENSMUSG00000020650	Bcap29	1444	1281	1453	1700	1319
ENSMUSG00000020652	Cenpo	339	371	489	395	339
ENSMUSG00000020653	Klf11	183	256	355	105	121
ENSMUSG00000020654	Adcy3	979	778	920	209	634
ENSMUSG00000020656	Grhl1	75	32	641	83	112
ENSMUSG00000020657	Dnajc27	440	429	389	138	273
ENSMUSG00000020658	Efr3b	11	7	19	0	1
ENSMUSG00000020659	Cbll1	810	862	807	561	407
ENSMUSG00000020660	Pomc	7	7	7	10	5
ENSMUSG00000020661	Dnmt3a	3676	2975	4075	1100	1713
ENSMUSG00000020664	Dld	2230	2158	1985	1719	1374
ENSMUSG00000020668	Kif3c	507	541	471	88	304
ENSMUSG00000020669	Sh3yl1	14	18	10	7	11
ENSMUSG00000020671	Rab10	5899	6514	5966	4009	3299
ENSMUSG00000020672	Sntg2	2	0	4	0	5
ENSMUSG00000020674	Pxdn	4	6	0	1	0
ENSMUSG00000020677	Ddx52	2184	1899	1971	1228	993
ENSMUSG00000020680	Taf15	3267	3502	2875	142	92
ENSMUSG00000020681	Ace	3	0	0	1	0
ENSMUSG00000020682	Mmp28	0	0	0	0	1
ENSMUSG00000020684	Rasl10b	2	5	3	0	0
ENSMUSG00000020687	Cdc27	2217	2046	2397	723	697
ENSMUSG00000020689	Itgb3	5256	7415	1929	509	1806
ENSMUSG00000020690	Efcab3	0	2	0	0	1
ENSMUSG00000020691	Mettl2	584	594	448	571	556
ENSMUSG00000020692	Nle1	687	542	408	348	564
ENSMUSG00000020694	Tlk2	1963	1947	1907	364	633
ENSMUSG00000020695	Mrc2	4	1	1	0	0
ENSMUSG00000020696	Rffl	581	526	449	271	470
ENSMUSG00000020697	Lig3	1275	1301	1000	239	909
ENSMUSG00000020698	Cct6b	4	4	8	8	6
ENSMUSG00000020700	Map3k3	4228	4756	3232	2295	4083
ENSMUSG00000020701	Tmem132e	1	0	1	0	0
ENSMUSG00000020702	Ccl1	0	0	56	0	0
ENSMUSG00000020705	Ddx42	3704	3477	3765	1570	2540
ENSMUSG00000020706	Ftsj3	2819	2953	2069	1284	1751
ENSMUSG00000020707	Rnf135	173	159	412	227	233
ENSMUSG00000020708	Psmc5	2408	2171	1929	3254	2645
ENSMUSG00000020709	Adap2	0	0	1	0	5
ENSMUSG00000020712	Tcam1	7	3	4	4	4
ENSMUSG00000020715	Ern1	389	393	539	28	101
ENSMUSG00000020716	Nf1	641	483	794	28	69
ENSMUSG00000020717	Pecam1	8260	7585	2746	2703	4304
ENSMUSG00000020718	Polg2	265	240	219	216	190
ENSMUSG00000020719	Ddx5	48154	54896	49181	23066	19355
ENSMUSG00000020720	Psmd12	1839	1853	1747	1974	1553
ENSMUSG00000020721	Helz	4072	4143	4208	843	1853
ENSMUSG00000020723	Cacng4	11	3	1	0	1
ENSMUSG00000020728	Cep112	2	1	51	0	0
ENSMUSG00000020732	Rab37	2412	2048	3665	1999	1620
ENSMUSG00000020733	Slc9a3r1	7921	7970	7638	6067	4970
ENSMUSG00000020734	Grin2c	0	1	1	0	0
ENSMUSG00000020736	Nt5c	1790	1647	1438	2361	1572
ENSMUSG00000020737	Hn1	4866	4558	4807	7616	5698
ENSMUSG00000020738	Sumo2	6887	7283	6714	8193	4484
ENSMUSG00000020739	Nup85	1021	949	913	943	987
ENSMUSG00000020740	Gga3	1613	1479	1621	763	1490
ENSMUSG00000020741	Cluh	1711	1617	1622	258	1129
ENSMUSG00000020743	Mif4gd	993	841	2289	1325	1005
ENSMUSG00000020744	Slc25a19	627	557	1078	792	797
ENSMUSG00000020745	Pafah1b1	9075	9359	7563	1786	1736
ENSMUSG00000020747	Tmem94	1217	1303	1709	149	631
ENSMUSG00000020752	Recql5	582	468	571	204	484
ENSMUSG00000020755	Sap30bp	1273	1378	1057	818	873
ENSMUSG00000020758	Itgb4	5	4	2	1	6
ENSMUSG00000020766	Galk1	537	376	360	467	459
ENSMUSG00000020770	Unk	876	870	860	676	939
ENSMUSG00000020773	Trim47	9	3	8	8	21
ENSMUSG00000020775	Mrpl38	592	583	489	765	522
ENSMUSG00000020776	Fbf1	403	363	454	83	233
ENSMUSG00000020777	Acox1	864	826	890	277	473
ENSMUSG00000020778	Ten1	608	606	347	581	405
ENSMUSG00000020780	Srp68	2739	2795	2115	1437	1626
ENSMUSG00000020781	Tsen54	488	412	525	389	536
ENSMUSG00000020782	Llgl2	598	537	691	196	475
ENSMUSG00000020783	Ncbp3	2907	2642	2510	942	995
ENSMUSG00000020785	Camkk1	255	170	316	188	408
ENSMUSG00000020787	P2rx1	0	0	0	0	1
ENSMUSG00000020788	Atp2a3	13326	13537	10303	1867	6817
ENSMUSG00000020790	Ankfy1	4586	4637	4464	512	2059
ENSMUSG00000020792	Exoc7	1224	1211	1270	1057	1136
ENSMUSG00000020793	Galr2	10	4	7	0	1
ENSMUSG00000020794	Ube2g1	2440	2663	1932	2691	2108
ENSMUSG00000020798	Spns3	8	2	9	10	9
ENSMUSG00000020801	Med31	107	116	118	462	163
ENSMUSG00000020802	Ube2o	969	891	879	63	453
ENSMUSG00000020803	Txndc17	960	987	1060	1260	733
ENSMUSG00000020804	Aanat	2	0	0	0	0
ENSMUSG00000020806	Rhbdf2	421	513	405	173	357
ENSMUSG00000020807	4933427D14Rik	244	323	559	214	227
ENSMUSG00000020808	Fam64a	71	21	64	6	14
ENSMUSG00000020811	Wscd1	3	5	0	2	0
ENSMUSG00000020812	1810032O08Rik	141	55	90	146	154
ENSMUSG00000020814	Mxra7	6	1	1	0	0
ENSMUSG00000020817	Rabep1	1510	1445	1540	756	689
ENSMUSG00000020818	Mfsd11	381	305	442	363	430
ENSMUSG00000020821	Kif1c	1577	1638	2030	50	47
ENSMUSG00000020823	Sec14l1	1313	1080	2845	244	540
ENSMUSG00000020826	Nos2	0	2	1	0	0
ENSMUSG00000020827	Mink1	2046	2205	2712	140	415
ENSMUSG00000020828	Pld2	19	20	131	16	26
ENSMUSG00000020829	Slc46a1	16	17	30	20	15
ENSMUSG00000020831	0610010K14Rik	38	19	42	30	32
ENSMUSG00000020832	Eral1	559	592	520	797	795
ENSMUSG00000020834	Dhrs13	68	155	92	81	55
ENSMUSG00000020836	Coro6	2	0	3	0	0
ENSMUSG00000020838	Slc6a4	0	0	2	0	1
ENSMUSG00000020839	Tmigd1	0	0	10	0	0
ENSMUSG00000020840	Blmh	1345	1161	2071	1067	1002
ENSMUSG00000020841	Cpd	146	60	2504	20	43
ENSMUSG00000020843	Timm22	643	611	517	734	513
ENSMUSG00000020844	Nxn	364	360	260	39	41
ENSMUSG00000020846	Fam101b	4718	9130	1490	1095	1436
ENSMUSG00000020847	Rph3al	252	277	216	84	119
ENSMUSG00000020849	Ywhae	7090	7308	7475	1882	1678
ENSMUSG00000020850	Prpf8	17119	18973	16658	897	2147
ENSMUSG00000020857	Nme2	24	27	16	11	10
ENSMUSG00000020859	Spag9	2181	2079	2245	452	892
ENSMUSG00000020863	Luc7l3	2546	2319	2711	934	768
ENSMUSG00000020864	Ankrd40	2344	2438	2299	720	1036
ENSMUSG00000020865	Abcc3	17	5	138	5	21
ENSMUSG00000020866	Cacna1g	2	3	4	0	0
ENSMUSG00000020868	Xylt2	1698	1674	783	573	1332
ENSMUSG00000020869	Lrrc59	1743	1361	1559	977	1481
ENSMUSG00000020871	Dlx4	0	1	0	1	0
ENSMUSG00000020872	Tac4	5	2	2	1	0
ENSMUSG00000020873	Slc35b1	714	650	745	825	596
ENSMUSG00000020875	Hoxb9	0	1	0	0	0
ENSMUSG00000020876	Snx11	405	410	874	295	404
ENSMUSG00000020877	Scrn2	245	211	168	211	187
ENSMUSG00000020878	Lrrc46	2	1	0	0	0
ENSMUSG00000020882	Cacnb1	321	397	417	94	176
ENSMUSG00000020883	Fbxl20	2048	1984	2494	615	693
ENSMUSG00000020884	Asgr1	0	0	2	0	0
ENSMUSG00000020886	Dlg4	1042	1275	1154	25	12
ENSMUSG00000020888	Dvl2	726	952	819	328	461
ENSMUSG00000020889	Nr1d1	42	88	217	51	55
ENSMUSG00000020890	Gucy2e	4	15	43	3	0
ENSMUSG00000020891	Alox8	14	20	543	8	5
ENSMUSG00000020892	Aloxe3	0	0	2	0	0
ENSMUSG00000020893	Per1	1258	1202	2104	96	217
ENSMUSG00000020894	Vamp2	875	938	1032	1041	895
ENSMUSG00000020895	Tmem107	16	18	27	5	5
ENSMUSG00000020897	Aurkb	195	59	291	21	82
ENSMUSG00000020898	Ctc1	509	475	758	193	458
ENSMUSG00000020899	Pfas	1109	940	1039	141	143
ENSMUSG00000020900	Myh10	72	60	39	18	14
ENSMUSG00000020901	Pik3r5	3847	4194	1697	1417	3684
ENSMUSG00000020902	Ntn1	115	153	121	14	21
ENSMUSG00000020903	Stx8	683	612	609	569	436
ENSMUSG00000020908	Myh3	0	3	46	0	0
ENSMUSG00000020910	Adprm	571	527	711	796	525
ENSMUSG00000020911	Krt19	0	0	0	4	0
ENSMUSG00000020913	Krt24	0	0	3	0	0
ENSMUSG00000020914	Top2a	3673	1381	3600	203	474
ENSMUSG00000020917	Acly	9162	9678	7571	2514	6467
ENSMUSG00000020918	Kat2a	2426	2283	1314	767	2049
ENSMUSG00000020919	Stat5b	7745	8005	8083	2252	4503
ENSMUSG00000020921	Tmem101	231	227	329	134	126
ENSMUSG00000020922	Lsm12	1247	1257	1024	798	453
ENSMUSG00000020923	Ubtf	6602	6964	6560	1915	2586
ENSMUSG00000020925	Ccdc43	840	833	774	526	534
ENSMUSG00000020926	Adam11	3	5	3	2	0
ENSMUSG00000020928	Higd1b	2	0	1	1	0
ENSMUSG00000020929	Eftud2	3686	3594	3374	1949	3258
ENSMUSG00000020932	Gfap	2	0	3	0	0
ENSMUSG00000020935	Dcakd	377	329	363	227	191
ENSMUSG00000020936	Nmt1	2884	2896	2265	1409	1360
ENSMUSG00000020937	Plcd3	1	19	28	3	0
ENSMUSG00000020940	1700023F06Rik	3	2	2	0	0
ENSMUSG00000020941	Map3k14	2904	2859	1362	320	1286
ENSMUSG00000020946	Gosr2	3983	4212	3723	2524	3501
ENSMUSG00000020948	Klhl28	557	513	701	684	489
ENSMUSG00000020949	Fkbp3	1915	2096	1486	2237	1257
ENSMUSG00000020952	Scfd1	1508	1286	1161	1986	1548
ENSMUSG00000020953	Coch	1	1	9	4	1
ENSMUSG00000020954	Strn3	1493	1545	1640	1162	1183
ENSMUSG00000020955	Ap4s1	437	597	492	476	247
ENSMUSG00000020956	Dtd2	58	128	136	115	68
ENSMUSG00000020961	Ston2	14	12	27	2	4
ENSMUSG00000020962	Gtf2a1	1410	1341	1569	319	776
ENSMUSG00000020963	Tshr	0	0	0	1	0
ENSMUSG00000020964	Sel1l	2307	2256	3125	1049	1971
ENSMUSG00000020973	Dnaaf2	490	529	413	552	504
ENSMUSG00000020974	Pole2	594	370	235	201	316
ENSMUSG00000020978	Klhdc2	3729	1798	1215	2087	4028
ENSMUSG00000020982	Nemf	1619	1668	1973	2796	1835
ENSMUSG00000020986	Sec23a	961	997	1036	491	711
ENSMUSG00000020988	L2hgdh	181	180	177	128	163
ENSMUSG00000020990	Cdkl1	2	1	0	0	0
ENSMUSG00000020992	4930512B01Rik	1	1	3	7	1
ENSMUSG00000020993	Trappc6b	1456	1437	1290	2262	1314
ENSMUSG00000020994	Pnn	2580	2574	2906	2008	1389
ENSMUSG00000021000	Ctage5	4895	4749	3551	2357	2428
ENSMUSG00000021003	Galc	140	89	120	63	67
ENSMUSG00000021007	Spata7	5	4	12	6	11
ENSMUSG00000021009	Ptpn21	180	186	271	19	70
ENSMUSG00000021010	Npas3	0	1	0	0	0
ENSMUSG00000021012	Zc3h14	2215	2185	2524	1634	1835
ENSMUSG00000021013	Ttc8	21	10	96	24	11
ENSMUSG00000021018	Polr2h	613	649	377	765	517
ENSMUSG00000021022	Ppp2r3c	734	670	779	456	328
ENSMUSG00000021023	1110008L16Rik	257	242	201	165	212
ENSMUSG00000021024	Psma6	3277	3176	2824	4470	2853
ENSMUSG00000021025	Nfkbia	3874	4403	7487	9706	4603
ENSMUSG00000021027	Ralgapa1	2411	2418	3177	737	1068
ENSMUSG00000021028	Mbip	414	362	438	502	356
ENSMUSG00000021032	Ngb	0	1	0	3	6
ENSMUSG00000021033	Gstz1	175	170	175	176	151
ENSMUSG00000021036	Sptlc2	2374	2448	2467	2051	2115
ENSMUSG00000021037	Ahsa1	3026	2832	2835	2944	2413
ENSMUSG00000021038	Vipas39	1185	1112	1101	825	902
ENSMUSG00000021039	Snw1	2220	2053	2360	2483	2013
ENSMUSG00000021040	Slirp	181	160	178	468	235
ENSMUSG00000021044	Adck1	434	441	438	433	499
ENSMUSG00000021047	Nova1	10	3	0	1	0
ENSMUSG00000021048	Mthfd1	2006	1857	1339	1009	1569
ENSMUSG00000021051	Ppp2r5e	2555	2938	2306	914	829
ENSMUSG00000021054	Sgpp1	3649	4523	3036	3473	3415
ENSMUSG00000021056	Tex21	0	0	0	1	0
ENSMUSG00000021057	Akap5	23	15	38	32	13
ENSMUSG00000021061	Sptb	63	100	254	3	8
ENSMUSG00000021062	Rab15	5	1	1	0	0
ENSMUSG00000021065	Fut8	917	922	1332	428	551
ENSMUSG00000021066	Atl1	22	7	7	20	20
ENSMUSG00000021067	Sav1	1708	1620	1815	201	211
ENSMUSG00000021068	Nin	7328	6062	4663	631	2159
ENSMUSG00000021069	Pygl	15	7	22	4	2
ENSMUSG00000021070	Bdkrb2	0	1	1	0	0
ENSMUSG00000021071	Trim9	2	1	0	0	0
ENSMUSG00000021072	Tmx1	2398	2540	2640	2595	1844
ENSMUSG00000021076	Actr10	2563	2656	1675	3965	2296
ENSMUSG00000021078	Tomm20l	0	0	0	1	0
ENSMUSG00000021079	Timm9	389	352	202	412	242
ENSMUSG00000021086	Ccdc175	3	11	3	1	2
ENSMUSG00000021087	Rtn1	20	6	10	0	0
ENSMUSG00000021090	Lrrc9	1	1	2	4	0
ENSMUSG00000021091	Serpina3n	0	0	2	6	0
ENSMUSG00000021094	Dhrs7	319	737	1007	649	360
ENSMUSG00000021096	Ppm1a	2198	2374	1981	535	830
ENSMUSG00000021097	Clmn	1	0	1	0	0
ENSMUSG00000021098	4930447C04Rik	4	0	0	1	0
ENSMUSG00000021102	Glrx5	992	909	712	1079	740
ENSMUSG00000021103	Mnat1	630	530	541	513	252
ENSMUSG00000021108	Prkch	8397	9481	12103	4296	9824
ENSMUSG00000021109	Hif1a	4572	4862	11917	2051	2566
ENSMUSG00000021111	Papola	7808	8740	7581	3140	4110
ENSMUSG00000021112	Mpp5	860	892	980	525	399
ENSMUSG00000021113	Snapc1	316	760	693	288	256
ENSMUSG00000021114	Atp6v1d	2617	3318	2187	3003	2021
ENSMUSG00000021115	Vrk1	1762	1735	2092	2039	1536
ENSMUSG00000021116	Eif2s1	3261	3305	2534	4221	3168
ENSMUSG00000021118	Plek2	1	1	1	4	7
ENSMUSG00000021120	Pigh	240	268	226	493	321
ENSMUSG00000021123	Rdh12	113	147	341	174	111
ENSMUSG00000021124	Vti1b	1272	1425	1059	1501	895
