id	sym	gfp_plus_1	gfp_plus_2	gfp_plus_3	gfp_minus_1	gfp_minus_2	gfp_minus_3
ENSMUSG00000028644	Ermap	469	609	710	403	196	343
ENSMUSG00000028645	Slc2a1	2414	1948	3036	2181	1155	1671
ENSMUSG00000028646	Rragc	1298	1036	1280	885	484	603
ENSMUSG00000028647	Mycbp	589	430	444	387	220	320
ENSMUSG00000028648	Ndufs5	27	9	22	11	8	9
ENSMUSG00000028649	Macf1	77879	72848	78456	90437	34103	69147
ENSMUSG00000028651	Ppie	119	121	134	119	25	48
ENSMUSG00000028653	Trit1	450	507	588	447	402	460
ENSMUSG00000028654	Mycl	22	26	50	103	14	67
ENSMUSG00000028655	Mfsd2a	19	10	45	12	51	8
ENSMUSG00000028656	Cap1	4777	3551	4504	3523	2069	2974
ENSMUSG00000028657	Ppt1	5521	4885	4768	3776	1842	3362
ENSMUSG00000028661	Epha8	9	0	5	0	2	0
ENSMUSG00000028664	Ephb2	12	11	34	9	8	4
ENSMUSG00000028668	Tceb3	2030	1845	2261	1430	1401	1350
ENSMUSG00000028669	Pithd1	174	152	217	83	49	76
ENSMUSG00000028670	Lypla2	191	166	277	156	78	138
ENSMUSG00000028671	Gale	86	37	57	33	19	23
ENSMUSG00000028672	Hmgcl	557	367	606	311	181	189
ENSMUSG00000028673	Fuca1	1727	1621	1826	1287	652	958
ENSMUSG00000028675	Pnrc2	1054	776	636	806	308	632
ENSMUSG00000028676	Srsf10	1191	1059	1081	929	395	760
ENSMUSG00000028677	Rnf220	757	931	946	796	516	684
ENSMUSG00000028678	Kif2c	19	4	94	20	14	28
ENSMUSG00000028680	Plk3	3313	2427	3696	1430	681	684
ENSMUSG00000028681	Ptch2	5	27	31	13	4	7
ENSMUSG00000028683	Eif2b3	704	622	649	495	285	352
ENSMUSG00000028684	Urod	157	140	263	166	55	117
ENSMUSG00000028687	Mutyh	45	41	68	69	47	57
ENSMUSG00000028688	Toe1	38	68	66	72	49	27
ENSMUSG00000028689	Ccdc163	501	346	392	127	189	130
ENSMUSG00000028690	Mmachc	152	120	126	115	71	95
ENSMUSG00000028691	Prdx1	1060	757	1085	360	295	263
ENSMUSG00000028692	Akr1a1	1694	1289	1198	966	615	530
ENSMUSG00000028693	Nasp	503	356	543	308	165	152
ENSMUSG00000028696	Ipp	109	105	95	62	36	62
ENSMUSG00000028698	Pik3r3	63	54	42	96	55	126
ENSMUSG00000028699	Tspan1	15	17	23	27	29	16
ENSMUSG00000028700	Pomgnt1	558	373	449	480	240	334
ENSMUSG00000028701	Lurap1	159	109	169	81	66	90
ENSMUSG00000028702	Rad54l	231	222	369	212	140	283
ENSMUSG00000028703	Lrrc41	479	271	387	263	101	214
ENSMUSG00000028706	Nsun4	932	634	729	560	600	360
ENSMUSG00000028707	Dmbx1	0	0	1	0	16	1
ENSMUSG00000028708	Mknk1	4194	3956	4632	4130	3596	3451
ENSMUSG00000028709	Mob3c	2482	1674	2678	1435	1098	1254
ENSMUSG00000028710	Atpaf1	369	315	282	223	223	213
ENSMUSG00000028716	Pdzk1ip1	36	2	8	5	122	3
ENSMUSG00000028717	Tal1	548	508	599	1277	602	953
ENSMUSG00000028718	Stil	131	35	194	15	55	42
ENSMUSG00000028719	Cmpk1	883	415	1256	305	189	230
ENSMUSG00000028729	Ebna1bp2	413	339	355	311	124	197
ENSMUSG00000028730	Cfap57	14	3	28	1	16	1
ENSMUSG00000028736	Pax7	0	1	0	0	13	0
ENSMUSG00000028737	Aldh4a1	76	70	130	83	60	22
ENSMUSG00000028738	Tas1r2	0	0	12	0	2	0
ENSMUSG00000028741	Mrto4	97	110	113	68	50	61
ENSMUSG00000028743	Akr7a5	48	63	40	64	16	47
ENSMUSG00000028744	Pqlc2	307	262	311	369	299	339
ENSMUSG00000028745	Capzb	4931	4284	5605	5385	2916	4844
ENSMUSG00000028747	Htr6	0	3	1	1	8	4
ENSMUSG00000028749	Pla2g2f	0	0	0	0	8	0
ENSMUSG00000028750	Pla2g2c	1	0	0	0	5	0
ENSMUSG00000028753	Vwa5b1	17	6	18	1	10	7
ENSMUSG00000028756	Pink1	322	292	660	317	177	267
ENSMUSG00000028757	Ddost	565	402	659	372	283	346
ENSMUSG00000028758	Kif17	19	5	21	9	0	1
ENSMUSG00000028759	Hp1bp3	4373	3203	4213	2994	2077	2415
ENSMUSG00000028760	Eif4g3	11179	8574	10600	8475	5562	6228
ENSMUSG00000028763	Hspg2	173	68	132	57	32	53
ENSMUSG00000028766	Alpl	13	24	20	12	8	2
ENSMUSG00000028771	Ptpn12	2404	988	2353	901	493	553
ENSMUSG00000028772	Zcchc17	275	192	222	197	227	227
ENSMUSG00000028773	Fabp3	4	6	7	15	0	2
ENSMUSG00000028776	Tinagl1	44	16	52	17	40	7
ENSMUSG00000028777	Gnat3	6	9	16	0	6	0
ENSMUSG00000028778	Hcrtr1	0	2	0	0	0	0
ENSMUSG00000028779	Pef1	107	100	139	135	110	50
ENSMUSG00000028780	Sema3c	28	35	25	9	24	7
ENSMUSG00000028782	Adgrb2	30	36	31	19	55	14
ENSMUSG00000028784	Spocd1	0	1	2	0	0	0
ENSMUSG00000028785	Hpca	93	16	40	16	5	6
ENSMUSG00000028786	Tmem54	2	0	1	1	1	0
ENSMUSG00000028788	Ptp4a2	4766	3122	4476	2934	1635	1895
ENSMUSG00000028789	Azin2	125	63	53	40	4	20
ENSMUSG00000028790	Khdrbs1	2507	2086	2607	2151	771	1859
ENSMUSG00000028792	Ak2	1040	440	1221	437	342	322
ENSMUSG00000028793	Rnf19b	3606	2078	3185	2629	1228	1556
ENSMUSG00000028794	A3galt2	5	19	11	16	37	17
ENSMUSG00000028795	Ccdc28b	192	135	210	178	64	113
ENSMUSG00000028796	Phc2	1998	1906	2274	2386	1245	1734
ENSMUSG00000028797	Tmem234	990	1030	1153	888	588	579
ENSMUSG00000028798	Eif3i	374	301	296	260	158	172
ENSMUSG00000028799	Zfp362	884	770	1017	527	259	522
ENSMUSG00000028800	Hdac1	894	694	911	725	315	442
ENSMUSG00000028801	Stpg1	8	9	45	22	19	36
ENSMUSG00000028803	Nipal3	474	340	517	437	301	387
ENSMUSG00000028804	Csmd2	86	38	57	40	37	10
ENSMUSG00000028807	Zbtb8a	65	52	90	34	35	24
ENSMUSG00000028809	Srrm1	9239	7900	9588	8222	4538	6138
ENSMUSG00000028811	Yars	582	458	565	609	259	437
ENSMUSG00000028820	Sfpq	5449	4505	5773	3889	1778	3102
ENSMUSG00000028821	Syf2	281	193	406	197	144	109
ENSMUSG00000028822	Tmem50a	691	680	849	585	538	532
ENSMUSG00000028825	Rhd	4	7	8	4	8	2
ENSMUSG00000028826	Tmem57	1679	1398	1719	592	373	394
ENSMUSG00000028830	AU040320	1638	1489	1887	1483	819	1163
ENSMUSG00000028832	Stmn1	57	33	87	47	26	38
ENSMUSG00000028833	Ncdn	530	432	699	469	263	334
ENSMUSG00000028834	Trim63	1	1	0	0	1	0
ENSMUSG00000028836	Slc30a2	0	0	25	0	2	2
ENSMUSG00000028837	Psmb2	498	438	461	367	156	216
ENSMUSG00000028838	Extl1	5	2	0	3	12	2
ENSMUSG00000028840	Zfp593	0	4	2	0	11	1
ENSMUSG00000028841	Cnksr1	15	2	0	0	0	0
ENSMUSG00000028842	Ago3	8350	8074	8176	5802	2652	4499
ENSMUSG00000028843	Sh3bgrl3	2128	1745	2685	1247	771	1174
ENSMUSG00000028845	Tekt2	22	66	44	65	19	32
ENSMUSG00000028847	Trappc3	511	538	483	422	239	358
ENSMUSG00000028848	Gpn2	93	54	73	54	28	48
ENSMUSG00000028849	Map7d1	1282	804	1463	1304	787	870
ENSMUSG00000028850	Gpatch3	174	108	143	140	65	102
ENSMUSG00000028851	Nudc	245	175	265	149	217	109
ENSMUSG00000028854	Slc9a1	2414	1939	2971	2393	1523	2241
ENSMUSG00000028857	Tmem222	198	170	158	212	108	123
ENSMUSG00000028859	Csf3r	14715	12487	14740	22724	9373	15083
ENSMUSG00000028860	Sytl1	10	15	12	8	3	3
ENSMUSG00000028861	Mrps15	333	306	404	466	332	423
ENSMUSG00000028862	Map3k6	44	24	53	7	12	3
ENSMUSG00000028863	Meaf6	1049	781	1015	835	580	550
ENSMUSG00000028864	Hgf	866	871	902	49	123	54
ENSMUSG00000028868	Wasf2	10514	8322	12255	11617	9007	11090
ENSMUSG00000028869	Gnl2	958	807	936	703	377	582
ENSMUSG00000028871	Rspo1	31	11	18	55	29	51
ENSMUSG00000028873	Cdca8	36	49	81	18	9	13
ENSMUSG00000028874	Fgr	1327	547	1588	187	293	118
ENSMUSG00000028876	Epha10	9	10	21	5	3	7
ENSMUSG00000028878	Fam76a	466	196	318	207	85	124
ENSMUSG00000028879	Stx12	1644	1049	1351	912	641	608
ENSMUSG00000028882	Ppp1r8	249	150	170	155	68	120
ENSMUSG00000028883	Sema3a	8	5	9	0	15	0
ENSMUSG00000028884	Rpa2	154	186	300	132	64	103
ENSMUSG00000028885	Smpdl3b	199	108	224	101	70	89
ENSMUSG00000028886	Eya3	1647	1317	1480	1064	767	912
ENSMUSG00000028889	Yrdc	106	56	92	56	16	60
ENSMUSG00000028890	Mtf1	1137	867	1085	893	626	710
ENSMUSG00000028893	Sesn2	344	133	219	221	65	192
ENSMUSG00000028894	Inpp5b	1306	798	1148	842	445	675
ENSMUSG00000028896	Rcc1	112	84	101	96	40	60
ENSMUSG00000028898	Trnau1ap	191	164	217	195	138	123
ENSMUSG00000028899	Taf12	187	169	225	229	165	166
ENSMUSG00000028901	Gmeb1	1243	1112	1264	1478	838	1246
ENSMUSG00000028902	Sf3a3	436	290	452	289	98	266
ENSMUSG00000028906	Epb41	2654	1953	3093	1420	983	1188
ENSMUSG00000028907	Utp11l	544	535	553	424	223	424
ENSMUSG00000028909	Ptpru	69	65	57	15	28	24
ENSMUSG00000028910	Mecr	417	356	402	314	110	185
ENSMUSG00000028911	Srsf4	453	393	473	412	231	255
ENSMUSG00000028914	Casp9	693	462	535	465	195	306
ENSMUSG00000028917	Plekhm2	2158	1748	2225	1374	748	746
ENSMUSG00000028919	Arhgef19	3	5	20	11	19	10
ENSMUSG00000028920	Fbxo42	1178	955	1327	683	488	555
ENSMUSG00000028923	Necap2	928	709	979	689	331	645
ENSMUSG00000028926	Cdk14	1390	970	1638	1215	856	930
ENSMUSG00000028927	Padi2	1102	721	1185	1863	917	1729
ENSMUSG00000028931	Kcnab2	385	237	276	8	37	14
ENSMUSG00000028932	Psmc2	765	516	658	581	332	411
ENSMUSG00000028933	Xrcc2	130	151	131	84	44	59
ENSMUSG00000028936	Rpl22	687	569	1031	350	395	256
ENSMUSG00000028937	Acot7	33	25	54	30	21	32
ENSMUSG00000028938	Galntl5	0	4	0	0	28	0
ENSMUSG00000028943	Espn	77	55	90	33	73	26
ENSMUSG00000028944	Prkag2	562	425	580	297	188	187
ENSMUSG00000028945	Rheb	1421	833	1257	783	436	374
ENSMUSG00000028946	Hes3	0	0	2	0	0	0
ENSMUSG00000028948	Nol9	492	402	461	363	190	270
ENSMUSG00000028949	Smarcd3	24	32	40	25	25	19
ENSMUSG00000028950	Tas1r1	0	2	3	0	5	2
ENSMUSG00000028952	Zbtb48	236	173	204	156	80	144
ENSMUSG00000028953	Abcf2	354	383	439	347	177	278
ENSMUSG00000028954	Nub1	716	542	769	639	246	406
ENSMUSG00000028955	Vamp3	1077	665	1312	678	296	458
ENSMUSG00000028957	Per3	1138	966	1258	1398	587	1106
ENSMUSG00000028958	Tmub1	21	29	39	40	18	19
ENSMUSG00000028959	Fastk	672	495	609	595	237	322
ENSMUSG00000028960	Ube4b	3286	2727	3414	2400	1494	2388
ENSMUSG00000028961	Pgd	2869	2339	2611	1730	884	1134
ENSMUSG00000028962	Slc4a2	748	697	837	811	490	621
ENSMUSG00000028963	Uts2	7	0	1	2	0	3
ENSMUSG00000028964	Park7	192	131	118	108	126	77
ENSMUSG00000028965	Tnfrsf9	17	5	21	2	4	0
ENSMUSG00000028967	Errfi1	4351	3270	4639	1491	845	1202
ENSMUSG00000028969	Cdk5	342	278	356	317	186	188
ENSMUSG00000028970	Abcb1b	2097	1311	1504	1058	438	659
ENSMUSG00000028971	Cort	6	5	5	6	0	5
ENSMUSG00000028972	Car6	0	0	1	0	1	2
ENSMUSG00000028973	Abcb8	309	251	332	266	159	186
ENSMUSG00000028974	Dffa	185	297	213	166	105	187
ENSMUSG00000028975	Pex14	201	148	179	187	86	120
ENSMUSG00000028976	Slc2a5	145	76	383	2317	1557	2877
ENSMUSG00000028977	Casz1	208	177	239	76	60	74
ENSMUSG00000028978	Nos3	26	2	17	5	7	3
ENSMUSG00000028979	Masp2	37	46	25	27	6	39
ENSMUSG00000028980	H6pd	818	696	1051	1653	697	1548
ENSMUSG00000028982	Slc25a33	259	207	360	156	100	69
ENSMUSG00000028986	Klhl7	414	352	349	991	148	563
ENSMUSG00000028988	Ctnnbip1	87	29	71	103	27	54
ENSMUSG00000028989	Angptl7	208	118	106	171	107	155
ENSMUSG00000028990	Lzic	388	249	332	277	144	179
ENSMUSG00000028991	Mtor	2701	2463	2623	2251	1032	1828
ENSMUSG00000028992	Nmnat1	122	72	90	52	116	61
ENSMUSG00000028995	Fam126a	1228	714	1238	866	339	649
ENSMUSG00000028996	Rbp7	0	0	1	1	0	0
ENSMUSG00000028998	Tomm7	37	30	70	24	174	29
ENSMUSG00000028999	Rint1	667	583	777	508	423	488
ENSMUSG00000029001	Fbxo44	115	83	97	50	115	52
ENSMUSG00000029003	Mad2l2	157	184	268	135	124	200
ENSMUSG00000029004	Kmt2e	13159	10885	12646	9562	8279	7821
ENSMUSG00000029007	Agtrap	403	254	310	242	92	141
ENSMUSG00000029009	Mthfr	1157	828	1201	553	358	461
ENSMUSG00000029012	Orc5	322	358	363	336	91	264
ENSMUSG00000029014	Dnajc2	527	448	619	417	286	368
ENSMUSG00000029015	Slc26a5	0	0	0	0	18	0
ENSMUSG00000029016	Clcn6	1542	1130	1393	968	403	850
ENSMUSG00000029017	Pmpcb	641	528	699	593	237	431
ENSMUSG00000029020	Mfn2	981	746	1323	667	551	633
ENSMUSG00000029022	Miip	390	350	371	288	657	257
ENSMUSG00000029026	Trp73	0	0	0	0	1	7
ENSMUSG00000029027	Dffb	96	61	28	54	29	22
ENSMUSG00000029028	Lrrc47	78	51	66	78	74	50
ENSMUSG00000029029	Wrap73	185	269	361	336	188	276
ENSMUSG00000029030	Tprgl	475	459	774	522	505	552
ENSMUSG00000029032	Arhgef16	5	2	0	5	1	3
ENSMUSG00000029033	Acap3	372	189	265	266	134	185
ENSMUSG00000029034	Cpsf3l	276	295	337	361	103	165
ENSMUSG00000029036	Atad3a	704	520	718	556	320	432
ENSMUSG00000029038	Ssu72	554	393	394	428	265	265
ENSMUSG00000029047	Pex10	391	335	496	484	199	369
ENSMUSG00000029048	Rer1	740	574	856	587	383	428
ENSMUSG00000029049	Morn1	207	192	202	402	148	206
ENSMUSG00000029050	Ski	10264	8971	10974	12136	9616	9838
ENSMUSG00000029053	Prkcz	344	275	343	119	71	111
ENSMUSG00000029054	Gabrd	43	16	19	11	7	10
ENSMUSG00000029055	Plch2	19	16	42	25	24	8
ENSMUSG00000029056	Pank4	614	550	677	612	264	385
ENSMUSG00000029059	Fam213b	106	109	102	64	40	52
ENSMUSG00000029060	Mib2	882	947	961	1422	625	1056
ENSMUSG00000029061	Mmp23	221	264	214	289	137	153
ENSMUSG00000029062	Cdk11b	2895	2512	2787	1884	1098	1088
ENSMUSG00000029063	Nadk	2434	1812	2468	822	739	636
ENSMUSG00000029064	Gnb1	5787	4209	5710	3362	1483	2561
ENSMUSG00000029066	Mrpl20	77	56	61	39	16	27
ENSMUSG00000029068	Ccnl2	3994	2765	3497	2376	1061	1632
ENSMUSG00000029070	Mxra8	67	54	49	27	25	11
ENSMUSG00000029071	Dvl1	507	486	565	446	254	383
ENSMUSG00000029072	Tas1r3	217	190	270	151	119	139
ENSMUSG00000029073	Cptp	157	102	150	81	33	110
ENSMUSG00000029074	Ttll10	3	4	5	0	6	5
ENSMUSG00000029075	Tnfrsf4	5	30	28	49	44	17
ENSMUSG00000029076	Sdf4	1574	1201	1919	1267	1211	1134
ENSMUSG00000029082	Bst1	136	42	160	1	20	0
ENSMUSG00000029084	Cd38	1685	933	1778	177	264	58
ENSMUSG00000029086	Prom1	184	79	219	24	40	42
ENSMUSG00000029088	Kcnip4	122	76	83	93	38	72
ENSMUSG00000029089	5730480H06Rik	830	682	598	753	311	512
ENSMUSG00000029090	Adgra3	49	28	84	392	116	280
ENSMUSG00000029092	D5Ertd615e	7	0	2	5	0	0
ENSMUSG00000029093	Sorcs2	40	15	16	0	18	0
ENSMUSG00000029094	Afap1	183	75	246	292	334	274
ENSMUSG00000029095	Ablim2	190	95	143	66	107	44
ENSMUSG00000029096	Htra3	64	53	69	299	197	330
ENSMUSG00000029097	Trmt44	391	323	299	361	198	240
ENSMUSG00000029098	Acox3	4816	4587	5284	6613	3250	4945
ENSMUSG00000029101	Rgs12	128	95	129	129	118	105
ENSMUSG00000029102	Hgfac	0	0	13	0	8	2
ENSMUSG00000029103	Lrpap1	762	590	886	461	363	396
ENSMUSG00000029104	Htt	6049	4955	5821	4640	2486	3484
ENSMUSG00000029106	Add1	3554	3088	3523	2424	1621	1771
ENSMUSG00000029108	Pcdh7	89	31	137	8	63	21
ENSMUSG00000029110	Rnf4	1679	1351	1702	901	615	797
ENSMUSG00000029111	Nelfa	1532	1385	1526	1514	549	1197
ENSMUSG00000029119	Man2b2	2643	2722	2762	3183	1901	3196
ENSMUSG00000029120	Ppp2r2c	73	31	107	14	46	25
ENSMUSG00000029121	Crmp1	17	12	22	7	44	3
ENSMUSG00000029122	Evc	6	2	6	0	17	1
ENSMUSG00000029123	Stk32b	0	0	0	0	0	3
ENSMUSG00000029125	Stx18	363	317	268	340	145	262
ENSMUSG00000029126	Nsg1	89	57	51	79	45	63
ENSMUSG00000029127	Zbtb49	398	429	420	498	219	474
ENSMUSG00000029128	Rab28	286	179	330	158	164	124
ENSMUSG00000029130	Rnf32	60	39	36	25	11	24
ENSMUSG00000029131	Dnajb6	1243	640	1006	582	207	409
ENSMUSG00000029134	Plb1	0	10	1	21	154	4
ENSMUSG00000029135	Fosl2	21200	9589	21156	3248	3217	1476
ENSMUSG00000029136	Rbks	505	344	453	320	224	214
ENSMUSG00000029138	4930548H24Rik	4	4	3	1	1	1
ENSMUSG00000029141	Slc4a1ap	825	635	886	466	281	392
ENSMUSG00000029145	Eif2b4	111	66	115	125	107	133
ENSMUSG00000029146	Snx17	811	673	807	1036	591	1031
ENSMUSG00000029147	Ppm1g	862	613	822	570	409	419
ENSMUSG00000029148	Nrbp1	2636	1902	2516	1746	802	1387
ENSMUSG00000029149	Krtcap3	93	70	65	84	24	53
ENSMUSG00000029151	Slc30a3	27	15	30	2	7	3
ENSMUSG00000029152	Ociad1	1113	833	1088	842	660	729
ENSMUSG00000029153	Ociad2	51	24	52	25	37	27
ENSMUSG00000029155	Spata18	1	0	14	2	14	5
ENSMUSG00000029156	Sgcb	386	423	297	219	77	188
ENSMUSG00000029161	Cgref1	24	18	35	104	11	54
ENSMUSG00000029162	Khk	181	149	235	280	116	148
ENSMUSG00000029163	Emilin1	158	143	149	35	26	10
ENSMUSG00000029165	Agbl5	889	840	859	807	247	640
ENSMUSG00000029166	Mapre3	260	292	393	268	168	322
ENSMUSG00000029167	Ppargc1a	69	39	45	39	37	35
ENSMUSG00000029168	Dpysl5	5	3	33	29	19	21
ENSMUSG00000029169	Dhx15	2417	1791	2769	1841	802	1574
ENSMUSG00000029171	Pgm1	412	273	352	268	179	183
ENSMUSG00000029173	Sepsecs	507	337	450	356	199	250
ENSMUSG00000029174	Tbc1d1	1192	755	1180	617	431	505
ENSMUSG00000029175	Slc35f6	1213	943	1223	669	608	599
ENSMUSG00000029176	Anapc4	1014	808	907	752	331	595
ENSMUSG00000029177	Cenpa	3550	2867	4492	455	729	269
ENSMUSG00000029178	Klf3	9148	6119	8731	6725	5191	6556
ENSMUSG00000029179	Zcchc4	661	684	713	486	160	354
ENSMUSG00000029185	Fam114a1	597	449	614	309	331	309
ENSMUSG00000029186	Pi4k2b	503	392	481	140	99	44
ENSMUSG00000029188	Slc34a2	0	3	0	0	8	0
ENSMUSG00000029189	Sel1l3	6	15	7	14	2	2
ENSMUSG00000029190	D5Ertd579e	3347	2517	2736	2375	1117	1850
ENSMUSG00000029191	Rfc1	980	860	1053	684	338	537
ENSMUSG00000029192	Tbc1d14	2857	2275	2638	2495	1167	1828
ENSMUSG00000029193	Cckar	0	2	0	0	19	0
ENSMUSG00000029195	Klb	3	1	2	3	0	3
ENSMUSG00000029196	Tada2b	308	218	271	244	189	220
ENSMUSG00000029198	Grpel1	212	172	250	199	68	170
ENSMUSG00000029199	Lias	297	228	382	279	139	190
ENSMUSG00000029201	Ugdh	770	616	891	519	408	406
ENSMUSG00000029202	Pds5a	5138	4423	5062	4305	1840	3342
ENSMUSG00000029203	Ube2k	2062	1244	1709	1140	640	840
ENSMUSG00000029204	Rhoh	3911	3226	3460	5479	1904	3984
ENSMUSG00000029205	Chrna9	5	4	4	3	0	2
ENSMUSG00000029206	Nsun7	20	22	14	15	9	12
ENSMUSG00000029207	Apbb2	2438	2377	2475	3333	2204	2836
ENSMUSG00000029208	Guf1	653	508	517	423	120	323
ENSMUSG00000029209	Gnpda2	312	424	263	355	128	291
ENSMUSG00000029211	Gabra4	13	6	25	5	1	3
ENSMUSG00000029212	Gabrb1	136	102	145	178	78	133
ENSMUSG00000029213	Commd8	949	684	767	1489	423	1005
ENSMUSG00000029217	Tec	3631	3192	3572	1837	991	1329
ENSMUSG00000029219	Slc10a4	0	0	0	0	0	3
ENSMUSG00000029221	Slc30a9	3084	2788	2783	1897	956	1592
ENSMUSG00000029223	Uchl1	1	1	0	12	4	2
ENSMUSG00000029227	Fip1l1	1713	1564	1894	1462	876	1137
ENSMUSG00000029228	Lnx1	29	29	13	9	14	5
ENSMUSG00000029229	Chic2	746	653	660	832	372	586
ENSMUSG00000029231	Pdgfra	9	1	14	9	2	2
ENSMUSG00000029233	Srd5a3	259	197	205	209	95	156
ENSMUSG00000029234	Tmem165	547	487	463	358	183	314
ENSMUSG00000029235	Pdcl2	0	0	1	0	0	1
ENSMUSG00000029238	Clock	2745	2376	2754	2126	1099	1639
ENSMUSG00000029245	Epha5	33	3	30	13	37	21
ENSMUSG00000029246	Ppat	208	247	414	231	94	228
ENSMUSG00000029247	Paics	659	644	1052	525	657	600
ENSMUSG00000029248	Thegl	1	3	8	2	1	5
ENSMUSG00000029249	Rest	1153	853	1059	700	524	629
ENSMUSG00000029250	Polr2b	784	622	820	547	229	553
ENSMUSG00000029253	Cenpc1	896	753	882	399	338	366
ENSMUSG00000029254	Stap1	8609	3849	8075	191	975	51
ENSMUSG00000029255	Gnrhr	10	0	0	0	0	0
ENSMUSG00000029263	Pigg	393	283	325	275	172	242
ENSMUSG00000029265	Dr1	368	262	567	235	95	190
ENSMUSG00000029267	Mtf2	755	545	604	588	233	379
ENSMUSG00000029270	Fam69a	131	102	177	90	65	102
ENSMUSG00000029275	Gfi1	11	4	16	1	3	0
ENSMUSG00000029276	Glmn	300	232	193	214	87	161
ENSMUSG00000029279	Brdt	18	31	37	24	6	27
ENSMUSG00000029282	Amtn	0	2	9	24	2	15
ENSMUSG00000029283	Cdc7	60	87	71	41	19	33
ENSMUSG00000029286	Enam	9	4	5	33	20	28
ENSMUSG00000029287	Tgfbr3	47	41	89	13	44	27
ENSMUSG00000029288	Ambn	2	20	3	13	1	8
ENSMUSG00000029290	Zfp326	1557	1315	1419	1260	347	990
ENSMUSG00000029291	Rufy3	2751	2350	2520	1871	746	1429
ENSMUSG00000029298	Gbp9	1418	1167	1505	1017	317	763
ENSMUSG00000029299	Abcg3	382	308	447	155	75	87
ENSMUSG00000029304	Spp1	776	1055	1052	119	171	75
ENSMUSG00000029307	Dmp1	6	0	0	0	0	0
ENSMUSG00000029309	Sparcl1	455	162	575	132	301	175
ENSMUSG00000029310	Nudt9	471	291	450	319	161	236
ENSMUSG00000029311	Hsd17b11	1422	1022	1535	825	501	747
ENSMUSG00000029312	Klhl8	217	249	182	117	86	130
ENSMUSG00000029313	Aff1	6814	4399	8071	4905	2990	4232
ENSMUSG00000029314	Agpat9	23	17	14	0	1	0
ENSMUSG00000029319	Coq2	383	330	546	443	212	338
ENSMUSG00000029320	1700016H13Rik	0	1	2	0	1	0
ENSMUSG00000029321	Slc10a6	71	3	2	5	136	5
ENSMUSG00000029322	Plac8	103	50	162	17	20	27
ENSMUSG00000029326	Enoph1	251	168	174	241	34	164
ENSMUSG00000029328	Hnrnpdl	2635	1763	2315	2025	484	1160
ENSMUSG00000029330	Cds1	798	600	1084	2458	1197	1921
ENSMUSG00000029331	4930522N08Rik	0	4	0	0	3	0
ENSMUSG00000029334	Prkg2	4	1	0	2	1	9
ENSMUSG00000029335	Bmp3	1	3	11	0	3	1
ENSMUSG00000029337	Fgf5	0	2	0	0	0	0
ENSMUSG00000029338	Antxr2	2384	1233	2070	84	291	57
ENSMUSG00000029343	Crybb1	369	450	702	1725	773	1628
ENSMUSG00000029344	Tpst2	1238	1133	1181	1387	936	1106
ENSMUSG00000029345	Tfip11	513	338	373	326	159	296
ENSMUSG00000029346	Srrd	150	143	177	121	58	90
ENSMUSG00000029348	Asphd2	13	5	13	37	21	19
ENSMUSG00000029352	Crybb3	4	18	10	2	18	5
ENSMUSG00000029359	Tesc	60	45	37	40	14	34
ENSMUSG00000029360	Gm9754	95	102	102	67	44	82
ENSMUSG00000029361	Nos1	28	15	23	22	12	6
ENSMUSG00000029363	Rfc5	402	328	400	366	184	308
ENSMUSG00000029364	Wsb2	594	480	554	698	220	311
ENSMUSG00000029366	Dck	1016	513	1164	182	180	135
ENSMUSG00000029368	Alb	0	5	13	82	10	44
ENSMUSG00000029369	Afm	0	10	4	100	36	68
ENSMUSG00000029370	Rassf6	0	0	1	0	46	0
ENSMUSG00000029372	Ppbp	13	15	2	0	1	0
ENSMUSG00000029373	Pf4	1069	693	1296	155	173	70
ENSMUSG00000029376	Mthfd2l	192	110	94	86	40	90
ENSMUSG00000029378	Areg	32	7	24	3	5	1
ENSMUSG00000029379	Cxcl3	7	2	3	2	1	0
ENSMUSG00000029380	Cxcl1	62	19	93	7	9	4
ENSMUSG00000029381	Shroom3	4	3	10	3	7	8
ENSMUSG00000029384	2010109A12Rik	25	16	11	28	4	41
ENSMUSG00000029385	Ccng2	1332	1055	1275	1740	510	1368
ENSMUSG00000029386	Tctn2	11	4	14	8	17	9
ENSMUSG00000029387	Gtf2h3	85	69	120	65	70	46
ENSMUSG00000029388	Eif2b1	158	159	160	121	47	124
ENSMUSG00000029389	Ddx55	428	334	512	355	155	259
ENSMUSG00000029390	Tmed2	260	154	208	179	89	125
ENSMUSG00000029392	Rilpl1	399	385	513	905	349	685
ENSMUSG00000029394	Cdk2ap1	149	124	172	275	225	231
ENSMUSG00000029397	Rchy1	754	364	721	268	147	252
ENSMUSG00000029401	Rilpl2	906	372	1013	172	199	115
ENSMUSG00000029402	Snrnp35	173	107	152	249	351	206
ENSMUSG00000029403	Cdkl2	14	17	9	10	2	5
ENSMUSG00000029404	Arl6ip4	187	149	170	199	106	89
ENSMUSG00000029405	G3bp2	1019	771	946	677	354	458
ENSMUSG00000029406	Pitpnm2	174	65	146	68	84	55
ENSMUSG00000029407	Uso1	1698	1427	1909	1891	973	1318
ENSMUSG00000029408	Abcb9	50	44	42	53	34	58
ENSMUSG00000029409	U90926	0	2	2	2	0	0
ENSMUSG00000029410	Ppef2	14	4	17	48	20	14
ENSMUSG00000029413	Naaa	258	92	270	143	77	100
