Geneid	SYM	BMP5.1	BMP5.2	BMP5.3	Control1	Control2	Control3
ENSG00000105290	APLP1	33	62	57	43	46	40
ENSG00000084234	APLP2	4769	5063	5713	5513	5426	5375
ENSG00000101474	APMAP	1507	1681	1765	1611	1677	1752
ENSG00000118137	APOA1	1	2	0	0	1	0
ENSG00000235910	APOA1-AS	0	0	0	0	0	0
ENSG00000163382	APOA1BP	1017	1031	1168	1225	1143	1381
ENSG00000158874	APOA2	0	0	0	0	0	0
ENSG00000110244	APOA4	0	0	0	0	0	0
ENSG00000110243	APOA5	0	0	0	0	0	0
ENSG00000084674	APOB	0	0	0	0	0	0
ENSG00000111701	APOBEC1	12	9	7	5	3	10
ENSG00000124701	APOBEC2	0	0	0	0	1	0
ENSG00000128383	APOBEC3A	2	4	3	4	5	5
ENSG00000179750	APOBEC3B	191	204	244	323	298	305
ENSG00000249310	APOBEC3B-AS1	0	0	0	0	0	0
ENSG00000244509	APOBEC3C	2	3	4	1	1	1
ENSG00000243811	APOBEC3D	7	5	9	13	2	6
ENSG00000128394	APOBEC3F	3	6	3	12	18	9
ENSG00000239713	APOBEC3G	0	0	1	7	3	6
ENSG00000100298	APOBEC3H	0	0	0	0	0	0
ENSG00000173627	APOBEC4	0	0	0	0	0	0
ENSG00000184730	APOBR	4	6	7	7	7	2
ENSG00000130208	APOC1	20	24	26	32	30	54
ENSG00000214855	APOC1P1	0	2	0	0	0	1
ENSG00000234906	APOC2	0	0	0	0	0	1
ENSG00000110245	APOC3	3	1	1	0	2	1
ENSG00000267467	APOC4	0	0	0	0	0	0
ENSG00000224916	APOC4-APOC2	0	0	0	0	0	1
ENSG00000189058	APOD	9	8	15	23	16	25
ENSG00000130203	APOE	1	2	4	2	1	4
ENSG00000175336	APOF	0	0	0	0	0	0
ENSG00000091583	APOH	196	179	230	186	167	214
ENSG00000100342	APOL1	1822	1745	2282	2662	2551	2755
ENSG00000128335	APOL2	481	520	587	718	796	780
ENSG00000128284	APOL3	113	102	130	219	222	232
ENSG00000100336	APOL4	2	3	3	3	2	3
ENSG00000128313	APOL5	0	0	0	0	1	0
ENSG00000221963	APOL6	434	418	491	736	709	696
ENSG00000178878	APOLD1	45	28	45	45	43	42
ENSG00000204444	APOM	18	14	22	21	28	30
ENSG00000184831	APOO	78	79	109	100	79	77
ENSG00000155008	APOOL	142	132	135	132	99	123
ENSG00000270560	APOOP1	0	0	0	0	0	0
ENSG00000240902	APOOP2	0	0	0	0	0	0
ENSG00000255700	APOOP3	0	0	0	0	0	0
ENSG00000248122	APOOP4	2	1	0	1	0	1
ENSG00000260240	APOOP5	3	5	8	6	1	2
ENSG00000256053	APOPT1	155	178	187	170	155	178
ENSG00000142192	APP	4824	4938	6156	6134	5714	6181
ENSG00000062725	APPBP2	214	211	224	203	223	267
ENSG00000157500	APPL1	251	239	287	232	220	222
ENSG00000136044	APPL2	417	494	554	427	507	471
ENSG00000198931	APRT	1826	2246	2372	2467	2265	2822
ENSG00000214293	APTR	81	94	99	102	83	98
ENSG00000137074	APTX	305	364	393	349	391	429
ENSG00000240583	AQP1	151	151	157	177	219	180
ENSG00000143595	AQP10	0	0	0	1	0	0
ENSG00000178301	AQP11	28	23	20	39	14	30
ENSG00000184945	AQP12A	0	0	0	0	0	0
ENSG00000185176	AQP12B	0	0	0	0	0	0
ENSG00000167580	AQP2	0	0	0	0	0	1
ENSG00000165272	AQP3	348	431	461	428	455	466
ENSG00000171885	AQP4	0	0	0	0	0	0
ENSG00000260372	AQP4-AS1	0	0	0	0	0	0
ENSG00000161798	AQP5	286	337	391	365	324	369
ENSG00000086159	AQP6	5	2	3	8	4	3
ENSG00000165269	AQP7	10	7	5	9	8	4
ENSG00000186466	AQP7P1	1	3	2	1	3	3
ENSG00000181997	AQP7P2	0	1	2	2	2	0
ENSG00000279688	AQP7P3	0	0	0	1	1	0
ENSG00000176115	AQP7P4	0	0	0	0	0	0
ENSG00000103375	AQP8	0	0	0	1	0	0
ENSG00000103569	AQP9	0	0	0	0	0	0
ENSG00000021776	AQR	1017	1010	1127	948	985	1078
ENSG00000169083	AR	0	0	1	0	0	0
ENSG00000078061	ARAF	861	983	1116	1130	1044	1086
ENSG00000231264	ARAFP1	0	0	0	0	0	0
ENSG00000224368	ARAFP2	0	0	0	0	0	0
ENSG00000227298	ARAFP3	0	0	0	0	0	0
ENSG00000186635	ARAP1	1933	2176	2284	2352	2513	2431
ENSG00000047365	ARAP2	306	313	361	293	298	327
ENSG00000120318	ARAP3	4	3	7	3	3	7
ENSG00000198576	ARC	84	74	75	70	46	61
ENSG00000095139	ARCN1	2065	2061	2339	2147	2069	2122
ENSG00000109321	AREG	1278	1369	1584	1618	1506	1782
ENSG00000119682	AREL1	430	427	534	586	576	550
ENSG00000143761	ARF1	6404	7385	8302	7901	7955	8490
ENSG00000219807	ARF1P1	1	0	2	0	1	1
ENSG00000213137	ARF1P2	13	6	5	9	9	12
ENSG00000253885	ARF1P3	0	0	0	0	0	0
ENSG00000134287	ARF3	2996	2972	3435	3460	3569	3382
ENSG00000168374	ARF4	1271	1177	1434	1135	1193	1386
ENSG00000271525	ARF4P1	18	29	30	24	25	47
ENSG00000236527	ARF4P2	0	0	1	1	1	0
ENSG00000214051	ARF4P3	2	4	3	4	1	2
ENSG00000231222	ARF4P4	0	0	0	0	0	0
ENSG00000004059	ARF5	1762	1965	2107	1985	2081	2071
ENSG00000165527	ARF6	1085	1141	1303	1230	1093	1187
ENSG00000101199	ARFGAP1	904	1044	1092	1226	1156	1124
ENSG00000149182	ARFGAP2	1202	1438	1582	1604	1582	1588
ENSG00000242247	ARFGAP3	216	234	227	231	227	233
ENSG00000066777	ARFGEF1	1009	1054	1231	1031	964	1039
ENSG00000124198	ARFGEF2	1245	1268	1539	1460	1403	1469
ENSG00000112379	ARFGEF3	600	722	754	634	659	624
ENSG00000164144	ARFIP1	411	386	513	407	442	423
ENSG00000132254	ARFIP2	1450	1733	1797	1801	1711	1921
ENSG00000101246	ARFRP1	335	428	405	377	407	416
ENSG00000118520	ARG1	0	0	0	0	0	0
ENSG00000081181	ARG2	44	46	41	54	52	61
ENSG00000186103	ARGFX	0	0	0	0	0	1
ENSG00000240058	ARGFXP1	0	2	0	0	0	0
ENSG00000265293	ARGFXP2	0	0	0	0	0	0
ENSG00000134884	ARGLU1	1714	1794	1857	1758	1776	1763
ENSG00000175220	ARHGAP1	607	695	773	732	703	790
ENSG00000071205	ARHGAP10	95	126	139	117	112	134
ENSG00000198826	ARHGAP11A	878	777	949	817	848	870
ENSG00000187951	ARHGAP11B	62	63	57	118	76	105
ENSG00000165322	ARHGAP12	772	765	878	773	735	826
ENSG00000075884	ARHGAP15	0	0	0	0	0	0
ENSG00000140750	ARHGAP17	320	325	358	340	435	383
ENSG00000146376	ARHGAP18	1125	1085	1181	1050	1085	1084
ENSG00000213390	ARHGAP19	116	137	116	120	111	108
ENSG00000269891	ARHGAP19-SLIT1	21	19	20	25	21	24
ENSG00000137727	ARHGAP20	0	0	0	0	0	0
ENSG00000107863	ARHGAP21	841	856	978	958	874	1011
ENSG00000128805	ARHGAP22	6	1	1	1	0	1
ENSG00000273780	ARHGAP23	5031	5655	6467	6261	6027	6076
ENSG00000260781	ARHGAP23P1	74	88	71	264	201	213
ENSG00000138639	ARHGAP24	13	13	23	26	16	29
ENSG00000163219	ARHGAP25	0	0	0	0	0	0
ENSG00000145819	ARHGAP26	751	861	909	833	848	885
ENSG00000226272	ARHGAP26-AS1	0	1	0	1	0	0
ENSG00000230789	ARHGAP26-IT1	1	0	0	1	0	0
ENSG00000159314	ARHGAP27	955	1156	1253	1183	1205	1206
ENSG00000088756	ARHGAP28	0	0	0	0	0	0
ENSG00000137962	ARHGAP29	810	818	913	772	785	875
ENSG00000186517	ARHGAP30	2	3	1	3	5	4
ENSG00000031081	ARHGAP31	4	4	1	7	11	1
ENSG00000241155	ARHGAP31-AS1	0	0	0	0	0	2
ENSG00000134909	ARHGAP32	2282	2421	2883	2831	2658	2851
ENSG00000004777	ARHGAP33	41	56	39	20	20	32
ENSG00000160007	ARHGAP35	2981	3228	3601	3311	3185	3365
ENSG00000147256	ARHGAP36	0	0	0	0	0	0
ENSG00000147799	ARHGAP39	135	168	176	135	116	174
ENSG00000089820	ARHGAP4	9	12	7	13	3	8
ENSG00000124143	ARHGAP40	0	0	0	0	0	0
ENSG00000165895	ARHGAP42	180	196	190	240	206	215
ENSG00000227817	ARHGAP42P1	4	5	2	5	3	3
ENSG00000231147	ARHGAP42P2	14	3	10	11	4	8
ENSG00000235759	ARHGAP42P3	0	0	0	1	0	3
ENSG00000258080	ARHGAP42P4	2	2	2	0	0	2
ENSG00000258233	ARHGAP42P5	1	2	1	2	0	0
ENSG00000006740	ARHGAP44	3	5	8	3	7	1
ENSG00000100852	ARHGAP5	849	779	839	769	683	761
ENSG00000258655	ARHGAP5-AS1	31	46	34	50	39	34
ENSG00000047648	ARHGAP6	3	5	5	8	5	8
ENSG00000241484	ARHGAP8	80	96	93	104	114	110
ENSG00000123329	ARHGAP9	0	0	1	4	7	5
ENSG00000141522	ARHGDIA	2706	3192	3505	3063	3079	3284
ENSG00000111348	ARHGDIB	174	220	237	189	223	214
ENSG00000242173	ARHGDIG	9	2	6	0	6	8
ENSG00000076928	ARHGEF1	1813	2314	2440	2295	2275	2322
ENSG00000104728	ARHGEF10	3	0	4	3	3	3
ENSG00000074964	ARHGEF10L	996	1050	1113	1216	1155	1149
ENSG00000132694	ARHGEF11	659	736	868	828	806	838
ENSG00000196914	ARHGEF12	2960	3116	3607	2832	2967	2987
ENSG00000198844	ARHGEF15	0	0	0	0	0	0
ENSG00000130762	ARHGEF16	1328	1591	1636	1595	1522	1655
ENSG00000110237	ARHGEF17	674	795	924	1013	930	970
ENSG00000104880	ARHGEF18	456	560	490	574	516	596
ENSG00000142632	ARHGEF19	338	429	379	430	389	421
ENSG00000116584	ARHGEF2	1445	1740	1855	1721	1711	1806
ENSG00000240771	ARHGEF25	0	0	0	1	0	1
ENSG00000114790	ARHGEF26	104	107	124	98	107	128
ENSG00000243069	ARHGEF26-AS1	1	2	3	1	1	2
ENSG00000214944	ARHGEF28	686	663	868	825	771	835
ENSG00000163947	ARHGEF3	145	181	199	184	163	143
ENSG00000240198	ARHGEF3-AS1	0	0	0	0	0	0
ENSG00000214694	ARHGEF33	0	0	1	0	0	0
ENSG00000204959	ARHGEF34P	203	278	246	286	295	270
ENSG00000213214	ARHGEF35	93	102	88	117	102	115
ENSG00000183111	ARHGEF37	27	46	43	55	36	50
ENSG00000236699	ARHGEF38	148	134	154	169	165	156
ENSG00000249885	ARHGEF38-IT1	0	0	2	0	0	1
ENSG00000137135	ARHGEF39	291	291	382	388	381	421
ENSG00000136002	ARHGEF4	1	0	3	3	2	0
ENSG00000165801	ARHGEF40	577	647	718	722	712	703
ENSG00000050327	ARHGEF5	420	419	520	498	519	499
ENSG00000129675	ARHGEF6	1	1	1	0	0	2
ENSG00000102606	ARHGEF7	726	726	876	858	852	842
ENSG00000227352	ARHGEF7-AS1	0	0	0	0	0	0
ENSG00000131089	ARHGEF9	107	124	125	92	123	97
ENSG00000231729	ARHGEF9-IT1	0	0	1	0	0	0
ENSG00000117713	ARID1A	1084	1214	1458	1478	1398	1353
ENSG00000049618	ARID1B	531	609	703	682	663	651
ENSG00000189079	ARID2	203	207	200	239	218	229
ENSG00000116017	ARID3A	36	60	72	65	75	60
ENSG00000179361	ARID3B	76	84	82	111	93	107
ENSG00000205143	ARID3C	0	0	0	0	0	0
ENSG00000032219	ARID4A	126	113	122	104	123	129
ENSG00000054267	ARID4B	397	332	378	381	317	347
ENSG00000196843	ARID5A	44	58	50	52	55	66
ENSG00000150347	ARID5B	357	385	377	400	364	406
ENSG00000166233	ARIH1	678	775	866	777	724	820
ENSG00000177479	ARIH2	702	808	913	936	860	904
ENSG00000221883	ARIH2OS	7	5	3	3	11	6
ENSG00000266296	ARIH2P1	31	26	19	27	27	29
ENSG00000120805	ARL1	544	552	598	496	564	558
ENSG00000175414	ARL10	0	0	0	0	0	0
ENSG00000152213	ARL11	4	3	2	8	12	3
ENSG00000174225	ARL13A	0	1	0	0	0	0
ENSG00000169379	ARL13B	146	184	149	149	159	150
ENSG00000179674	ARL14	142	177	180	172	159	171
ENSG00000152219	ARL14EP	173	182	214	198	181	242
ENSG00000268223	ARL14EPL	0	0	0	1	0	0
ENSG00000185305	ARL15	41	56	62	42	53	36
ENSG00000214087	ARL16	129	106	152	144	171	193
ENSG00000185829	ARL17A	68	69	70	82	68	60
ENSG00000228696	ARL17B	14	19	38	13	28	21
ENSG00000213465	ARL2	228	295	285	286	277	285
ENSG00000273003	ARL2-SNX15	115	133	130	141	146	146
ENSG00000102931	ARL2BP	182	191	224	200	217	233
ENSG00000265934	ARL2BPP1	0	0	0	0	1	0
ENSG00000225225	ARL2BPP10	0	0	0	0	0	0
ENSG00000258071	ARL2BPP2	0	0	0	0	0	0
ENSG00000215486	ARL2BPP3	0	0	0	0	0	0
ENSG00000249312	ARL2BPP4	0	0	0	0	0	0
ENSG00000254351	ARL2BPP5	0	0	0	0	0	0
ENSG00000248355	ARL2BPP6	0	0	0	0	0	0
ENSG00000230418	ARL2BPP7	0	1	0	0	0	0
ENSG00000263125	ARL2BPP8	0	0	0	0	0	0
ENSG00000138175	ARL3	227	248	277	253	221	290
ENSG00000122644	ARL4A	455	368	423	423	402	422
ENSG00000188042	ARL4C	193	213	256	180	158	180
ENSG00000175906	ARL4D	18	27	22	34	40	40
ENSG00000122872	ARL4P	2	4	3	4	1	3
ENSG00000162980	ARL5A	328	322	371	318	306	348
ENSG00000227864	ARL5AP1	1	1	0	0	1	0
ENSG00000236818	ARL5AP2	0	2	7	1	8	4
ENSG00000224806	ARL5AP4	10	11	8	7	7	12
ENSG00000165997	ARL5B	304	334	338	321	296	315
ENSG00000141748	ARL5C	0	0	0	1	0	0
ENSG00000113966	ARL6	93	93	98	103	62	97
ENSG00000170540	ARL6IP1	1606	1579	1790	1723	1777	1785
ENSG00000255664	ARL6IP1P1	1	1	0	1	0	1
ENSG00000225355	ARL6IP1P2	47	32	46	35	40	49
ENSG00000255014	ARL6IP1P3	18	17	21	13	19	17
ENSG00000182196	ARL6IP4	982	1166	1151	986	949	1109
ENSG00000144746	ARL6IP5	622	548	718	630	572	649
ENSG00000177917	ARL6IP6	228	204	207	194	242	243
ENSG00000143862	ARL8A	250	268	311	317	320	331
ENSG00000134108	ARL8B	242	249	314	295	233	277
ENSG00000196503	ARL9	4	3	8	13	5	8
ENSG00000104442	ARMC1	336	297	321	313	323	283
ENSG00000170632	ARMC10	326	335	389	294	290	363
ENSG00000178660	ARMC10P1	177	186	194	167	177	221
ENSG00000157343	ARMC12	2	1	3	2	1	1
ENSG00000118690	ARMC2	20	23	28	26	15	42
ENSG00000230290	ARMC2-AS1	0	0	0	0	0	0
ENSG00000165309	ARMC3	0	0	0	0	0	0
ENSG00000169126	ARMC4	0	0	0	0	0	0
ENSG00000238021	ARMC4P1	0	0	0	0	0	0
ENSG00000140691	ARMC5	171	237	221	197	203	199
ENSG00000105676	ARMC6	534	648	640	638	598	662
ENSG00000125449	ARMC7	230	259	299	273	256	293
ENSG00000114098	ARMC8	371	338	420	387	400	414
ENSG00000225254	ARMC8P1	3	2	5	2	3	4
ENSG00000135931	ARMC9	213	216	281	268	285	297
ENSG00000126947	ARMCX1	1	0	0	0	0	0
ENSG00000184867	ARMCX2	1	1	1	0	1	1
ENSG00000102401	ARMCX3	184	227	215	196	175	227
ENSG00000196440	ARMCX4	36	30	42	45	42	45
ENSG00000125962	ARMCX5	143	117	155	149	147	155
ENSG00000198960	ARMCX6	48	53	61	58	52	54
ENSG00000204072	ARMCX7P	2	6	5	1	4	3
ENSG00000254636	ARMS2	0	0	0	0	0	0
ENSG00000146476	ARMT1	241	217	255	217	201	260
ENSG00000143437	ARNT	196	198	243	282	221	246
ENSG00000172379	ARNT2	0	0	2	0	0	0
ENSG00000133794	ARNTL	151	133	166	159	156	189
ENSG00000029153	ARNTL2	764	757	856	756	672	776
ENSG00000245311	ARNTL2-AS1	0	0	0	0	0	0
ENSG00000241685	ARPC1A	1026	1115	1263	1208	1163	1242
ENSG00000130429	ARPC1B	2889	3107	3498	3199	3236	3380
ENSG00000163466	ARPC2	3910	4334	4542	4554	4556	4896
ENSG00000111229	ARPC3	1658	1637	1878	1752	1725	1933
ENSG00000226284	ARPC3P1	112	98	114	136	103	129
ENSG00000238137	ARPC3P2	15	13	19	18	16	13
ENSG00000214027	ARPC3P5	50	58	50	57	61	44
ENSG00000241553	ARPC4	883	947	963	942	967	1025
ENSG00000250151	ARPC4-TTLL3	171	203	218	210	216	195
ENSG00000162704	ARPC5	1195	1203	1456	1119	1156	1312
ENSG00000136950	ARPC5L	710	838	926	865	873	880
ENSG00000242498	ARPIN	259	253	288	286	272	281
ENSG00000128989	ARPP19	1032	905	1057	925	852	975
ENSG00000172995	ARPP21	0	0	0	0	0	0
ENSG00000120500	ARR3	0	0	0	0	0	0
ENSG00000137486	ARRB1	566	682	757	707	615	741
ENSG00000141480	ARRB2	370	408	479	516	434	511
ENSG00000197070	ARRDC1	626	774	799	831	805	854
ENSG00000203993	ARRDC1-AS1	61	70	66	58	57	61
ENSG00000105643	ARRDC2	416	497	547	591	577	584
ENSG00000113369	ARRDC3	282	284	295	248	235	270
ENSG00000281357	ARRDC3-AS1	2	7	6	11	7	10
ENSG00000140450	ARRDC4	236	277	259	270	292	310
ENSG00000205784	ARRDC5	0	0	0	0	0	0
ENSG00000100299	ARSA	57	83	79	86	88	95
ENSG00000113273	ARSB	42	41	51	45	58	46
ENSG00000006756	ARSD	440	481	472	429	402	442
ENSG00000225117	ARSDP1	0	0	4	3	1	0
ENSG00000157399	ARSE	291	308	306	350	340	320
ENSG00000224060	ARSEP1	2	7	8	11	5	11
ENSG00000062096	ARSF	0	0	0	0	0	0
ENSG00000232226	ARSFP1	0	0	0	0	0	0
ENSG00000141337	ARSG	46	27	28	40	35	45
ENSG00000205667	ARSH	1	2	1	2	1	3
ENSG00000183876	ARSI	0	1	4	5	3	3
ENSG00000180801	ARSJ	506	485	523	590	554	600
ENSG00000164291	ARSK	16	8	18	11	16	15
ENSG00000129744	ART1	0	0	0	0	0	0
ENSG00000238048	ART2P	0	0	0	0	0	0
ENSG00000156219	ART3	1	0	1	3	0	6
ENSG00000111339	ART4	0	0	0	0	0	0
ENSG00000167311	ART5	0	0	0	0	0	0
ENSG00000117407	ARTN	0	1	0	0	1	0
ENSG00000173409	ARV1	81	89	103	114	78	122
ENSG00000099889	ARVCF	844	1057	959	937	907	1005
ENSG00000004848	ARX	0	0	0	0	0	2
ENSG00000214435	AS3MT	2	0	0	1	0	0
ENSG00000104763	ASAH1	224	220	268	236	212	253
ENSG00000188611	ASAH2	20	44	25	39	32	35
ENSG00000204147	ASAH2B	73	83	83	94	89	109
ENSG00000153317	ASAP1	1021	1061	1257	1211	1141	1156
ENSG00000280543	ASAP1-IT2	0	1	0	1	2	0
ENSG00000151693	ASAP2	1673	1764	2064	1883	1959	2014
ENSG00000088280	ASAP3	17	23	21	16	24	21
ENSG00000065802	ASB1	362	405	437	462	475	437
ENSG00000146926	ASB10	0	0	0	0	0	0
ENSG00000165192	ASB11	0	0	0	0	0	0
ENSG00000198881	ASB12	1	1	0	1	0	0
ENSG00000196372	ASB13	558	604	652	671	711	724
ENSG00000239388	ASB14	0	0	0	0	0	0
ENSG00000146809	ASB15	0	0	0	0	0	0
ENSG00000161664	ASB16	1	0	0	0	0	0
ENSG00000267080	ASB16-AS1	67	69	63	61	64	76
ENSG00000154007	ASB17	0	0	0	0	0	0
ENSG00000182177	ASB18	0	0	0	0	0	0
ENSG00000100628	ASB2	1	1	0	0	1	2
ENSG00000005981	ASB4	0	2	1	1	0	1
ENSG00000164122	ASB5	0	0	0	0	0	0
ENSG00000148331	ASB6	262	281	307	295	352	317
ENSG00000183475	ASB7	373	350	434	432	414	394
ENSG00000177981	ASB8	161	167	166	174	198	186
ENSG00000102048	ASB9	0	3	2	4	1	3
ENSG00000258527	ASB9P1	0	0	0	0	0	0
ENSG00000138303	ASCC1	240	225	235	239	250	276
ENSG00000100325	ASCC2	1085	1192	1388	1423	1328	1415
ENSG00000112249	ASCC3	974	883	1058	803	780	877
ENSG00000139352	ASCL1	0	0	0	0	0	0
ENSG00000183734	ASCL2	36	40	36	45	46	33
ENSG00000176009	ASCL3	0	0	0	0	0	0
ENSG00000187855	ASCL4	0	0	0	0	0	0
ENSG00000232237	ASCL5	2	2	1	0	0	1
ENSG00000111875	ASF1A	185	172	187	163	152	200
ENSG00000105011	ASF1B	1115	984	1394	1364	1150	1393
ENSG00000141505	ASGR1	1	1	1	2	1	2
ENSG00000161944	ASGR2	4	0	3	1	0	1
ENSG00000116539	ASH1L	923	966	1064	982	946	944
ENSG00000235919	ASH1L-AS1	11	16	12	15	15	14
ENSG00000129691	ASH2L	178	163	183	198	191	233
ENSG00000224144	ASH2LP1	0	0	0	0	0	0
ENSG00000110881	ASIC1	314	351	456	431	476	486
ENSG00000108684	ASIC2	0	0	0	0	0	0
ENSG00000213199	ASIC3	7	13	16	24	14	6
ENSG00000072182	ASIC4	0	0	1	0	1	0
ENSG00000256394	ASIC5	0	0	0	0	0	0
ENSG00000101440	ASIP	0	0	0	0	0	0
ENSG00000126522	ASL	1184	1386	1506	1323	1205	1444
ENSG00000244723	ASLP1	12	10	13	16	16	7
ENSG00000196433	ASMT	0	0	0	0	0	0
ENSG00000169093	ASMTL	0	0	0	0	0	0
ENSG00000236017	ASMTL-AS1	0	0	0	0	0	0
ENSG00000198356	ASNA1	501	569	696	751	699	731
ENSG00000070669	ASNS	342	394	404	458	455	480
ENSG00000138381	ASNSD1	325	315	355	291	271	301
ENSG00000248498	ASNSP1	1	2	0	7	1	3
ENSG00000236554	ASNSP3	1	0	0	0	0	0
ENSG00000251470	ASNSP4	1	0	0	1	0	1
ENSG00000267333	ASNSP6	0	0	0	0	0	0
ENSG00000108381	ASPA	0	0	0	0	0	0
ENSG00000204653	ASPDH	0	0	0	0	0	0
ENSG00000166183	ASPG	0	0	0	0	0	0
ENSG00000198363	ASPH	3012	3204	3564	2727	2710	2957
ENSG00000174939	ASPHD1	156	156	165	160	186	182
ENSG00000128203	ASPHD2	11	5	5	16	13	8
ENSG00000066279	ASPM	728	660	709	710	645	617
ENSG00000106819	ASPN	0	0	0	0	0	0
ENSG00000244617	ASPRV1	28	36	27	24	23	29
ENSG00000169696	ASPSCR1	222	229	268	286	255	270
ENSG00000162174	ASRGL1	233	266	311	317	270	287
ENSG00000130707	ASS1	448	452	566	565	504	565
ENSG00000220517	ASS1P1	11	6	10	11	9	15
ENSG00000215325	ASS1P10	6	5	3	5	4	6
ENSG00000225308	ASS1P11	7	7	12	12	12	18
ENSG00000237437	ASS1P12	5	9	6	4	11	10
ENSG00000223922	ASS1P2	0	3	2	3	1	1
ENSG00000213487	ASS1P4	0	0	0	0	1	0
ENSG00000227881	ASS1P5	4	0	1	1	2	2
ENSG00000215583	ASS1P6	0	0	0	0	2	0
ENSG00000236893	ASS1P7	2	1	5	5	3	5
ENSG00000217791	ASS1P9	7	6	6	10	6	6
ENSG00000034533	ASTE1	62	68	60	63	56	57
ENSG00000188886	ASTL	5	2	4	3	6	2
ENSG00000152092	ASTN1	0	0	0	0	0	0
ENSG00000148219	ASTN2	35	33	33	40	30	45
ENSG00000229105	ASTN2-AS1	0	0	0	0	0	0
ENSG00000064102	ASUN	645	655	710	608	617	601
ENSG00000171456	ASXL1	2056	2235	2512	2571	2458	2590
ENSG00000143970	ASXL2	579	678	801	676	678	699
ENSG00000141431	ASXL3	0	0	0	0	0	0
ENSG00000154438	ASZ1	0	0	0	1	0	0
ENSG00000138138	ATAD1	642	559	676	672	684	697
ENSG00000156802	ATAD2	3737	3618	3967	3344	3268	3321
ENSG00000119778	ATAD2B	126	119	138	140	109	124
ENSG00000197785	ATAD3A	982	908	1020	1012	976	1074
ENSG00000160072	ATAD3B	640	1025	1006	798	937	943
ENSG00000215915	ATAD3C	161	214	118	169	138	123
ENSG00000176208	ATAD5	123	109	112	102	109	99
ENSG00000137343	ATAT1	174	200	203	233	216	217
ENSG00000167654	ATCAY	0	0	0	0	0	0
ENSG00000107669	ATE1	686	678	737	620	677	680
ENSG00000226864	ATE1-AS1	1	3	2	3	2	4
ENSG00000123268	ATF1	339	302	323	314	262	347
ENSG00000219387	ATF1P1	0	0	0	0	0	0
ENSG00000115966	ATF2	298	304	275	277	306	308
ENSG00000162772	ATF3	160	193	196	195	210	182
ENSG00000128272	ATF4	2680	3105	3163	3381	3342	3704
ENSG00000213338	ATF4P1	2	6	9	3	1	7
ENSG00000273041	ATF4P2	2	8	3	3	7	4
ENSG00000228218	ATF4P3	126	104	145	176	169	195
ENSG00000256167	ATF4P4	91	102	103	110	107	121
ENSG00000169136	ATF5	614	761	759	780	850	892
ENSG00000118217	ATF6	637	672	666	629	635	718
ENSG00000168468	ATF6B	1149	1285	1434	1496	1518	1455
ENSG00000170653	ATF7	274	315	348	305	338	350
ENSG00000171681	ATF7IP	381	406	432	425	424	423
ENSG00000166669	ATF7IP2	0	0	0	2	3	1
ENSG00000152348	ATG10	30	55	56	57	55	61
ENSG00000123395	ATG101	511	500	593	603	630	653
ENSG00000145782	ATG12	278	315	299	300	281	309
ENSG00000224121	ATG12P2	0	0	0	0	0	0
ENSG00000175224	ATG13	1438	1609	1713	1701	1759	1828
ENSG00000126775	ATG14	102	72	97	77	88	104
ENSG00000085978	ATG16L1	353	415	433	433	401	468
ENSG00000168010	ATG16L2	130	151	165	142	172	175
ENSG00000110046	ATG2A	500	657	638	654	609	603
ENSG00000066739	ATG2B	173	165	232	156	177	191
ENSG00000144848	ATG3	865	846	969	885	918	897
ENSG00000224357	ATG3P1	0	0	0	0	0	0
ENSG00000101844	ATG4A	77	93	88	67	79	80
ENSG00000168397	ATG4B	726	796	904	938	819	890
ENSG00000125703	ATG4C	31	18	24	25	22	31
ENSG00000130734	ATG4D	172	235	246	199	230	232
ENSG00000057663	ATG5	425	434	480	415	437	453
ENSG00000197548	ATG7	229	192	250	260	212	231
ENSG00000198925	ATG9A	1077	1160	1310	1386	1338	1327
ENSG00000181652	ATG9B	16	10	25	14	24	13
ENSG00000142102	ATHL1	842	946	947	1084	1110	1027
ENSG00000138363	ATIC	1781	1906	2214	2170	2171	2250
ENSG00000198513	ATL1	4	7	1	1	4	1
ENSG00000119787	ATL2	529	479	603	569	563	620
ENSG00000184743	ATL3	377	459	487	413	440	437
ENSG00000149311	ATM	374	352	403	382	351	343
ENSG00000166454	ATMIN	611	619	696	610	626	718
ENSG00000111676	ATN1	1278	1545	1597	1674	1567	1758
ENSG00000172238	ATOH1	25	26	28	25	24	33
ENSG00000179774	ATOH7	0	0	0	1	0	1
ENSG00000168874	ATOH8	8	6	6	6	4	4
ENSG00000177556	ATOX1	156	181	205	192	169	208
ENSG00000206190	ATP10A	0	0	0	0	0	0
ENSG00000118322	ATP10B	360	364	467	477	439	502
ENSG00000145246	ATP10D	7	6	6	16	11	21
ENSG00000068650	ATP11A	1453	1682	1924	1782	1646	1701
ENSG00000232684	ATP11A-AS1	0	0	0	0	0	0
ENSG00000197595	ATP11AUN	0	0	0	0	0	0
ENSG00000058063	ATP11B	418	434	484	373	415	377
ENSG00000101974	ATP11C	7	12	3	6	3	4
ENSG00000075673	ATP12A	0	1	0	0	0	0
ENSG00000105726	ATP13A1	485	569	585	644	615	586
ENSG00000159363	ATP13A2	928	1079	1149	913	952	938
ENSG00000133657	ATP13A3	1288	1261	1386	1152	1143	1261
ENSG00000127249	ATP13A4	8	9	4	1	1	4
