id	sym	Control_1	Control_2	BMI1_Knockdown_1	BMI1_Knockdown_2
ENSG00000132874	SLC14A2	0	3	5	2
ENSG00000132879	FBXO44	580	531	675	547
ENSG00000132881	RSG1	117	113	168	132
ENSG00000132906	CASP9	149	164	199	137
ENSG00000132912	DCTN4	2793	2616	3467	2511
ENSG00000132915	PDE6A	3	1	1	0
ENSG00000132932	ATP8A2	39	28	47	25
ENSG00000132938	MTUS2	7	9	16	3
ENSG00000132950	ZMYM5	333	338	460	325
ENSG00000132952	USPL1	779	721	1064	781
ENSG00000132953	XPO4	1831	1851	2191	1465
ENSG00000132958	TPTE2	2	0	0	0
ENSG00000132963	POMP	3443	3445	4803	3603
ENSG00000132964	CDK8	1497	1381	1828	1296
ENSG00000132967	HMGB1P5	394	435	619	427
ENSG00000132970	WASF3	1457	1289	1780	1273
ENSG00000132972	RNF17	0	0	1	0
ENSG00000132975	GPR12	1	0	0	0
ENSG00000133019	CHRM3	37	27	16	21
ENSG00000133026	MYH10	5005	4128	5014	3647
ENSG00000133027	PEMT	500	390	504	403
ENSG00000133028	SCO1	1155	1030	1450	1070
ENSG00000133030	MPRIP	5136	4310	4854	3781
ENSG00000133048	CHI3L1	1	1	1	1
ENSG00000133056	PIK3C2B	869	758	836	636
ENSG00000133059	DSTYK	791	731	883	651
ENSG00000133063	CHIT1	1	1	2	1
ENSG00000133065	SLC41A1	1295	1050	931	592
ENSG00000133067	LGR6	2	0	1	0
ENSG00000133069	TMCC2	46	51	65	50
ENSG00000133083	DCLK1	23	21	12	6
ENSG00000133103	COG6	637	606	683	549
ENSG00000133104	SPG20	1048	941	1357	1050
ENSG00000133106	EPSTI1	5	15	8	5
ENSG00000133107	TRPC4	1	1	3	1
ENSG00000133111	RFXAP	86	107	89	66
ENSG00000133112	TPT1	24809	21589	32998	24457
ENSG00000133114	GPALPP1	285	290	253	192
ENSG00000133116	KL	14	7	3	4
ENSG00000133119	RFC3	2051	2119	2635	1849
ENSG00000133121	STARD13	692	601	678	470
ENSG00000133124	IRS4	20	14	6	6
ENSG00000133131	MORC4	1557	1389	1515	1132
ENSG00000133134	BEX2	800	665	799	588
ENSG00000133135	RNF128	14	22	11	13
ENSG00000133138	TBC1D8B	312	319	266	181
ENSG00000133142	TCEAL4	1301	1100	2204	1540
ENSG00000133169	BEX1	6	7	11	6
ENSG00000133193	FAM104A	789	762	1023	747
ENSG00000133195	SLC39A11	707	615	787	628
ENSG00000133216	EPHB2	359	292	283	239
ENSG00000133226	SRRM1	1415	1236	1053	749
ENSG00000133243	BTBD2	2437	2036	2421	1745
ENSG00000133246	PRAM1	1	3	5	0
ENSG00000133247	KMT5C	249	209	279	181
ENSG00000133250	ZNF414	187	181	185	139
ENSG00000133256	PDE6B	58	29	52	36
ENSG00000133265	HSPBP1	675	534	880	660
ENSG00000133275	CSNK1G2	2068	1881	2336	1824
ENSG00000133302	SLF1	544	543	651	483
ENSG00000133313	CNDP2	7813	6615	8115	6085
ENSG00000133315	MACROD1	1030	951	927	698
ENSG00000133316	WDR74	917	750	1153	937
ENSG00000133317	LGALS12	0	0	0	1
ENSG00000133318	RTN3	4093	3797	4309	3071
ENSG00000133321	RARRES3	113	93	57	35
ENSG00000133328	HRASLS2	1	0	1	0
ENSG00000133392	MYH11	0	2	2	2
ENSG00000133393	FOPNL	655	736	889	689
ENSG00000133398	MED10	173	171	217	181
ENSG00000133401	PDZD2	113	95	63	48
ENSG00000133422	MORC2	1743	1463	1693	1257
ENSG00000133424	LARGE1	163	168	135	102
ENSG00000133433	GSTT2B	51	48	61	55
ENSG00000133454	MYO18B	4	1	2	3
ENSG00000133460	SLC2A11	307	289	336	235
ENSG00000133466	C1QTNF6	225	185	184	127
ENSG00000133475	GGT2	5	2	3	1
ENSG00000133477	FAM83F	2429	2004	2532	1795
ENSG00000133519	ZDHHC8P1	72	70	74	38
ENSG00000133561	GIMAP6	27	14	19	22
ENSG00000133574	GIMAP4	1	0	0	0
ENSG00000133597	ADCK2	1923	1680	1943	1569
ENSG00000133606	MKRN1	2348	1982	2903	2089
ENSG00000133612	AGAP3	1884	1573	2059	1548
ENSG00000133619	KRBA1	70	76	85	72
ENSG00000133624	ZNF767P	340	279	265	249
ENSG00000133627	ACTR3B	333	288	309	238
ENSG00000133636	NTS	1	0	0	0
ENSG00000133639	BTG1	7392	7375	8191	6221
ENSG00000133640	LRRIQ1	23	26	44	29
ENSG00000133641	C12orf29	353	373	556	395
ENSG00000133657	ATP13A3	3078	3102	2632	1948
ENSG00000133661	SFTPD	2	4	10	4
ENSG00000133678	TMEM254	499	409	586	364
ENSG00000133687	TMTC1	162	143	159	113
ENSG00000133703	KRAS	1234	1280	1160	932
ENSG00000133704	IPO8	1828	1766	1839	1339
ENSG00000133706	LARS	4074	3680	5238	3882
ENSG00000133710	SPINK5	2	0	1	0
ENSG00000133731	IMPA1	551	566	804	602
ENSG00000133739	LRRCC1	447	409	580	425
ENSG00000133740	E2F5	212	181	238	190
ENSG00000133742	CA1	176	158	191	122
ENSG00000133773	CCDC59	807	725	1069	807
ENSG00000133789	SWAP70	575	524	587	400
ENSG00000133794	ARNTL	347	296	341	255
ENSG00000133805	AMPD3	6	10	2	2
ENSG00000133808	MICALCL	108	88	57	52
ENSG00000133812	SBF2	1235	1138	1243	850
ENSG00000133816	MICAL2	4064	3524	3434	2356
ENSG00000133818	RRAS2	500	564	558	442
ENSG00000133835	HSD17B4	6022	5503	6626	4982
ENSG00000133858	ZFC3H1	543	549	517	383
ENSG00000133863	TEX15	246	276	271	179
ENSG00000133872	SARAF	6651	6113	6307	4732
ENSG00000133874	RNF122	74	68	92	64
ENSG00000133884	DPF2	815	641	949	588
ENSG00000133895	MEN1	703	628	788	570
ENSG00000133935	C14orf1	806	715	1198	814
ENSG00000133937	GSC	179	163	195	157
ENSG00000133943	C14orf159	632	518	545	446
ENSG00000133958	UNC79	10	8	16	15
ENSG00000133961	NUMB	849	764	984	678
ENSG00000133962	CATSPERB	78	73	59	54
ENSG00000133980	VRTN	1	0	3	1
ENSG00000133983	COX16	19	21	31	28
ENSG00000133985	TTC9	24	31	33	11
ENSG00000133997	MED6	316	257	295	199
ENSG00000134001	EIF2S1	4019	3623	4653	3410
ENSG00000134007	ADAM20	17	15	6	10
ENSG00000134013	LOXL2	19	10	12	9
ENSG00000134014	ELP3	1142	1100	1525	1029
ENSG00000134020	PEBP4	68	60	76	49
ENSG00000134028	ADAMDEC1	0	1	0	0
ENSG00000134030	CTIF	189	130	179	134
ENSG00000134042	MRO	6	9	8	2
ENSG00000134046	MBD2	635	572	895	620
ENSG00000134049	IER3IP1	284	291	373	279
ENSG00000134056	MRPS36	358	364	623	490
ENSG00000134057	CCNB1	3709	3411	4482	3365
ENSG00000134058	CDK7	483	468	730	527
ENSG00000134070	IRAK2	82	72	98	73
ENSG00000134072	CAMK1	724	592	822	579
ENSG00000134077	THUMPD3	1311	1282	1588	1164
ENSG00000134086	VHL	1262	1177	1425	1028
ENSG00000134107	BHLHE40	709	582	712	444
ENSG00000134108	ARL8B	1007	1033	1306	939
ENSG00000134109	EDEM1	1543	1508	1077	787
ENSG00000134146	DPH6	263	304	322	226
ENSG00000134152	KATNBL1	373	426	527	379
ENSG00000134153	EMC7	862	858	1142	886
ENSG00000134183	GNAT2	12	10	19	6
ENSG00000134184	GSTM1	0	0	1	0
ENSG00000134186	PRPF38B	713	696	1015	717
ENSG00000134193	REG4	5	3	1	3
ENSG00000134198	TSPAN2	0	1	1	0
ENSG00000134202	GSTM3	2185	1826	2650	2041
ENSG00000134207	SYT6	1	1	0	0
ENSG00000134215	VAV3	17	10	9	6
ENSG00000134222	PSRC1	622	542	761	592
ENSG00000134240	HMGCS2	625	560	481	351
ENSG00000134242	PTPN22	0	4	2	1
ENSG00000134243	SORT1	988	978	1177	859
ENSG00000134245	WNT2B	14	14	14	7
ENSG00000134247	PTGFRN	3101	2772	3013	2143
ENSG00000134248	LAMTOR5	849	889	1227	920
ENSG00000134250	NOTCH2	3027	2702	2705	1962
ENSG00000134253	TRIM45	259	201	345	228
ENSG00000134255	CEPT1	693	658	886	699
ENSG00000134256	CD101	52	61	23	21
ENSG00000134258	VTCN1	1	0	0	2
ENSG00000134259	NGF	0	4	0	1
ENSG00000134262	AP4B1	608	541	765	581
ENSG00000134265	NAPG	1119	1288	1148	892
ENSG00000134278	SPIRE1	1030	960	1064	824
ENSG00000134283	PPHLN1	1143	1124	1403	1077
ENSG00000134285	FKBP11	564	531	432	345
ENSG00000134287	ARF3	2900	2429	4381	2918
ENSG00000134291	TMEM106C	4987	4354	6678	4762
ENSG00000134294	SLC38A2	5053	5063	5598	4057
ENSG00000134297	PLEKHA8P1	72	62	94	73
ENSG00000134308	YWHAQ	5885	5976	7836	5856
ENSG00000134313	KIDINS220	2317	2127	2794	1992
ENSG00000134317	GRHL1	248	249	300	261
ENSG00000134318	ROCK2	1339	1394	1446	990
ENSG00000134321	RSAD2	238	214	132	96
ENSG00000134324	LPIN1	1685	1510	1693	1237
ENSG00000134326	CMPK2	236	201	196	126
ENSG00000134330	IAH1	790	724	1033	791
ENSG00000134333	LDHA	8508	8049	10914	7706
ENSG00000134343	ANO3	0	1	2	0
ENSG00000134352	IL6ST	2778	2958	3134	2221
ENSG00000134363	FST	1	2	11	2
ENSG00000134369	NAV1	773	712	261	178
ENSG00000134371	CDC73	1546	1527	1738	1201
ENSG00000134375	TIMM17A	1931	1913	2394	1753
ENSG00000134376	CRB1	1	0	0	0
ENSG00000134419	RPS15A	5558	5270	8252	6087
ENSG00000134440	NARS	4048	3866	5092	3735
ENSG00000134444	KIAA1468	1362	1226	1596	1142
ENSG00000134452	FBXO18	1679	1300	1857	1346
ENSG00000134453	RBM17	1150	1071	1540	1168
ENSG00000134461	ANKRD16	174	174	207	148
ENSG00000134463	ECHDC3	575	523	662	505
ENSG00000134470	IL15RA	48	37	68	44
ENSG00000134480	CCNH	1689	1529	2181	1630
ENSG00000134489	HRH4	2	7	1	0
ENSG00000134490	TMEM241	729	731	995	645
ENSG00000134504	KCTD1	306	278	268	220
ENSG00000134508	CABLES1	321	285	266	198
ENSG00000134516	DOCK2	0	0	0	1
ENSG00000134531	EMP1	6	4	3	3
ENSG00000134533	RERG	3	1	2	2
ENSG00000134538	SLCO1B1	0	0	1	0
ENSG00000134539	KLRD1	0	0	1	0
ENSG00000134551	PRH2	2	2	0	2
ENSG00000134569	LRP4	31	22	25	8
ENSG00000134571	MYBPC3	1	0	0	0
ENSG00000134574	DDB2	580	508	695	486
ENSG00000134575	ACP2	1344	1123	1416	1078
ENSG00000134590	FAM127A	1075	980	1567	1113
ENSG00000134594	RAB33A	1	0	3	0
ENSG00000134597	RBMX2	730	661	1016	768
ENSG00000134602	STK26	810	917	1077	828
ENSG00000134612	FOLH1B	11	11	9	9
ENSG00000134627	PIWIL4	5	3	1	1
ENSG00000134644	PUM1	3332	2969	3746	2867
ENSG00000134668	SPOCD1	1	1	0	3
ENSG00000134684	YARS	2491	2189	2768	2092
ENSG00000134686	PHC2	1172	950	1214	927
ENSG00000134690	CDCA8	1128	900	1319	1009
ENSG00000134697	GNL2	2179	1835	2609	1923
ENSG00000134698	AGO4	471	471	443	329
ENSG00000134709	HOOK1	1676	1767	1469	1081
ENSG00000134716	CYP2J2	266	261	324	219
ENSG00000134717	BTF3L4	1861	1711	2675	1848
ENSG00000134744	ZCCHC11	1114	1001	1025	796
ENSG00000134748	PRPF38A	1654	1577	2104	1573
ENSG00000134755	DSC2	1698	1607	1347	944
ENSG00000134757	DSG3	2	7	5	2
ENSG00000134758	RNF138	516	579	628	461
ENSG00000134759	ELP2	1270	1196	1827	1296
ENSG00000134760	DSG1	1	2	2	3
ENSG00000134762	DSC3	13	13	21	13
ENSG00000134765	DSC1	50	47	62	43
ENSG00000134769	DTNA	1	0	3	3
ENSG00000134775	FHOD3	43	44	35	21
ENSG00000134779	TPGS2	1065	945	1282	891
ENSG00000134780	DAGLA	409	339	359	245
ENSG00000134802	SLC43A3	0	0	0	1
ENSG00000134809	TIMM10	877	684	1185	854
ENSG00000134815	DHX34	408	350	508	386
ENSG00000134824	FADS2	32201	27356	36767	26480
ENSG00000134825	TMEM258	1335	1188	2014	1545
ENSG00000134830	C5AR2	0	1	2	3
ENSG00000134851	TMEM165	1282	1407	1555	1098
ENSG00000134852	CLOCK	1483	1375	1547	1101
ENSG00000134853	PDGFRA	0	0	1	0
ENSG00000134864	GGACT	91	81	69	49
ENSG00000134871	COL4A2	154	146	274	181
ENSG00000134874	DZIP1	112	93	90	61
ENSG00000134882	UBAC2	1210	1046	1426	1053
ENSG00000134884	ARGLU1	1022	939	1238	892
ENSG00000134897	BIVM	179	241	238	192
ENSG00000134899	ERCC5	231	212	312	221
ENSG00000134900	TPP2	1158	1079	1526	1138
ENSG00000134901	KDELC1	179	166	265	187
ENSG00000134905	CARS2	1001	888	1308	888
ENSG00000134909	ARHGAP32	2673	2394	2385	1584
ENSG00000134910	STT3A	5860	5202	7214	5242
ENSG00000134917	ADAMTS8	0	0	1	1
ENSG00000134940	ACRV1	11	10	17	10
ENSG00000134954	ETS1	5	2	5	5
ENSG00000134955	SLC37A2	81	69	64	47
ENSG00000134962	KLB	126	90	104	120
ENSG00000134970	TMED7	1444	1998	1540	1050
ENSG00000134982	APC	1402	1373	1605	1197
ENSG00000134986	NREP	492	463	730	493
ENSG00000134987	WDR36	1386	1404	1867	1371
ENSG00000134996	OSTF1	872	799	1101	835
ENSG00000135002	RFK	1001	1149	1305	993
ENSG00000135018	UBQLN1	3479	3295	3839	2833
ENSG00000135040	NAA35	886	737	887	676
ENSG00000135045	C9orf40	297	301	350	271
ENSG00000135046	ANXA1	5	0	5	7
ENSG00000135047	CTSL	1440	1277	2030	1492
ENSG00000135048	TMEM2	884	715	896	647
ENSG00000135049	AGTPBP1	712	704	916	650
ENSG00000135052	GOLM1	1740	1438	2016	1520
ENSG00000135063	FAM189A2	20	20	17	5
ENSG00000135069	PSAT1	1978	2015	1256	944
ENSG00000135070	ISCA1	1055	1102	1290	882
ENSG00000135074	ADAM19	2	2	0	3
ENSG00000135083	CCNJL	12	12	13	8
ENSG00000135090	TAOK3	2478	2205	2022	1448
ENSG00000135093	USP30	271	217	300	194
ENSG00000135097	MSI1	5	3	0	4
ENSG00000135108	FBXO21	1115	1019	1260	943
ENSG00000135111	TBX3	7057	6641	6312	4713
ENSG00000135114	OASL	685	552	258	154
ENSG00000135116	HRK	5	4	2	6
ENSG00000135119	RNFT2	353	276	385	252
ENSG00000135124	P2RX4	422	382	527	335
ENSG00000135127	BICDL1	274	236	304	248
ENSG00000135144	DTX1	1	0	0	0
ENSG00000135148	TRAFD1	591	512	767	591
ENSG00000135164	DMTF1	1161	1060	1289	947
ENSG00000135185	TMEM243	260	229	203	158
ENSG00000135205	CCDC146	99	81	67	47
ENSG00000135211	TMEM60	288	284	478	357
ENSG00000135218	CD36	3	2	2	6
ENSG00000135226	UGT2B28	0	2	3	0
ENSG00000135241	PNPLA8	1176	1233	1493	1096
ENSG00000135245	HILPDA	485	430	622	459
ENSG00000135248	FAM71F1	40	32	26	11
ENSG00000135249	RINT1	614	610	780	557
ENSG00000135250	SRPK2	2082	1960	2183	1529
ENSG00000135253	KCP	201	158	224	180
ENSG00000135269	TES	1099	1093	1397	993
ENSG00000135272	MDFIC	0	1	0	1
ENSG00000135297	MTO1	751	741	884	659
ENSG00000135298	ADGRB3	0	0	0	1
ENSG00000135299	ANKRD6	30	23	39	17
ENSG00000135314	KHDC1	76	71	93	77
ENSG00000135315	CEP162	197	183	238	179
ENSG00000135316	SYNCRIP	4040	3912	4626	3210
ENSG00000135317	SNX14	839	852	1049	789
ENSG00000135318	NT5E	8	4	0	1
ENSG00000135324	MRAP2	2	0	1	1
ENSG00000135333	EPHA7	7	5	14	3
ENSG00000135334	AKIRIN2	107	104	102	82
ENSG00000135336	ORC3	254	220	355	251
ENSG00000135338	LCA5	31	37	59	28
ENSG00000135341	MAP3K7	325	313	341	249
ENSG00000135362	PRR5L	2	1	4	1
ENSG00000135363	LMO2	9	27	11	5
ENSG00000135365	PHF21A	486	454	468	326
ENSG00000135372	NAT10	1797	1492	2032	1441
ENSG00000135373	EHF	13910	13136	16839	11926
ENSG00000135374	ELF5	1259	1151	1361	1036
ENSG00000135378	PRRG4	660	727	579	396
ENSG00000135387	CAPRIN1	12065	11363	14551	10714
ENSG00000135390	ATP5G2	3620	2880	5336	3893
ENSG00000135392	DNAJC14	1010	894	1382	1034
ENSG00000135404	CD63	4341	3816	5241	4224
ENSG00000135406	PRPH	107	105	79	57
ENSG00000135407	AVIL	58	47	53	23
ENSG00000135409	AMHR2	18	15	6	12
ENSG00000135414	GDF11	813	734	743	541
ENSG00000135423	GLS2	480	399	550	417
ENSG00000135424	ITGA7	20	15	25	20
ENSG00000135436	FAM186B	22	19	28	12
ENSG00000135437	RDH5	9	11	14	8
ENSG00000135439	AGAP2	10	5	6	8
ENSG00000135441	BLOC1S1	438	342	545	423
ENSG00000135446	CDK4	3972	3172	4845	3732
ENSG00000135447	PPP1R1A	1	3	1	1
ENSG00000135451	TROAP	837	742	1035	774
ENSG00000135452	TSPAN31	467	381	519	385
ENSG00000135454	B4GALNT1	280	208	174	171
ENSG00000135457	TFCP2	0	3	1	0
ENSG00000135469	COQ10A	171	149	166	121
ENSG00000135472	FAIM2	2	0	0	0
ENSG00000135473	PAN2	1294	1045	1508	1019
ENSG00000135476	ESPL1	1008	864	1021	739
ENSG00000135477	KRT87P	0	0	0	1
ENSG00000135480	KRT7	0	1	0	1
ENSG00000135482	ZC3H10	336	296	514	386
ENSG00000135486	HNRNPA1	14939	13363	21486	15857
ENSG00000135502	SLC26A10	3	0	1	1
ENSG00000135503	ACVR1B	669	572	677	502
ENSG00000135506	OS9	4786	3873	6122	4688
ENSG00000135517	MIP	10	9	6	4
ENSG00000135519	KCNH3	10	7	12	2
ENSG00000135521	LTV1	306	272	481	297
ENSG00000135525	MAP7	1383	1344	1669	1220
ENSG00000135535	CD164	5091	5345	5477	3936
ENSG00000135537	LACE1	123	108	142	97
ENSG00000135540	NHSL1	263	199	166	115
ENSG00000135541	AHI1	407	375	412	325
ENSG00000135547	HEY2	0	0	2	0
ENSG00000135549	PKIB	80	76	103	62
ENSG00000135577	NMBR	0	0	0	1
ENSG00000135587	SMPD2	583	489	636	504
ENSG00000135596	MICAL1	1241	1042	978	745
ENSG00000135597	REPS1	655	673	866	610
ENSG00000135605	TEC	103	88	112	88
ENSG00000135617	PRADC1	488	431	552	441
ENSG00000135622	SEMA4F	200	177	211	173
ENSG00000135624	CCT7	4970	4323	6335	4617
ENSG00000135631	RAB11FIP5	496	399	462	351
ENSG00000135632	SMYD5	379	332	493	352
ENSG00000135636	DYSF	12	9	10	6
ENSG00000135637	CCDC142	182	138	204	139
ENSG00000135638	EMX1	0	1	2	0
ENSG00000135643	KCNMB4	44	42	31	24
ENSG00000135655	USP15	1625	1572	2144	1506
ENSG00000135677	GNS	5284	4642	6232	4609
ENSG00000135678	CPM	1	0	1	0
ENSG00000135679	MDM2	3980	3792	5179	3751
ENSG00000135686	KLHL36	1285	1070	1108	762
ENSG00000135698	MPHOSPH6	546	571	728	483
ENSG00000135702	CHST5	2	1	0	0
ENSG00000135709	KIAA0513	571	508	613	405
ENSG00000135720	DYNC1LI2	1878	1838	2268	1639
ENSG00000135722	FBXL8	115	121	108	99
ENSG00000135723	FHOD1	643	538	636	528
ENSG00000135736	CCDC102A	209	163	156	134
ENSG00000135740	SLC9A5	63	49	49	47
ENSG00000135744	AGT	11	8	25	21
ENSG00000135747	ZNF670-ZNF695	14	15	7	3
ENSG00000135749	PCNX2	964	892	1008	738
ENSG00000135750	KCNK1	771	785	858	615
ENSG00000135763	URB2	736	631	831	611
ENSG00000135766	EGLN1	636	637	723	548
ENSG00000135773	CAPN9	11	11	6	3
ENSG00000135775	COG2	949	890	968	659
ENSG00000135776	ABCB10	403	427	508	383
ENSG00000135778	NTPCR	1093	949	1318	1071
ENSG00000135801	TAF5L	656	588	813	614
ENSG00000135821	GLUL	7001	6215	8172	5914
ENSG00000135823	STX6	534	529	718	522
ENSG00000135828	RNASEL	167	178	162	124
ENSG00000135829	DHX9	7092	6439	8862	6359
ENSG00000135835	KIAA1614	4	5	4	1
ENSG00000135837	CEP350	1797	1638	1708	1240
ENSG00000135838	NPL	74	76	95	66
ENSG00000135842	FAM129A	1425	1304	1256	934
ENSG00000135845	PIGC	435	394	624	437
ENSG00000135862	LAMC1	9466	8351	9932	7353
ENSG00000135870	RC3H1	1519	1525	1517	1017
ENSG00000135898	GPR55	0	0	1	1
ENSG00000135899	SP110	267	192	316	231
ENSG00000135900	MRPL44	745	682	921	663
ENSG00000135903	PAX3	0	0	1	0
ENSG00000135905	DOCK10	24	22	42	34
ENSG00000135912	TTLL4	367	313	416	282
ENSG00000135913	USP37	1286	1239	1556	1151
ENSG00000135916	ITM2C	1183	983	1364	1035
ENSG00000135919	SERPINE2	114	122	98	87
ENSG00000135924	DNAJB2	1209	1060	1388	1009
ENSG00000135925	WNT10A	75	80	70	60
ENSG00000135926	TMBIM1	2478	2167	2633	2031
ENSG00000135929	CYP27A1	1	2	1	1
ENSG00000135930	EIF4E2	1258	1073	1348	982
ENSG00000135931	ARMC9	252	231	288	242
ENSG00000135932	CAB39	971	984	1152	738
ENSG00000135940	COX5B	2747	2421	3743	2866
ENSG00000135945	REV1	836	727	961	766
ENSG00000135951	TSGA10	190	179	125	113
ENSG00000135953	MFSD9	222	195	284	190
ENSG00000135956	TMEM127	1045	813	1054	717
ENSG00000135960	EDAR	4	1	0	0
ENSG00000135966	TGFBRAP1	835	640	848	658
ENSG00000135968	GCC2	1390	1392	1456	1036
ENSG00000135972	MRPS9	724	646	1064	803
ENSG00000135973	GPR45	0	1	0	1
ENSG00000135974	C2orf49	375	397	501	395
ENSG00000135976	ANKRD36	347	330	330	235
ENSG00000135999	EPC2	594	596	751	572
ENSG00000136002	ARHGEF4	346	343	259	194
ENSG00000136003	ISCU	952	973	1308	1005
ENSG00000136010	ALDH1L2	48	43	12	14
ENSG00000136011	STAB2	1	2	2	1
ENSG00000136021	SCYL2	931	928	1175	872
ENSG00000136026	CKAP4	2220	2000	1979	1547
ENSG00000136040	PLXNC1	8	10	12	1
ENSG00000136044	APPL2	934	819	786	583
ENSG00000136045	PWP1	988	821	1294	924
ENSG00000136048	DRAM1	97	96	119	84
ENSG00000136051	KIAA1033	1089	1066	1357	985
ENSG00000136052	SLC41A2	228	214	298	199
ENSG00000136059	VILL	23	16	23	15
ENSG00000136068	FLNB	28613	24138	23998	18318
ENSG00000136098	NEK3	161	154	157	125
ENSG00000136099	PCDH8	0	0	1	0
ENSG00000136100	VPS36	445	450	545	380
ENSG00000136104	RNASEH2B	559	542	635	516
ENSG00000136108	CKAP2	2181	2131	2471	1781
ENSG00000136111	TBC1D4	1262	1295	1005	806
ENSG00000136114	THSD1	4	7	8	3
ENSG00000136122	BORA	91	92	137	89
ENSG00000136141	LRCH1	238	210	179	117
ENSG00000136143	SUCLA2	1119	1008	1347	965
ENSG00000136144	RCBTB1	1082	1105	1126	874
ENSG00000136146	MED4	437	409	581	408
ENSG00000136147	PHF11	207	174	232	173
ENSG00000136149	RPL13AP25	8	6	7	5
ENSG00000136152	COG3	1279	1161	1226	934
ENSG00000136153	LMO7	95	90	89	63
ENSG00000136155	SCEL	0	0	1	0
ENSG00000136156	ITM2B	1669	1900	2076	1599
ENSG00000136158	SPRY2	32	23	15	13
ENSG00000136159	NUDT15	584	583	769	552
ENSG00000136161	RCBTB2	211	193	239	176
ENSG00000136167	LCP1	3601	3137	2865	2075
ENSG00000136169	SETDB2	564	489	647	448
ENSG00000136193	SCRN1	601	565	516	398
ENSG00000136197	C7orf25	26	33	24	24
ENSG00000136205	TNS3	16	20	18	21
ENSG00000136206	SPDYE1	0	0	2	1
ENSG00000136213	CHST12	339	284	293	234
ENSG00000136231	IGF2BP3	557	567	606	415
ENSG00000136235	GPNMB	377	395	413	285
ENSG00000136237	RAPGEF5	209	189	223	127
ENSG00000136238	RAC1	3185	3063	3516	2677
ENSG00000136240	KDELR2	4398	4250	4320	3020
ENSG00000136243	NUPL2	674	661	804	667
ENSG00000136247	ZDHHC4	1607	1502	2170	1601
ENSG00000136261	BZW2	1773	1535	2372	1724
ENSG00000136267	DGKB	92	95	110	79
ENSG00000136270	TBRG4	2516	2161	3530	2895
ENSG00000136271	DDX56	1740	1486	2189	1718
ENSG00000136273	HUS1	701	621	785	538
ENSG00000136274	NACAD	0	0	1	0
ENSG00000136279	DBNL	2836	2266	3173	2398
ENSG00000136280	CCM2	1115	894	1118	825
ENSG00000136286	MYO1G	1	1	3	6
ENSG00000136295	TTYH3	844	723	563	362
ENSG00000136297	MMD2	0	0	0	1
ENSG00000136305	CIDEB	157	133	157	158
ENSG00000136319	TTC5	477	471	609	434
ENSG00000136327	NKX2-8	8	9	6	0
ENSG00000136367	ZFHX2	51	46	35	25
ENSG00000136371	MTHFS	130	128	143	133
ENSG00000136378	ADAMTS7	58	61	65	37
ENSG00000136379	ABHD17C	249	265	249	184
ENSG00000136381	IREB2	2329	2394	1728	1282
ENSG00000136383	ALPK3	278	253	175	128
ENSG00000136425	CIB2	24	20	20	15
ENSG00000136436	CALCOCO2	1615	1399	1937	1395
ENSG00000136444	RSAD1	610	511	894	663
ENSG00000136448	NMT1	1020	942	1432	978
ENSG00000136450	SRSF1	5602	5143	7257	5445
ENSG00000136451	VEZF1	956	984	1001	739
ENSG00000136457	CHAD	1	0	0	0
ENSG00000136463	TACO1	695	633	928	666
ENSG00000136478	TEX2	2686	2335	2953	2188
ENSG00000136485	DCAF7	3672	3344	3378	2277
ENSG00000136487	GH2	1	0	0	0
ENSG00000136490	LIMD2	90	84	89	79
ENSG00000136492	BRIP1	583	611	749	490
ENSG00000136504	KAT7	1450	1341	1753	1255
ENSG00000136514	RTP4	8	8	3	0
ENSG00000136518	ACTL6A	1811	1711	2614	1837
ENSG00000136521	NDUFB5	1487	1526	1855	1404
ENSG00000136522	MRPL47	1240	1186	1663	1248
ENSG00000136527	TRA2B	4153	4098	5240	3902
ENSG00000136531	SCN2A	38	28	39	23
ENSG00000136535	TBR1	0	5	2	1
ENSG00000136536	MARCH7	1604	1622	1785	1333
ENSG00000136560	TANK	308	326	395	297
ENSG00000136574	GATA4	1	1	0	0
ENSG00000136603	SKIL	871	937	849	543
ENSG00000136628	EPRS	7800	7179	9246	6614
ENSG00000136630	HLX	168	119	158	124
ENSG00000136631	VPS45	945	844	1244	819
ENSG00000136636	KCTD3	1862	1762	1754	1295
ENSG00000136643	RPS6KC1	2367	2193	2737	2033
ENSG00000136682	CBWD2	460	451	598	445
ENSG00000136688	IL36G	4	2	2	2
ENSG00000136689	IL1RN	46	57	45	29
ENSG00000136695	IL36RN	23	13	13	15
ENSG00000136697	IL1F10	4	2	2	1
ENSG00000136699	SMPD4	1675	1412	1482	1119
ENSG00000136709	WDR33	1825	1696	2073	1567
ENSG00000136710	CCDC115	348	319	473	294
ENSG00000136715	SAP130	634	571	623	487
ENSG00000136717	BIN1	943	795	1082	893
ENSG00000136718	IMP4	1483	1249	2186	1574
ENSG00000136720	HS6ST1	1257	1054	1370	1090
ENSG00000136731	UGGT1	4261	3884	4175	2937
ENSG00000136738	STAM	703	610	826	608
ENSG00000136754	ABI1	805	828	940	741
ENSG00000136758	YME1L1	2825	2626	3059	2264
ENSG00000136770	DNAJC1	1189	1078	1455	1050
ENSG00000136783	NIPSNAP3A	970	931	1228	905
ENSG00000136802	LRRC8A	995	752	1331	1052
ENSG00000136807	CDK9	1023	889	1129	820
ENSG00000136810	TXN	3075	2838	4326	3165
