id	sym	D_U6_F_T0_1	D_U6_F_T0_2	F_U6_F_T8_1	F_U6_F_T8_2
ENSG00000112679	DUSP22	395	413	421	457
ENSG00000112685	EXOC2	694	740	825	857
ENSG00000112695	COX7A2	1319	1358	1317	1387
ENSG00000112697	TMEM30A	4899	4795	5165	5368
ENSG00000112699	GMDS	108	92	117	89
ENSG00000112701	SENP6	1430	1465	1445	1497
ENSG00000112706	IMPG1	8	5	5	4
ENSG00000112715	VEGFA	3301	3264	2744	3044
ENSG00000112739	PRPF4B	2524	2599	2378	2277
ENSG00000112742	TTK	518	519	461	494
ENSG00000112759	SLC29A1	1015	1051	863	915
ENSG00000112761	WISP3	6	2	0	1
ENSG00000112763	BTN2A1	516	541	631	568
ENSG00000112769	LAMA4	1	1	0	0
ENSG00000112773	FAM46A	236	294	310	336
ENSG00000112782	CLIC5	2	1	1	1
ENSG00000112787	FBRSL1	415	498	466	462
ENSG00000112812	PRSS16	80	129	83	101
ENSG00000112851	ERBIN	5267	5572	5685	6012
ENSG00000112852	PCDHB2	3	0	0	1
ENSG00000112855	HARS2	901	952	878	828
ENSG00000112874	NUDT12	987	1017	1201	1304
ENSG00000112877	CEP72	362	405	385	343
ENSG00000112893	MAN2A1	1173	1223	1248	1323
ENSG00000112902	SEMA5A	3126	3355	2882	3140
ENSG00000112941	PAPD7	880	961	1051	1127
ENSG00000112964	GHR	8	2	2	3
ENSG00000112972	HMGCS1	1112	1009	475	561
ENSG00000112977	DAP	2470	2493	2602	2633
ENSG00000112983	BRD8	1183	1168	1070	1195
ENSG00000112984	KIF20A	1203	1197	698	729
ENSG00000112996	MRPS30	1038	995	948	932
ENSG00000113013	HSPA9	6989	7087	7053	7048
ENSG00000113048	MRPS27	1293	1337	1203	1289
ENSG00000113068	PFDN1	691	703	673	601
ENSG00000113070	HBEGF	727	790	899	757
ENSG00000113073	SLC4A9	2	3	2	3
ENSG00000113083	LOX	40	45	38	53
ENSG00000113108	APBB3	154	186	163	141
ENSG00000113119	TMCO6	272	264	229	192
ENSG00000113140	SPARC	4383	4582	3391	3147
ENSG00000113141	IK	1792	1794	1574	1726
ENSG00000113161	HMGCR	2051	2098	1289	1310
ENSG00000113163	COL4A3BP	1203	1231	1076	1092
ENSG00000113194	FAF2	2561	2651	2665	2751
ENSG00000113205	PCDHB3	0	1	0	1
ENSG00000113209	PCDHB5	0	0	0	1
ENSG00000113212	PCDHB7	2	0	0	1
ENSG00000113231	PDE8B	66	75	59	62
ENSG00000113240	CLK4	712	774	805	840
ENSG00000113248	PCDHB15	3	1	1	7
ENSG00000113249	HAVCR1	7310	7531	8646	8716
ENSG00000113262	GRM6	0	0	1	0
ENSG00000113263	ITK	40	43	79	57
ENSG00000113269	RNF130	539	528	559	560
ENSG00000113272	THG1L	342	334	323	358
ENSG00000113273	ARSB	249	255	248	288
ENSG00000113282	CLINT1	4201	4252	3809	3848
ENSG00000113296	THBS4	10	14	6	2
ENSG00000113300	CNOT6	1841	1829	1607	1727
ENSG00000113302	IL12B	1	0	0	1
ENSG00000113312	TTC1	1108	1160	963	894
ENSG00000113318	MSH3	445	437	406	447
ENSG00000113319	RASGRF2	20	23	20	26
ENSG00000113328	CCNG1	5168	5271	7919	8176
ENSG00000113356	POLR3G	245	255	211	202
ENSG00000113360	DROSHA	855	883	808	837
ENSG00000113361	CDH6	1676	1837	1507	1683
ENSG00000113368	LMNB1	4342	4373	3610	3686
ENSG00000113369	ARRDC3	5804	5983	3743	4269
ENSG00000113384	GOLPH3	1792	1589	1687	1614
ENSG00000113387	SUB1	1961	1990	1811	1812
ENSG00000113389	NPR3	2	3	0	1
ENSG00000113391	FAM172A	370	456	389	425
ENSG00000113407	TARS	2940	2921	2803	2711
ENSG00000113441	LNPEP	2214	2177	2509	2736
ENSG00000113448	PDE4D	450	470	293	365
ENSG00000113456	RAD1	611	577	543	533
ENSG00000113460	BRIX1	615	659	630	593
ENSG00000113492	AGXT2	82	61	46	50
ENSG00000113494	PRLR	4	2	1	0
ENSG00000113504	SLC12A7	1508	1605	1612	1568
ENSG00000113522	RAD50	2637	2751	2728	2877
ENSG00000113525	IL5	2	2	0	0
ENSG00000113552	GNPDA1	2696	2906	2997	3093
ENSG00000113555	PCDH12	8	9	18	20
ENSG00000113558	SKP1	3200	3394	3223	3240
ENSG00000113569	NUP155	797	785	768	766
ENSG00000113575	PPP2CA	4234	4288	3861	3879
ENSG00000113578	FGF1	5	0	0	3
ENSG00000113580	NR3C1	4869	4874	5348	5732
ENSG00000113583	C5orf15	4036	4039	3837	3818
ENSG00000113593	PPWD1	503	579	523	544
ENSG00000113594	LIFR	320	328	261	302
ENSG00000113595	TRIM23	298	320	301	313
ENSG00000113597	TRAPPC13	439	437	376	406
ENSG00000113600	C9	2	1	0	0
ENSG00000113615	SEC24A	1627	1643	1764	1587
ENSG00000113621	TXNDC15	815	753	643	641
ENSG00000113638	TTC33	302	256	254	276
ENSG00000113643	RARS	2340	2390	1814	1917
ENSG00000113645	WWC1	3766	3852	3799	3536
ENSG00000113648	H2AFY	5691	5573	5681	5909
ENSG00000113649	TCERG1	2379	2469	2308	2210
ENSG00000113657	DPYSL3	829	811	818	788
ENSG00000113658	SMAD5	3821	3916	3905	3857
ENSG00000113712	CSNK1A1	1789	1709	1549	1623
ENSG00000113716	HMGXB3	2361	2462	2419	2455
ENSG00000113719	ERGIC1	3697	3708	4253	4075
ENSG00000113721	PDGFRB	179	189	182	141
ENSG00000113722	CDX1	0	0	1	0
ENSG00000113732	ATP6V0E1	2124	2222	2386	2381
ENSG00000113734	BNIP1	264	269	229	225
ENSG00000113739	STC2	869	1058	1966	1709
ENSG00000113742	CPEB4	358	361	308	329
ENSG00000113758	DBN1	3120	3272	3015	3016
ENSG00000113761	ZNF346	438	402	437	378
ENSG00000113763	UNC5A	243	262	243	260
ENSG00000113790	EHHADH	2912	2997	2726	2704
ENSG00000113810	SMC4	3751	3757	3382	3642
ENSG00000113811	SELK	464	448	507	523
ENSG00000113812	ACTR8	887	846	866	900
ENSG00000113838	TBCCD1	308	327	309	303
ENSG00000113845	TIMMDC1	1106	1204	1057	1130
ENSG00000113851	CRBN	461	483	405	441
ENSG00000113889	KNG1	1	4	0	1
ENSG00000113905	HRG	7	18	10	13
ENSG00000113916	BCL6	545	497	510	568
ENSG00000113946	CLDN16	9	8	21	13
ENSG00000113966	ARL6	141	151	146	164
ENSG00000113971	NPHP3	121	131	101	143
ENSG00000114019	AMOTL2	10428	11261	11675	11869
ENSG00000114021	NIT2	881	981	784	871
ENSG00000114023	FAM162A	1021	1033	995	947
ENSG00000114026	OGG1	372	437	328	366
ENSG00000114030	KPNA1	1313	1329	1468	1446
ENSG00000114054	PCCB	938	943	795	869
ENSG00000114062	UBE3A	1762	1740	1795	1783
ENSG00000114098	ARMC8	1135	1226	1112	1095
ENSG00000114107	CEP70	363	377	325	284
ENSG00000114113	RBP2	1	4	1	5
ENSG00000114115	RBP1	0	2	1	0
ENSG00000114120	SLC25A36	4531	4644	4030	4382
ENSG00000114124	GRK7	2	2	1	1
ENSG00000114125	RNF7	1736	1762	1499	1490
ENSG00000114126	TFDP2	3818	3738	2826	3407
ENSG00000114127	XRN1	1245	1287	1364	1407
ENSG00000114166	KAT2B	829	816	1197	1191
ENSG00000114200	BCHE	155	121	101	143
ENSG00000114209	PDCD10	788	820	877	777
ENSG00000114248	LRRC31	62	63	51	67
ENSG00000114251	WNT5A	30	41	34	29
ENSG00000114268	PFKFB4	302	381	267	256
ENSG00000114270	COL7A1	3361	3715	3000	3057
ENSG00000114279	FGF12	130	136	153	129
ENSG00000114302	PRKAR2A	1756	1676	1633	1574
ENSG00000114315	HES1	549	471	423	510
ENSG00000114316	USP4	571	573	578	516
ENSG00000114331	ACAP2	1840	1937	1889	1877
ENSG00000114346	ECT2	3659	3832	3537	3737
ENSG00000114349	GNAT1	0	0	1	0
ENSG00000114353	GNAI2	3065	3164	2899	2990
ENSG00000114354	TFG	2778	2804	2538	2419
ENSG00000114374	USP9Y	1088	1183	1212	1192
ENSG00000114378	HYAL1	520	618	377	370
ENSG00000114383	TUSC2	577	633	528	506
ENSG00000114388	NPRL2	152	172	174	174
ENSG00000114391	RPL24	1394	1303	1425	1416
ENSG00000114395	CYB561D2	285	326	235	275
ENSG00000114405	C3orf14	131	126	118	122
ENSG00000114416	FXR1	3742	3904	3905	3767
ENSG00000114423	CBLB	205	161	170	210
ENSG00000114439	BBX	2467	2486	2006	2012
ENSG00000114446	IFT57	319	340	359	349
ENSG00000114450	GNB4	363	392	360	368
ENSG00000114473	IQCG	110	136	101	115
ENSG00000114480	GBE1	1486	1491	1463	1591
ENSG00000114491	UMPS	1759	1711	1514	1542
ENSG00000114503	NCBP2	2884	3074	2861	2766
ENSG00000114520	SNX4	1580	1646	1788	1719
ENSG00000114529	C3orf52	151	191	208	164
ENSG00000114541	FRMD4B	605	615	420	492
ENSG00000114544	SLC41A3	818	880	868	887
ENSG00000114547	ROPN1B	2	2	0	1
ENSG00000114554	PLXNA1	3639	3859	3832	3727
ENSG00000114573	ATP6V1A	1768	1711	1806	1877
ENSG00000114626	ABTB1	338	350	342	411
ENSG00000114631	PODXL2	11	8	5	7
ENSG00000114638	UPK1B	2	0	1	2
ENSG00000114646	CSPG5	48	76	56	48
ENSG00000114648	KLHL18	653	645	547	538
ENSG00000114650	SCAP	851	931	946	1020
ENSG00000114656	KIAA1257	0	1	0	1
ENSG00000114670	NEK11	65	83	66	71
ENSG00000114686	MRPL3	2757	2688	2527	2549
ENSG00000114698	PLSCR4	45	56	56	44
ENSG00000114735	HEMK1	562	641	468	483
ENSG00000114737	CISH	92	119	100	82
ENSG00000114738	MAPKAPK3	1547	1517	1360	1451
ENSG00000114739	ACVR2B	355	373	325	320
ENSG00000114742	WDR48	821	809	825	851
ENSG00000114744	COMMD2	1315	1397	1147	1213
ENSG00000114745	GORASP1	833	917	818	824
ENSG00000114757	PEX5L	6	15	15	21
ENSG00000114767	RRP9	495	476	447	476
ENSG00000114770	ABCC5	1867	2023	2018	1922
ENSG00000114771	AADAC	2	1	1	0
ENSG00000114779	ABHD14B	1417	1484	1228	1293
ENSG00000114784	EIF1B	364	390	374	397
ENSG00000114786	ABHD14A-ACY1	0	2	2	0
ENSG00000114790	ARHGEF26	106	111	65	68
ENSG00000114796	KLHL24	1291	1269	1597	1977
ENSG00000114805	PLCH1	464	491	389	408
ENSG00000114812	VIPR1	0	0	0	1
ENSG00000114841	DNAH1	171	152	141	151
ENSG00000114850	SSR3	5268	5327	6018	5792
ENSG00000114853	ZBTB47	327	331	253	250
ENSG00000114854	TNNC1	8	10	7	5
ENSG00000114857	NKTR	2527	2879	2204	2209
ENSG00000114859	CLCN2	197	200	111	147
ENSG00000114861	FOXP1	424	398	430	418
ENSG00000114867	EIF4G1	15783	16180	15353	15004
ENSG00000114902	SPCS1	1144	1167	1076	1133
ENSG00000114904	NEK4	212	207	131	153
ENSG00000114923	SLC4A3	16	20	22	21
ENSG00000114933	INO80D	667	692	703	845
ENSG00000114942	EEF1B2	454	482	458	478
ENSG00000114948	ADAM23	14	29	18	26
ENSG00000114956	DGUOK	1088	1096	1054	1023
ENSG00000114978	MOB1A	6718	6783	7170	7155
ENSG00000114982	KANSL3	2520	2623	2406	2453
ENSG00000114988	LMAN2L	488	535	455	479
ENSG00000114993	RTKN	1089	1196	850	835
ENSG00000114999	TTL	2013	1997	2415	2327
ENSG00000115008	IL1A	47	56	103	118
ENSG00000115009	CCL20	6	2	4	6
ENSG00000115020	PIKFYVE	1528	1639	1618	1672
ENSG00000115041	KCNIP3	314	332	228	264
ENSG00000115042	FAHD2A	189	177	179	177
ENSG00000115053	NCL	17985	17742	17277	16382
ENSG00000115073	ACTR1B	1478	1419	1373	1484
ENSG00000115084	SLC35F5	3132	3142	3939	3874
ENSG00000115085	ZAP70	1	0	0	0
ENSG00000115091	ACTR3	5755	5779	6931	6677
ENSG00000115107	STEAP3	3906	4009	4082	3933
ENSG00000115109	EPB41L5	364	350	284	293
ENSG00000115112	TFCP2L1	133	145	99	87
ENSG00000115128	SF3B6	2157	2162	2231	2222
ENSG00000115129	TP53I3	534	533	496	469
ENSG00000115137	DNAJC27	254	261	258	299
ENSG00000115145	STAM2	960	931	941	877
ENSG00000115155	OTOF	5	5	9	5
ENSG00000115159	GPD2	2002	2099	1986	2044
ENSG00000115163	CENPA	592	590	500	507
ENSG00000115165	CYTIP	0	1	2	0
ENSG00000115170	ACVR1	581	554	604	572
ENSG00000115183	TANC1	1306	1439	1621	1738
ENSG00000115194	SLC30A3	95	110	87	82
ENSG00000115204	MPV17	833	765	765	792
ENSG00000115207	GTF3C2	1931	2071	2018	2135
ENSG00000115211	EIF2B4	565	563	589	555
ENSG00000115216	NRBP1	2745	2861	2846	2756
ENSG00000115221	ITGB6	1020	1069	997	877
ENSG00000115226	FNDC4	1	1	1	0
ENSG00000115232	ITGA4	4	5	1	4
ENSG00000115233	PSMD14	1681	1863	1709	1830
ENSG00000115234	SNX17	2729	2908	2728	2670
ENSG00000115239	ASB3	24	42	28	24
ENSG00000115241	PPM1G	3859	3983	3940	3970
ENSG00000115252	PDE1A	200	211	190	186
ENSG00000115255	REEP6	329	313	298	348
ENSG00000115257	PCSK4	65	85	45	54
ENSG00000115266	APC2	677	755	534	553
ENSG00000115267	IFIH1	288	318	210	187
ENSG00000115268	RPS15	1569	1656	1460	1649
ENSG00000115271	GCA	400	413	364	316
ENSG00000115274	INO80B	11	19	15	9
ENSG00000115275	MOGS	1465	1543	1420	1543
ENSG00000115282	TTC31	472	498	459	509
ENSG00000115286	NDUFS7	243	315	262	253
ENSG00000115289	PCGF1	209	226	317	306
ENSG00000115290	GRB14	270	255	216	219
ENSG00000115295	CLIP4	1977	2005	3342	3435
ENSG00000115297	TLX2	1	1	0	0
ENSG00000115306	SPTBN1	15360	15909	18656	17559
ENSG00000115307	AUP1	1504	1717	1825	1902
ENSG00000115310	RTN4	13333	13531	14427	14298
ENSG00000115317	HTRA2	408	416	384	377
ENSG00000115318	LOXL3	24	20	16	24
ENSG00000115325	DOK1	181	218	137	146
ENSG00000115339	GALNT3	2	0	3	5
ENSG00000115350	POLE4	319	353	353	327
ENSG00000115353	TACR1	3	2	2	0
ENSG00000115355	CCDC88A	2536	2461	1940	2096
ENSG00000115361	ACADL	1	0	1	1
ENSG00000115363	EVA1A	532	485	583	561
ENSG00000115364	MRPL19	1939	1914	1800	1818
ENSG00000115365	LANCL1	2274	2374	1864	1876
ENSG00000115368	WDR75	1250	1215	1117	1093
ENSG00000115386	REG1A	1	0	0	0
ENSG00000115392	FANCL	365	417	410	405
ENSG00000115414	FN1	26884	28532	34836	30273
ENSG00000115415	STAT1	14109	14085	12602	13099
ENSG00000115419	GLS	25977	26539	32712	32001
ENSG00000115421	PAPOLG	465	536	540	567
ENSG00000115423	DNAH6	2	1	4	1
ENSG00000115425	PECR	490	526	458	482
ENSG00000115446	UNC50	624	650	659	695
ENSG00000115457	IGFBP2	168	211	198	197
ENSG00000115459	ELMOD3	317	314	302	316
ENSG00000115461	IGFBP5	9	10	8	6
ENSG00000115464	USP34	2407	2409	2517	2541
ENSG00000115468	EFHD1	0	3	0	1
ENSG00000115474	KCNJ13	5	2	0	2
ENSG00000115484	CCT4	5373	5476	5120	5076
ENSG00000115486	GGCX	907	1014	906	819
ENSG00000115504	EHBP1	1646	1673	1563	1554
ENSG00000115507	OTX1	150	157	81	120
ENSG00000115514	TXNDC9	992	997	960	898
ENSG00000115520	COQ10B	628	591	781	780
ENSG00000115523	GNLY	1	1	0	0
ENSG00000115524	SF3B1	10364	10818	9947	10392
ENSG00000115525	ST3GAL5	409	457	570	551
ENSG00000115526	CHST10	346	370	326	307
ENSG00000115539	PDCL3	43	49	48	54
ENSG00000115540	MOB4	619	680	633	615
ENSG00000115541	HSPE1	150	162	152	160
ENSG00000115548	KDM3A	1888	2047	1682	1716
ENSG00000115556	PLCD4	190	168	154	175
ENSG00000115561	CHMP3	2490	2493	2332	2283
ENSG00000115568	ZNF142	1058	1135	1014	1042
ENSG00000115590	IL1R2	109	110	151	171
ENSG00000115592	PRKAG3	3	2	4	7
ENSG00000115593	SMYD1	1	0	0	0
ENSG00000115594	IL1R1	314	290	418	388
ENSG00000115604	IL18R1	4	4	3	5
ENSG00000115616	SLC9A2	13	8	16	12
ENSG00000115641	FHL2	2070	2050	3612	3378
ENSG00000115648	MLPH	0	3	1	3
ENSG00000115649	CNPPD1	1205	1315	1188	1104
ENSG00000115652	UXS1	3101	3227	3962	3870
ENSG00000115657	ABCB6	77	81	96	97
ENSG00000115661	STK16	542	586	588	572
ENSG00000115677	HDLBP	8261	8571	7719	7577
ENSG00000115685	PPP1R7	615	643	613	656
ENSG00000115687	PASK	445	502	390	444
ENSG00000115694	STK25	2116	2407	2594	2605
ENSG00000115718	PROC	1	2	1	1
ENSG00000115738	ID2	1569	1651	2637	2873
ENSG00000115750	TAF1B	368	306	379	350
ENSG00000115756	HPCAL1	3034	3074	3250	3338
ENSG00000115758	ODC1	4332	4366	2709	2400
ENSG00000115760	BIRC6	4288	4240	3890	3969
ENSG00000115761	NOL10	648	728	664	629
ENSG00000115762	PLEKHB2	5715	5611	5754	5530
ENSG00000115806	GORASP2	2736	2827	3244	3259
ENSG00000115808	STRN	1507	1521	1707	1724
ENSG00000115816	CEBPZ	2213	2303	1900	1903
ENSG00000115825	PRKD3	2262	2232	2127	2126
ENSG00000115827	DCAF17	863	796	812	861
ENSG00000115828	QPCT	0	1	4	2
ENSG00000115839	RAB3GAP1	1544	1596	1635	1577
ENSG00000115840	SLC25A12	386	430	280	321
ENSG00000115841	RMDN2	142	151	188	191
ENSG00000115844	DLX2	62	55	142	159
ENSG00000115850	LCT	1	1	1	0
ENSG00000115866	DARS	2004	2007	1883	1830
ENSG00000115875	SRSF7	2617	2673	2132	2098
ENSG00000115884	SDC1	2955	3043	2341	2306
ENSG00000115902	SLC1A4	396	516	609	602
ENSG00000115904	SOS1	766	691	824	833
ENSG00000115919	KYNU	6	5	3	3
ENSG00000115935	WIPF1	875	831	937	817
ENSG00000115942	ORC2	681	724	720	743
ENSG00000115944	COX7A2L	3310	3328	3499	3344
ENSG00000115946	PNO1	801	771	763	723
ENSG00000115947	ORC4	1257	1280	1144	1136
ENSG00000115956	PLEK	42	50	28	38
ENSG00000115963	RND3	2484	2746	3166	2699
ENSG00000115966	ATF2	1486	1626	1581	1533
ENSG00000115970	THADA	774	882	802	860
ENSG00000115977	AAK1	3581	3632	2856	2965
ENSG00000115993	TRAK2	1874	1869	1712	1709
ENSG00000115998	C2orf42	248	283	287	318
ENSG00000116001	TIA1	2897	3053	2741	3036
ENSG00000116005	PCYOX1	2433	2593	2447	2503
ENSG00000116016	EPAS1	1480	1477	2119	1989
ENSG00000116017	ARID3A	152	180	114	138
ENSG00000116030	SUMO1	175	205	179	165
ENSG00000116031	CD207	1	2	2	1
ENSG00000116032	GRIN3B	3	6	2	5
ENSG00000116035	VAX2	7	10	3	5
ENSG00000116039	ATP6V1B1	8	8	4	5
ENSG00000116044	NFE2L2	4629	4871	6238	6005
ENSG00000116062	MSH6	3906	4105	3391	3353
ENSG00000116095	PLEKHA3	158	149	172	182
ENSG00000116096	SPR	1687	1775	1731	1652
ENSG00000116106	EPHA4	418	410	560	713
ENSG00000116117	PARD3B	580	631	575	558
ENSG00000116120	FARSB	949	978	874	868
ENSG00000116127	ALMS1	968	1037	863	865
ENSG00000116128	BCL9	1650	1685	1225	1380
ENSG00000116133	DHCR24	16124	17165	12980	12924
ENSG00000116138	DNAJC16	278	340	388	420
ENSG00000116147	TNR	0	0	0	1
ENSG00000116151	MORN1	59	63	63	61
ENSG00000116157	GPX7	0	2	0	0
ENSG00000116161	CACYBP	1162	1113	1145	1123
ENSG00000116171	SCP2	1956	2097	1898	1974
ENSG00000116176	TPSG1	15	20	7	4
ENSG00000116183	PAPPA2	0	1	0	0
ENSG00000116191	RALGPS2	939	938	815	852
ENSG00000116194	ANGPTL1	6	5	2	2
ENSG00000116198	CEP104	575	606	728	643
ENSG00000116199	FAM20B	1231	1306	1382	1384
ENSG00000116205	TCEANC2	361	443	382	380
ENSG00000116209	TMEM59	2730	2974	2918	2979
ENSG00000116212	LRRC42	1101	1092	899	938
ENSG00000116213	WRAP73	274	369	330	301
ENSG00000116221	MRPL37	2253	2297	2178	2181
ENSG00000116237	ICMT	1875	2019	1922	1959
ENSG00000116251	RPL22	1731	1887	1759	1776
ENSG00000116260	QSOX1	1135	1311	1201	1268
ENSG00000116266	STXBP3	1148	1109	1189	1208
ENSG00000116273	PHF13	641	635	562	626
ENSG00000116285	ERRFI1	803	740	858	842
ENSG00000116288	PARK7	1846	1944	1832	1794
ENSG00000116299	KIAA1324	155	174	147	153
ENSG00000116329	OPRD1	33	30	23	18
ENSG00000116337	AMPD2	1378	1471	1325	1204
ENSG00000116350	SRSF4	1820	1906	2323	2473
ENSG00000116353	MECR	358	377	333	351
ENSG00000116396	KCNC4	216	200	254	266
ENSG00000116406	EDEM3	845	836	1000	945
ENSG00000116455	WDR77	747	767	674	715
ENSG00000116459	ATP5F1	1185	1229	1113	1068
ENSG00000116473	RAP1A	1109	1149	1161	1135
ENSG00000116478	HDAC1	4142	4139	4026	3881
ENSG00000116489	CAPZA1	2748	2863	2530	2537
ENSG00000116497	S100PBP	792	818	808	813
ENSG00000116514	RNF19B	488	507	672	676
ENSG00000116521	SCAMP3	880	924	825	910
ENSG00000116525	TRIM62	302	270	278	269
ENSG00000116539	ASH1L	2540	2468	2395	2514
ENSG00000116544	DLGAP3	1	0	1	0
ENSG00000116560	SFPQ	9158	9170	7750	7902
ENSG00000116574	RHOU	502	492	444	427
ENSG00000116580	GON4L	953	930	890	901
ENSG00000116584	ARHGEF2	1045	1078	1087	955
ENSG00000116586	LAMTOR2	659	692	632	629
ENSG00000116604	MEF2D	690	733	747	779
ENSG00000116641	DOCK7	1135	1133	1234	1171
ENSG00000116649	SRM	718	814	755	769
ENSG00000116652	DLEU2L	26	20	16	14
ENSG00000116661	FBXO2	8	3	6	5
ENSG00000116663	FBXO6	19	18	9	12
ENSG00000116667	C1orf21	152	150	146	162
ENSG00000116668	SWT1	106	124	143	149
ENSG00000116670	MAD2L2	290	328	268	285
ENSG00000116675	DNAJC6	1250	1287	1662	1708
ENSG00000116678	LEPR	565	515	894	856
ENSG00000116679	IVNS1ABP	9493	10413	17207	16978
ENSG00000116685	KIAA2013	165	205	159	168
ENSG00000116688	MFN2	1811	1792	1682	1692
ENSG00000116690	PRG4	4	4	5	9
ENSG00000116691	MIIP	151	190	156	168
ENSG00000116698	SMG7	1917	2042	1780	1778
ENSG00000116701	NCF2	18	17	9	14
ENSG00000116703	PDC	2	2	3	0
ENSG00000116704	SLC35D1	540	548	657	655
ENSG00000116717	GADD45A	738	752	1119	959
ENSG00000116729	WLS	1264	1283	1346	1327
ENSG00000116731	PRDM2	452	427	483	431
ENSG00000116741	RGS2	389	408	473	450
ENSG00000116747	TROVE2	1193	1259	1132	1162
ENSG00000116748	AMPD1	0	1	0	0
ENSG00000116750	UCHL5	1551	1520	1449	1376
ENSG00000116752	BCAS2	680	778	629	634
ENSG00000116754	SRSF11	6439	6903	6462	7003
ENSG00000116761	CTH	176	167	164	182
ENSG00000116771	AGMAT	1	0	2	1
ENSG00000116774	OLFML3	258	287	261	255
ENSG00000116786	PLEKHM2	845	902	1085	1071
ENSG00000116791	CRYZ	5378	5553	5416	5605
ENSG00000116793	PHTF1	485	517	481	481
ENSG00000116809	ZBTB17	232	245	237	261
ENSG00000116815	CD58	207	196	223	232
ENSG00000116819	TFAP2E	7	10	6	7
ENSG00000116830	TTF2	1670	1668	1517	1502
ENSG00000116833	NR5A2	82	72	368	366
ENSG00000116852	KIF21B	0	1	0	0
ENSG00000116857	TMEM9	3778	3932	3833	3930
ENSG00000116863	ADPRHL2	1383	1392	1341	1459
ENSG00000116871	MAP7D1	2634	2721	2068	2053
ENSG00000116874	WARS2	770	685	663	721
ENSG00000116882	HAO2	0	0	1	0
ENSG00000116883	RP11-268J15.5	74	79	42	55
ENSG00000116885	OSCP1	83	80	98	101
ENSG00000116898	MRPS15	795	817	751	736
ENSG00000116903	EXOC8	597	652	683	632
ENSG00000116906	GNPAT	969	957	965	963
ENSG00000116918	TSNAX	1341	1404	1168	1185
ENSG00000116922	C1orf109	1100	1094	1072	1006
ENSG00000116954	RRAGC	664	661	968	1075
ENSG00000116957	TBCE	1006	1012	1117	1094
ENSG00000116962	NID1	712	769	667	776
ENSG00000116977	LGALS8	1058	1045	1096	1117
ENSG00000116983	HPCAL4	4	8	5	2
ENSG00000116984	MTR	1307	1476	1329	1367
ENSG00000116985	BMP8B	130	117	127	136
ENSG00000116990	MYCL	52	43	28	35
ENSG00000116991	SIPA1L2	1652	1678	1807	1704
ENSG00000117000	RLF	1272	1285	1228	1359
ENSG00000117009	KMO	150	137	138	140
ENSG00000117010	ZNF684	81	81	82	70
ENSG00000117013	KCNQ4	4	1	5	10
ENSG00000117016	RIMS3	322	331	266	274
ENSG00000117020	AKT3	985	1089	1168	1176
ENSG00000117036	ETV3	858	938	933	899
ENSG00000117054	ACADM	1879	1946	1813	1900
ENSG00000117114	ADGRL2	5353	5805	5673	6167
ENSG00000117115	PADI2	46	57	28	33
ENSG00000117118	SDHB	735	731	775	746
ENSG00000117133	RPF1	638	615	637	671
ENSG00000117139	KDM5B	914	892	855	864
ENSG00000117143	UAP1	749	747	737	714
ENSG00000117148	ACTL8	2973	3118	2914	2758
ENSG00000117151	CTBS	473	518	527	475
ENSG00000117152	RGS4	18	13	18	11
ENSG00000117153	KLHL12	772	859	736	775
ENSG00000117155	SSX2IP	1039	1176	846	952
ENSG00000117174	ZNHIT6	2582	2570	2062	2192
ENSG00000117222	RBBP5	899	874	809	834
ENSG00000117226	GBP3	890	981	711	644
ENSG00000117228	GBP1	192	200	604	480
ENSG00000117242	PINK1-AS	42	49	39	49
ENSG00000117245	KIF17	21	13	25	24
ENSG00000117262	GPR89A	9	10	10	15
ENSG00000117266	CDK18	678	723	721	707
ENSG00000117280	RAB29	1748	1781	1677	1641
ENSG00000117281	CD160	19	30	36	43
ENSG00000117298	ECE1	1131	1153	1169	1226
ENSG00000117305	HMGCL	444	479	433	425
ENSG00000117308	GALE	612	641	611	626
ENSG00000117318	ID3	466	550	729	740
ENSG00000117335	CD46	4572	4814	4676	4761
ENSG00000117360	PRPF3	890	980	829	869
ENSG00000117362	APH1A	3572	3797	3616	3628
ENSG00000117385	P3H1	862	953	906	888
ENSG00000117394	SLC2A1	3504	3709	5334	5148
ENSG00000117395	EBNA1BP2	1917	2027	1991	1924
ENSG00000117399	CDC20	1471	1516	1074	1150
ENSG00000117400	MPL	0	1	2	2
ENSG00000117407	ARTN	27	36	28	23
ENSG00000117408	IPO13	901	955	832	903
ENSG00000117410	ATP6V0B	1482	1570	1614	1765
ENSG00000117411	B4GALT2	1321	1440	1233	1243
ENSG00000117419	ERI3	685	698	673	793
ENSG00000117425	PTCH2	14	9	9	7
ENSG00000117448	AKR1A1	1342	1363	1270	1233
ENSG00000117450	PRDX1	7819	7960	7519	7542
ENSG00000117461	PIK3R3	598	627	267	361
ENSG00000117472	TSPAN1	289	306	247	251
ENSG00000117475	BLZF1	814	870	833	790
ENSG00000117477	CCDC181	9	14	6	8
ENSG00000117479	SLC19A2	292	284	428	461
ENSG00000117480	FAAH	342	363	331	314
ENSG00000117481	NSUN4	1193	1125	1061	1088
ENSG00000117500	TMED5	4628	4937	5220	5188
ENSG00000117505	DR1	1645	1692	1648	1580
ENSG00000117519	CNN3	10170	10188	11832	10575
ENSG00000117523	PRRC2C	7343	7710	7154	6993
